Āwherika	Afrika
Kōnihi	Guernsey
Motu Svalbard me Jan Mayen (Nōwei)	Spitsbergen
2016	2016
Ca Mau	Cà Mau (stad)
2019	2019
Da Nang	Đà Nẵng (stad)
Uppsala	Uppsala (stad)
Gothenburg	Göteborg (stad)
2017	2017
2018	2018
Pichilemu	Pichilemu
Aarhus	Aarhus (stad)
2020	2020
Aalborg	Aalborg (stad)
Helsingborg	Helsingborg (stad)
Västerås	Västerås (stad)
Linköping	Linköping (stad)
Jönköping	Jönköping (stad)
Stavanger	Stavanger
Kawau	Aalscholver
Karlstad	Karlstad (stad)
Mölnlycke	Mölnlycke
Umeå	Umeå (stad)
Norrköping	Norrköping (stad)
Örebro	Örebro (stad)
Trondheim	Trondheim
Longyearbyen	Longyearbyen
Tromsø	Tromsø
Växjö	Växjö (stad)
Esbjerg	Esbjerg (stad)
Sundsvall	Sundsvall (stad)
Drammen	Drammen
Roskilde	Roskilde (stad)
Fukuoka	Fukuoka (stad)
Bergen	Bergen (Noorwegen)
Kuki Airani	Cookeilanden
Vejle	Vejle (stad)
Kolding	Kolding (stad)
Huahou	Kanoet
Taranui	Reuzenstern
Randers	Randers (stad)
Sandnes	Sandnes (Rogaland)
Tara	Tarastern
Lahti	Lahti
Reo Asturias	Asturisch
Chengdu	Chengdu
904	904
921	921
923	923
1126	1126
956	956
952	952
978	978
Zhengzhou	Zhengzhou
910	910
908	908
896	896
897	897
927	927
Porinīhia Wīwī	Frans-Polynesië
Waihopai	Invercargill
Kōtare	Heilige ijsvogel
Drake (kaiwaiata)	Drake (rapper)
Valparaíso	Valparaíso (stad)
Reo León	Leonees
Reo Tahiti	Tahitiaans
Mošovce	Mošovce
Kyoto	Kioto (stad)
Ture tekau	Tien geboden
Tekau tau 1980	1980-1989
Tekau tau 1990	1990-1999
Gustav Klimt	Gustav Klimt
Hiroshima	Hiroshima (stad)
Tekau tau 2000	2000-2009
Rārangi whakataukī	Spreekwoord
Noemi	Noemi
Nga Kaiwhakaatu o Ihowa	Jehova's getuigen
Pirihimana	Politie
Pāremata	Parlement
Osaka	Osaka
Thanh Hoa	Thanh Hóa (stad in Thanh Hóa)
Apia	Apia
Reo Kuruti	Koerdisch
Reo Māori	Maori (taal)
Karaj	Karaj
Arancón	Arancón
Salvador, Bahia	Salvador (stad)
Tāmaki-makau-rau	Auckland
John Michael Talbot	John Michael Talbot
Paul Gauguin	Paul Gauguin
Kura Tuarua o Tāmaki-makau-rau	Auckland Grammar School
Milwaukee	Milwaukee
Sapporo	Sapporo
Moutere Galápagos	Galapagoseilanden
Yokohama	Yokohama (stad)
Turku	Turku
Teide	El Teide
Radio Studio 54 Network	Radio Studio 54 Network
Ágreda	Ágreda
Tekau tau	Decennium
Édouard Manet	Édouard Manet
Tampere	Tampere
Tenerife	Tenerife (Canarische Eilanden)
Johannes Vermeer	Johannes Vermeer
Ulsan	Ulsan
Gwangju	Gwangju
Edvard Munch	Edvard Munch
Tahiti	Tahiti
Isfahan	Isfahan
Seongnam	Seongnam
Reo Ingarihi Inamata	Oudengels
Harbin	Harbin
Guayaquil	Guayaquil
Kiwi	Apteryx
Montehermoso	Montehermoso
Córdoba, Porowini o Córdoba	Córdoba (Argentinië)
Mendoza, Porowini o Mendoza	Mendoza (stad)
Fabaceae	Vlinderbloemenfamilie
Herat	Herat (stad)
Kandahar	Kandahar (stad)
Whana	Boog (wapen)
Edgar Degas	Edgar Degas
Iharaira Museum	Israel Museum
I. M. Pei	Ieoh Ming Pei
Espoo	Espoo
Oulu	Oulu (stad)
Titian	Titiaan
Lucknow	Lucknow (stad)
Template:Commonscat	Sjabloon:Commonscat
Basra	Basra
Kobe	Kobe
Mariehamn	Mariehamn
Kīngitanga o Hura	Koninkrijk Juda
Austronesian	Austronesische talen
2026	2026
Te Hunga Mahi	Internationale (lied)
2024	2024
2023	2023
2022	2022
2021	2021
Kauhau i te Maunga	Bergrede
Ngā Manaakitanga	Acht Zaligheden (religie)
Rosario, Porowini o Santa Fe	Rosario (Argentinië)
Cuenca, Ekuatoa	Cuenca (Ecuador)
San Cristóbal de La Laguna	San Cristóbal de La Laguna
John Key	John Key
Shijiazhuang	Shijiazhuang
Reo Pashto	Pasjtoe
Te Tai-tokerau	Northland
Jaipur	Jaipur (stad)
Kanpur	Kanpur (stad)
Tarāpunga	Roodsnavelmeeuw
Helmut Jahn	Helmut Jahn
Ōtautahi	Christchurch (Nieuw-Zeeland)
Tabriz	Tabriz
Murasaki Shikibu	Murasaki Shikibu
A Coruña (porowini)	A Coruña (provincie)
Rōpū ripanga pūmotu	Groep (periodiek systeem)
Minita o te Karauna	Minister
Mosul	Mosoel
Changchun	Changchun
Kēhua i te Papa	Ghost in the Shell
Rawalpindi	Rawalpindi
Bob Hope	Bob Hope
Lugo (porowini)	Lugo (provincie)
Ourense (porowini)	Ourense (provincie)
Pontevedra (porowini)	Pontevedra (provincie)
Ourense	Ourense (stad)
Rovaniemi	Rovaniemi
Caspar David Friedrich	Caspar David Friedrich
Fredrikstad	Fredrikstad
Lili'uokalani	Liliuokalani
Sarpsborg	Sarpsborg
Kunduz	Kunduz (stad)
Guido Reni	Guido Reni
Kaesong	Kaesŏng
Chongjin	Ch'ŏngjin
Hamhung	Hamhŭng
Wonsan	Wŏnsan
Nampho	Namp'o
Matola	Matola
Mwanza	Mwanza (Tanzania)
Wharekauri	Chathameilanden
Te Ika-a-Māui	Noordereiland (Nieuw-Zeeland)
Te Wai-pounamu	Zuidereiland
Mashhad	Mashhad
Tongariro	Mount Tongariro
Vaasa	Vaasa
Tūī	Toei (vogel)
Vantaa	Vantaa
Meri Te Tai Mangakāhia	Meri Te Tai Mangakahia
Mazar-i-Sharif	Mazar-i-Sharif
Kōtuku	Grote zilverreiger
Junichiro Koizumi	Junichiro Koizumi
Wikipedia:BookSources	Wikipedia:Boekinformatie
Arbil	Arbil (stad)
Ōtepoti	Dunedin
Jyväskylä	Jyväskylä
Saitama (Saitama)	Saitama (stad)
Šiauliai	Šiauliai
Mātuhituhi	Struikwinterkoning
Pīwauwau	Rotswinterkoning (soort)
Miromiro	Maorivliegenvanger
Manawatū-Whanganui	Manawatu-Wanganui
Waikato	Waikato
Tauihu	Marlborough (regio)
Taranaki	Taranaki
Tūranga-nui-a-Kiwa	Gisborne (regio)
Brixton	Brixton (Londen)
Saint Helier	Saint Helier
Joan Miró	Joan Miró
Tanga	Tanga (stad)
Sinuiju	Sinuiju
Arequipa	Arequipa (stad)
Whakaheke ngaru	Surfen
Kuopio	Kuopio
Kāreti o Hato Pita	St Peter's College Auckland
Kawasaki (Kanagawa)	Kawasaki (stad)
Tōtara	Podocarpus totara
Calamus	Calamus (plant)
Frans Hals	Frans Hals
Najaf	Najaf
Santiago Calatrava	Santiago Calatrava
Akseli Gallen-Kallela	Akseli Gallen-Kallela
Santa Cruz de la Sierra	Santa Cruz de la Sierra
Nanchang	Nanchang
Kāhui o ‘Enata	Marquesaseilanden
Kirkuk	Kirkoek (plaats)
Faisalabad	Faisalabad
University Hiperu o Hiruharama	Hebreeuwse Universiteit van Jeruzalem
St Peter Port	Saint Peter Port
Toamasina	Toamasina (stad)
Poaka	Steltkluut
Kākāpō	Kakapo
Pori (Hinerangi)	Pori
Helen Clark	Helen Clark
Jørn Utzon	Jørn Utzon
Lappeenranta	Lappeenranta
Cochabamba	Cochabamba (stad)
Multan	Multan
Quetta	Quetta
Pūmotu rōpū 11	Kopergroep
Joensuu	Joensuu
Marae	Marae
Carl Larsson	Carl Larsson
Pūkeko	Purperkoet
National Library o Iharaira	Nationale Bibliotheek van Israël
Jan Matejko	Jan Matejko
Utena	Utena
Horsens	Horsens (stad)
Bartolomé Esteban Murillo	Bartolomé Murillo
Ivan Shishkin	Ivan Sjisjkin
Kea	Kea (vogel)
Tauragė	Tauragė
Henrikh Mkhitaryān	Henrikh Mkhitarian
Kirikiriroa	Hamilton (Nieuw-Zeeland)
Patungakore	Niet-doding
E Ihowa Atua	God Defend New Zealand
Hämeenlinna	Hämeenlinna
Georges de la Tour	Georges de La Tour
Ahuriri	Napier (Nieuw-Zeeland)
Kororā	Dwergpinguïn
Mažeikiai	Mažeikiai
Visaginas	Visaginas
Galdhøpiggen	Galdhøpiggen
Brooke Fraser	Brooke Fraser
Kouvola	Kouvola
Hoiho	Geeloogpinguïn
Whakatū	Nelson (Nieuw-Zeeland)
Huambo	Huambo (stad)
Émile Friant	Émile Friant
Tauranga-moana	Tauranga
Ivan Kramskoi	Ivan Kramskoj
Rotorua-nui-a-Kahu	Rotorua
Beira, Mozambique	Beira (stad)
Te Papa-i-oea	Palmerston North
Takahē	Zuidereilandtakahe
Ngāmotu	New Plymouth
Ukmergė	Ukmergė
Aylesbury	Aylesbury
Pitiroi	Robert FitzRoy
Kebnekaise	Kebnekaise
John Bauer	John Bauer
Trujillo, Perū	Trujillo (Peru)
Kisumu	Kisumu
Whitehall	Whitehall (Londen)
Dartmoor	Dartmoor (gebied)
Thomas Eakins	Thomas Eakins
Tītī	Grauwe pijlstormvogel
Can Tho	Cần Thơ (stad)
Mahajanga	Mahajanga (stad)
Kuching	Kuching
Anggun	Anggun
Mombasa	Mombassa
Kīngitanga o Iharaira	Koninkrijk Israël
Johor Bahru	Johor Bahru
Sei Shōnagon	Sei Shonagon
Hanga Roa	Hanga Roa
Te Tai-rāwhiti	Gisborne (stad)
Mount Whitney	Mount Whitney
Koitareke	Kleinst waterhoen
Awa	Awa
Nakuru	Nakuru (stad)
Morogoro	Morogoro (stad)
Gujranwala	Gujranwala
Khulna	Khulna (stad)
Changwon	Changwon
Kigoma	Kigoma (stad)
Heretaunga, takiwā	Hawke's Bay
Kuruwhengi	Australische slobeend
Chiclayo	Chiclayo (stad)
Manatārua	Auteursrecht
Ipoh	Ipoh
Moshi	Moshi
Pararā	Breedbekprion
Huia	Huia (vogel)
Waka	Waka
Miro	Miro (plant)
Pōhutukawa	Pohutukawa
Koromiko	Hebe (geslacht)
Houhere	Hoheria
Riroriro	Maorimangrovezanger
Ōi	Langvleugelstormvogel
Tauhou	Grijsrugbrilvogel
Agostino Carracci	Agostino Carracci
Andrew Wyeth	Andrew Wyeth
Bahawalpur	Bahawalpur
Eldoret	Eldoret
Rajshahi	Rajshahi (stad)
Nampula	Nampula (stad)
Mbeya	Mbeya (stad)
Savai'i	Savai'i
Kiore	Polynesische rat
Chittagong	Chittagong (stad)
Almaluez	Almaluez
Kākā o Nōpoke	Norfolk-eilandkaka
Nyeri	Nyeri (stad)
Kiri Te Kanawa	Kiri Te Kanawa
Aute	Papiermoerbei
Matuku tai	Oostelijke rifreiger
Matuku moana	Witwangreiger
Korimako	Maori-belhoningvogel
Ahaura	Ahaura (plaats)
Whio	Blauwe eend
Puka	Puka
Alytus	Alytus (stad)
Moa	Moa
Karauna	Kroon (regering)
Cabinda	Cabinda (stad)
Te Atairangikaahu	Te Arikinui Te Atairangikaahu
Keisha Castle-Hughes	Keisha Castle-Hughes
Sylhet	Sylhet (stad)
Francesco Melzi	Francesco Melzi
Tiriti o Waitangi	Verdrag van Waitangi
Tuturuatu	Nieuw-Zeelandse plevier
Aliud	Aliud
Ferrol	Ferrol (Spanje)
Shah Alam	Shah Alam (stad)
Sariwon	Sariwon
Pāteke	Bruine taling
Max Weber	Max Weber (schilder)
Te Tai-poutini	West Coast (Nieuw-Zeeland)
Walter Burley Griffin	Walter Burley Griffin
Kumara Junction	Kumara
Gulu	Gulu
Antsirabe	Antsirabe
Tītīwainui	Duifprion
Kāhu	Pacifische bruine kiekendief
Bukan	Bukan
Tsou	Tsou (volk)
Malanje	Malanje (stad)
Pokotiwha	Fjordlandkuifpinguïn
Kākā	Kaka (vogel)
Kūkuruatu	Rosse plevier
Tītitipounamu	Geweervogel
Kota Bharu	Kota Bharu
Waitaha	Canterbury (regio)
Te Tai-o-Aorere	Tasman (Nieuw-Zeeland)
Clevedon	Clevedon
Huntingdon	Huntingdon (Cambridgeshire)
Kakī	Zwarte steltkluut
Ōtākou	Otago
Machakos	Machakos (stad)
Rukai	Rukai (volk)
Kōtuku ngutupapa	Koningslepelaar
Tāmaki-makau-rau (takiwā)	Auckland (regio)
Kapa Raiana	British and Irish Lions
Kėdainiai	Kėdainiai
Lawrence Makoare	Lawrence Makoare
Jonava	Jonava
Whangārei-terenga-paraoa	Whangarei
Pūtangitangi	Paradijscasarca
Toroa ingoingo	Zuidelijke koningsalbatros
Amokura	Roodstaartkeerkringvogel
Kārearea	Nieuw-Zeelandse valk
Weka	Weka
Pārera	Wenkbrauweend
Tieke	Zuidelijke zadelrug
Kōkako	Zuidelijke kokako
Klaipėda	Klaipėda
Tākapu	Pacifische jan-van-gent
Hūrepo	Australische roerdomp
Pohoriki	Australische taling
Aviemore	Aviemore (Schotland)
Pīpīwharauroa	Gouden bronskoekoek
Almarza	Almarza
Aldealices	Aldealices
Aldealafuente	Aldealafuente
Alentisque	Alentisque
Adradas	Adradas
Alconaba	Alconaba
Abejar	Abejar
Almajano	Almajano
Aldealpozo	Aldealpozo
Alcubilla de las Peñas	Alcubilla de las Peñas
Aldealseñor	Aldealseñor
Alcubilla de Avellaneda	Alcubilla de Avellaneda
Covaleda	Covaleda
Cerbón	Cerbón
Almazul	Almazul
Cidones	Cidones
Alpanseque	Alpanseque
Arcos de Jalón	Arcos de Jalón
Aldehuela de Periáñez	Aldehuela de Periáñez
Almenar de Soria	Almenar de Soria
Cigudosa	Cigudosa
Las Aldehuelas	Las Aldehuelas
Ciria	Ciria
Whēkau	Lachuil
Toroa pango	Roetkopalbatros
Takahikare	Bont stormvogeltje
Rangiātea	Raiatea
VietJet Air	VietJet Air
Rārangi tīma Super Rugby	Super Rugby
Klang, Marēhia	Klang (Maleisië)
Pōpokotea	Witkopmohoua
Ranguru	Chathamstormvogel
Petaling Jaya	Petaling Jaya
Murihiku	Southland (Nieuw-Zeeland)
Subang Jaya	Subang Jaya
Waiharakeke	Blenheim (Nieuw-Zeeland)
Tūheitia Paki	Tuheitia Paki
Ruru	Nieuw-Zeelandse boeboekuil
Pīwakawaka	Maoriwaaierstaart
Whakamārama:Kuputohu	Portaal:Hulp en beheer
Tāmaki-nui-a-Rua	Dannevirke (Nieuw-Zeeland)
Brooklands	Brooklands (circuit)
Meru (Kenya)	Meru (Kenia)
Māwhera	Greymouth
Kākāriki	Kakariki
Hihi	Geelbandhoningeter
Albert Town	Albert Town
Kauri	Kauri (plant)
Mauriceville	Mauriceville
Inangahua Junction (Tai-poutini)	Inangahua Junction
Awakairangi	Lower Hutt
Heretaunga	Hastings (Nieuw-Zeeland)
Lira (Ukānga)	Lira (Oeganda)
Mbale	Mbale (Oeganda)
Haast	Haast
Rārangi tāone o Aotearoa	Lijst van steden in Nieuw-Zeeland
Toutouwai	Nieuw-Zeelandse vliegenvanger
Kōtātā	Varengrasvogel
Peshawar	Pesjawar
Karoro	Kelpmeeuw
Kererū	Nieuw-Zeelandse vruchtenduif
Fox Glacier	Foxgletsjer
Te Atua Mou E	Te Atua Mou E
Wikipedia:Kāinga māngai	Wikipedia:Ambassade
Ampang Jaya, Selangor	Ampang Jaya
Pohowera	Dubbelbandplevier
Kaponga	Cyathea dealbata
Pākehā	Pākehā
Kōrure	Regenstormvogel
Toroa (mokepūihi)	Witkapalbatros
Tōrea	Finsch' scholekster
Koekoeā	Langstaartkoël
Toanui	Australische grote pijlstormvogel
Marijampolė	Marijampolė
Orakei Korako	Orakei Korako
Aotea (moutere)	Great Barriereiland
Category:Tiamana	Categorie:Duitsland
Category:Hononga-o-Amerika	Categorie:Verenigde Staten
Category:Rūhia	Categorie:Rusland
Category:Kīngitanga Kotahi	Categorie:Verenigd Koninkrijk
Category:Pāniora	Categorie:Spanje
Category:Haina	Categorie:China
Category:Nipono	Categorie:Japan
Category:Ahitereiria	Categorie:Australië
Category:Īnia	Categorie:India
Category:Iharaira	Categorie:Israël
Category:Īrāna	Categorie:Iran
Category:Aotearoa	Categorie:Nieuw-Zeeland
Category:Āketina	Categorie:Argentinië
Aroha	Medelijden
Rangitoto	Rangitoto
Category:Āwhekenetāna	Categorie:Afghanistan
Category:Īrāki	Categorie:Irak
Category:Pakitāne	Categorie:Pakistan
Category:Pōrana	Categorie:Polen
Category:Potukara	Categorie:Portugal
Category:Kōrea-ki-te-tonga	Categorie:Zuid-Korea
Category:Tānahia	Categorie:Tanzania
Category:Whitināmu	Categorie:Vietnam
Category:Maramara ngārara	Categorie:Reptiel
Category:Ika oneone	Categorie:Amfibie
Category:Manu	Categorie:Vogel
Category:Tipu	Categorie:Plant
Category:Ahupūngao	Categorie:Natuurkunde
Category:Mātauranga koiora	Categorie:Biologie
Category:Mātauranga matū	Categorie:Scheikunde
Category:Mātai matawhenua	Categorie:Geografie
Category:Whakapono	Categorie:Religie
Category:Pūtaiao	Categorie:Wetenschap
Category:Kotahitanga o Ūropi	Categorie:Europese Unie
Rātā (Te Wai-pounamu)	Metrosideros umbellata
Tāra	Nieuw-Zeelandse dollar
Mānuka	Manuka
Hyderabad (Pakistan)	Hyderabad (Pakistan)
Panevėžys	Panevėžys
Pīpipi	Finschia (soort)
Rārangi wānanga	Lijst van universiteiten
Tim Finn	Tim Finn
Category:Mātauranga taupuhi kaiao	Categorie:Ecologie
Category:Tikanga maha	Categorie:Wikipedia:Doorverwijspagina
Māhoe raumātotoru	Melicytus crassifolius
Nīkau	Rhopalostylis sapida
Granity	Granity
Toroa (Motu Ihupuku)	Campbellalbatros
Te Moana-a-Toi	Bay of Plenty
Telšiai	Telšiai
Moneymore	Moneymore
Middle Valley	Middle Valley
Taupō-nui-a-Tia	Taupo
Punahau	Horowhenuameer
Albury	Albury (Nieuw-Zeeland)
Bankside	Bankside
Category:Maramara	Categorie:Wikipedia:Beginnetje
Category:Tirotiro	Categorie:Wikipedia
Category:Tau	Categorie:Jaren
Category:Rārangi	Categorie:Lijsten
Edmond Debeaumarché	Edmond Debeaumarché
Wikipedia:Rārangi-ā-pū	Wikipedia:Artikelindex
Whau	Entelea
Sergio Mattarella	Sergio Mattarella
Category:Ture	Categorie:Recht
Category:Whenua	Categorie:Land
Wikipedia:Kaiwhakahaere	Wikipedia:Moderator
Category:Tāngata	Categorie:Persoon
Wikipedia:Ngā tono whakatū kaiwhakahaere	Wikipedia:Aanmelding moderatoren
Wikipedia:Bureaucrats	Wikipedia:Bureaucraat
Wikipedia:Karetao	Wikipedia:Bots
Category:Mātauranga huaota	Categorie:Plantkunde
Category:Mātauranga	Categorie:Onderwijs
Category:Toi	Categorie:Kunst
Kaunas	Kaunas
Template:Bot	Sjabloon:Bot
Kānata	Canada
Category:Hinerangi	Categorie:Finland
Category:Rituānia	Categorie:Litouwen
Category:Huitene	Categorie:Zweden
Category:Horowākia	Categorie:Slowakije
Wikipedia:Manatārua	Wikipedia:Auteursrechten
Category:Ūropi	Categorie:Europa
Template:Documentation	Sjabloon:Sjabdoc
Wikipedia:Tomokanga hapori	Portaal:Gebruikersportaal
Category:Reo-ā-kaimahi	Categorie:Wikipedia:Babel
Template:Softredirect	Sjabloon:Softredirect
Template:Mukua	Sjabloon:Nuweg
Category:Reo	Categorie:Taal
Category:Maramataka	Categorie:Kalender
Category:Wikipedia	Categorie:Encyclopedie Wikipedia
Wikipedia:Tikanga tūmataiti	Wikipedia:Privacybeleid
Wikipedia:Tikanga Wikipedia	Wikipedia:Conventies
Template:Navbox	Sjabloon:Navigatie
Template:Tnavbar	Sjabloon:Tnavbar
Template:Loop	Sjabloon:Loop
Template:Okina	Sjabloon:Okina
Template:Clear	Sjabloon:Clearboth
Template:Anchor	Sjabloon:Anker
Category:Āwherika	Categorie:Afrika
Category:Paipera	Categorie:Bijbel
Category:Pukapuka	Categorie:Boek
Template:Reo kaimahi	Sjabloon:Babel
Template:Commons	Sjabloon:Commons
Template:Reflist	Sjabloon:References
Wikipedia:Tikanga rapu	Help:Zoeken
Template:Maramara	Sjabloon:Beginnetje
Template:User eo-1	Sjabloon:Gebruiker eo-1
Template:User ca-1	Sjabloon:Gebruiker ca-1
Template:User de	Sjabloon:Gebruiker de
Template:User de-1	Sjabloon:Gebruiker de-1
Template:User es	Sjabloon:Gebruiker es
Template:User de-3	Sjabloon:Gebruiker de-3
Template:User en-3	Sjabloon:Gebruiker en-3
Template:User en-1	Sjabloon:Gebruiker en-1
Template:User en-2	Sjabloon:Gebruiker en-2
Template:User en-4	Sjabloon:Gebruiker en-4
Template:User fi	Sjabloon:Gebruiker fi
Template:User en	Sjabloon:Gebruiker en
Template:User de-2	Sjabloon:Gebruiker de-2
Template:User es-1	Sjabloon:Gebruiker es-1
Template:User fr-1	Sjabloon:Gebruiker fr-1
Template:User gl-1	Sjabloon:Gebruiker gl-1
Template:User he-2	Sjabloon:Gebruiker he-2
Template:User he-1	Sjabloon:Gebruiker he-1
Template:User sk	Sjabloon:Gebruiker sk
Template:User fr-2	Sjabloon:Gebruiker fr-2
Template:User ja	Sjabloon:Gebruiker ja
Template:User ja-1	Sjabloon:Gebruiker ja-1
Template:User fr	Sjabloon:Gebruiker fr
Template:User he	Sjabloon:Gebruiker he
Category:Pēpeke	Categorie:Insect
Category:Āhia	Categorie:Azië
Category:Hiri	Categorie:Chili
Category:Rautau 21	Categorie:21e eeuw
Category:Porowini o Soria	Categorie:Soria (provincie)
Category:Amerika ki te Tonga	Categorie:Zuid-Amerika
Category:User uk-N	Categorie:Wikipedia:Gebruiker uk-M
Category:Marēhia	Categorie:Maleisië
Template:Mod	Sjabloon:Modulo
Template:User sv	Sjabloon:Gebruiker sv
Template:User uk	Sjabloon:Gebruiker uk
Category:User fr-1	Categorie:Wikipedia:Gebruiker fr-1
Template:Image label	Sjabloon:Afbeelding label
Category:Waiata	Categorie:Volkslied
Template:USPoliticalDivisions	Sjabloon:Navigatie bestuurlijke indeling Verenigde Staten
Template:Infobox Whenua	Sjabloon:Infobox land
Category:User en-4	Categorie:Wikipedia:Gebruiker en-4
Category:User en	Categorie:Wikipedia:Gebruiker en
Category:User en-2	Categorie:Wikipedia:Gebruiker en-2
Template:Legend	Sjabloon:Legenda
Category:Māori	Categorie:Maori
Template:Infobox Settlement	Sjabloon:Infobox plaats
Category:Tumuaki	Categorie:President
Category:Maunga	Categorie:Berg
Template:User ru	Sjabloon:Gebruiker ru
Category:Rautau 20	Categorie:20e eeuw
Template:IPA	Sjabloon:IPA
Category:Washington	Categorie:Washington (staat)
Template:Border	Sjabloon:Border
Template:Whenua o Te Ao-o-Kiwa	Sjabloon:Navigatie landen en gebieden Oceanië
Category:Rautau 19	Categorie:19e eeuw
Template:User nl	Sjabloon:Gebruiker nl
Template:Image label small	Sjabloon:Afbeelding label klein
Category:North Carolina	Categorie:North Carolina
Category:Puerto Rico	Categorie:Puerto Rico
Category:User ja-N	Categorie:Wikipedia:Gebruiker ja-M
Māori	Maori (volk)
Template:Disambig	Sjabloon:Dp
Category:South Carolina	Categorie:South Carolina
Template:Infobox U.S. state	Sjabloon:Infobox staat Verenigde Staten
Template:Infobox Tangata	Sjabloon:Infobox persoon
Category:Wyoming	Categorie:Wyoming
Category:Galicia	Categorie:Galicië
Category:User sk	Categorie:Wikipedia:Gebruiker sk
Category:User sl	Categorie:Wikipedia:Gebruiker sl
Category:User eo	Categorie:Wikipedia:Gebruiker eo
Category:User fr	Categorie:Wikipedia:Gebruiker fr
Category:User gl	Categorie:Wikipedia:Gebruiker gl
Category:User id	Categorie:Wikipedia:Gebruiker id
Category:User ja	Categorie:Wikipedia:Gebruiker ja
Category:User la	Categorie:Wikipedia:Gebruiker la
Category:User pt	Categorie:Wikipedia:Gebruiker pt
Category:User sv	Categorie:Wikipedia:Gebruiker sv
Category:User fr-3	Categorie:Wikipedia:Gebruiker fr-3
Category:User ja-3	Categorie:Wikipedia:Gebruiker ja-3
Category:User gl-1	Categorie:Wikipedia:Gebruiker gl-1
Category:User fr-2	Categorie:Wikipedia:Gebruiker fr-2
Category:User ja-2	Categorie:Wikipedia:Gebruiker ja-2
Category:User la-2	Categorie:Wikipedia:Gebruiker la-2
Category:User cs-N	Categorie:Wikipedia:Gebruiker cs-M
Category:User sl-N	Categorie:Wikipedia:Gebruiker sl-M
Category:User fr-N	Categorie:Wikipedia:Gebruiker fr-M
Category:User gl-N	Categorie:Wikipedia:Gebruiker gl-M
Category:User it-N	Categorie:Wikipedia:Gebruiker it-M
Category:User nl-N	Categorie:Wikipedia:Gebruiker nl-M
Category:User ru-N	Categorie:Wikipedia:Gebruiker ru-M
Category:User ca	Categorie:Wikipedia:Gebruiker ca
Category:User ca-1	Categorie:Wikipedia:Gebruiker ca-1
Category:User cs	Categorie:Wikipedia:Gebruiker cs
Category:Moutere	Categorie:Eiland
Category:User sk-N	Categorie:Wikipedia:Gebruiker sk-M
Category:User de	Categorie:Wikipedia:Gebruiker de
Category:User de-2	Categorie:Wikipedia:Gebruiker de-2
Category:User de-3	Categorie:Wikipedia:Gebruiker de-3
Category:User de-N	Categorie:Wikipedia:Gebruiker de-M
Shiraz	Shiraz (Iran)
Category:User en-3	Categorie:Wikipedia:Gebruiker en-3
Category:User en-N	Categorie:Wikipedia:Gebruiker en-M
Category:User eo-1	Categorie:Wikipedia:Gebruiker eo-1
Category:User es	Categorie:Wikipedia:Gebruiker es
Category:User es-1	Categorie:Wikipedia:Gebruiker es-1
Category:Ao Tomi me Pirinihipi	Categorie:Sao Tomé en Principe
Category:User fi	Categorie:Wikipedia:Gebruiker fi
Category:User fi-N	Categorie:Wikipedia:Gebruiker fi-M
Category:User he	Categorie:Wikipedia:Gebruiker he
Category:User he-1	Categorie:Wikipedia:Gebruiker he-1
Category:User he-2	Categorie:Wikipedia:Gebruiker he-2
Category:User he-3	Categorie:Wikipedia:Gebruiker he-3
Category:User he-4	Categorie:Wikipedia:Gebruiker he-4
Category:User he-N	Categorie:Wikipedia:Gebruiker he-M
Category:User id-1	Categorie:Wikipedia:Gebruiker id-1
Template:User la-3	Sjabloon:Gebruiker la-3
Category:User pt-1	Categorie:Wikipedia:Gebruiker pt-1
Category:User it	Categorie:Wikipedia:Gebruiker it
Category:User ja-1	Categorie:Wikipedia:Gebruiker ja-1
Category:User la-1	Categorie:Wikipedia:Gebruiker la-1
Category:User la-3	Categorie:Wikipedia:Gebruiker la-3
Category:Porinīhia	Categorie:Polynesië
Category:User ru-1	Categorie:Wikipedia:Gebruiker ru-1
Wikipedia:Babel	Wikipedia:Babel
Category:Poutū-te-rangi	Categorie:Maart
Category:User mi	Categorie:Wikipedia:Gebruiker mi
Category:User mi-4	Categorie:Wikipedia:Gebruiker mi-4
Category:Ingarangi	Categorie:Engeland
Category:Hāhi	Categorie:Kerkgebouw
Category:Arecaceae	Categorie:Palmenfamilie
Category:Oklahoma	Categorie:Oklahoma
Category:Lauraceae	Categorie:Lauraceae
Category:Laurales	Categorie:Laurales
Category:Massachusetts	Categorie:Massachusetts
Category:Tekau tau 1980	Categorie:1980-1989
Category:Tekau tau 1990	Categorie:1990-1999
Category:Tekau tau 2000	Categorie:2000-2009
Category:User pt-2	Categorie:Wikipedia:Gebruiker pt-2
Category:User ru	Categorie:Wikipedia:Gebruiker ru
Category:User ru-2	Categorie:Wikipedia:Gebruiker ru-2
Category:User ru-3	Categorie:Wikipedia:Gebruiker ru-3
Category:User sv-N	Categorie:Wikipedia:Gebruiker sv-M
Category:User wa	Categorie:Wikipedia:Gebruiker wa
Category:User wa-N	Categorie:Wikipedia:Gebruiker wa-M
Category:Kaipeita	Categorie:Kunstschilder
Category:Madrid	Categorie:Madrid
Category:Rautau 11	Categorie:11e eeuw
Category:Rautau 17	Categorie:17e eeuw
Category:Rautau 10	Categorie:10e eeuw
Category:Rautau 7	Categorie:7e eeuw
Category:Florida	Categorie:Florida
Category:Nevada	Categorie:Nevada
