Nditbonj	Japan
Fouzcwngfujcujyi	Anarchisme
Swyouzcujyi	Liberalisme
Hozmaj	Homerus
Dahhwzlungzgyangh	Amoer (rivier)
Kālidāsa	Kālidāsa
Lij Beg	Li Bai
Niels Bohr	Niels Bohr
Cigminzcujyi	Kolonialisme
Minzcuj	Democratie
Cwngfuj	Regering
Caenz Hij Vuengz	Qin Shi Huangdi
Elizabeth I	Elizabeth I van Engeland
Hanciuz	Han-dynastie
Han Vujdaeq	Han Wudi
Daiqgwzwj	Rabindranath Tagore
Ndei	Schoonheid
Jacques Cartier	Jacques Cartier
Christopher Columbus	Christoffel Columbus
James Cook	James Cook
Dahvangzhoz	Gele Rivier
Huhbizlez	Koeblai Khan
Doengnamzya guekgya lenzmungz	ASEAN
Yinghlenzbangh	Gemenebest van Naties
Vah Swahili	Swahili
Dunghgingh Dayoz	Universiteit van Tokio
Vahgun	Chinese talen
Mbwnnamh	Natuur (kosmos)
Bwt	Long (orgaan)
Heiqhaeuh	Klimaat
Gvangvuz	Mineraal
Caenleix	Waarheid
Banjgaiq goucauxlun	Platentektoniek
Avicenna	Avicenna
Rin	Gesteente
Haij Rongx	Tsunami
Vwnzyoz	Literatuur
分类:Vwnzyoz	Categorie:Literatuur
Hoengzlaeuzmoengh	Droom van de rode kamer
Ahlijsanda Daihdaeq	Alexander de Grote
Gawqlujsw daihdaeq	Cyrus II de Grote
Umar	Omar ibn al-Chattab
Bya	Berg (landvorm)
Sunh Cunghsanh	Sun Yat-sen
Ayuzvuengz	Asoka
Ahkezbah Daihdaeq	Akbar de Grote
Yanghgangj	Hongkong
Lengx Can	Koude Oorlog
Soujwj	Seoel
Sanghaij	Shanghai
Mingzci veizsaen	Meiji-restauratie
Cingciuz	Qing-dynastie
Yiednamz cancwngh	Vietnamoorlog
Euclid	Euclides van Alexandrië
Henry Ford	Henry Ford
Moq Yenz	Mo Yan
James Watt	James Watt
Karl Marx	Karl Marx
Voltaire	Voltaire
Caiz	Kennis
James Clerk Maxwell	James Clerk Maxwell
Cij	Borst
Erwin Schrödinger	Erwin Schrödinger
Gojgaeqfangz	Mythologie
Yenzgyaucijcujyi	Fundamentalisme
Hoenz	Ziel (filosofie)
Vah Yiednamz	Vietnamees
Sigmund Freud	Sigmund Freud
Vahdai	Thai (taal)
Vah Yindunizsihya	Indonesisch
Vahvuhswhbiedkez	Oezbeeks
Fanhyiengh	Vientiane (stad)
Hingzveiz	Gedrag
Lauxcij	Laozi
Jean-Paul Sartre	Jean-Paul Sartre
Daep	Lever
Sainyouh	Urinebuis
Cu Heih	Zhu Xi
Gamjcingz	Emotie
Simleixhag	Psychologie
Swhsiengj	Denken
Bienhcingqfap	Dialectiek
Muhamed	Mohammed
Lwnzleixyoz	Ethiek
Diemheiq	Ademhaling (mens)
Dauhgyau	Taoïsme
Suhfeicujyi	Soefisme
Vahmanggyalah	Bengaals
Dangzciuz	Tang-dynastie
Dangz Daihcoeng	Tang Taizong
Ronald Reagan	Ronald Reagan
Gaggaj	Zelfmoord
Faex	Boom (plant)
Doenghduz ndoencag	Chordadieren
Byaek	Groente
Vahfan	Sanskriet
Soemj	Zuur (scheikunde)
Danqsuijvaqhozvuz	Koolhydraat
Vujhan	Wuhan
Ciuhrin	Steentijd
Mesopotamia	Mesopotamië
Guj Aigib	Oude Egypte
Gizdoh vuengzciuz	Gupta's
Binghsiqrueg	Cholera
Ndaengq'ien	Nicotine
Seiqhauh damjhaek	Panzerkampfwagen IV
Gangsengsoq	Antibioticum
Cinghmoizsoq	Penicilline
Cibcihginh doengcwngh	Kruistocht
Baknienz cancwng	Honderdjarige Oorlog
Osman Daeqgoz	Ottomaanse Rijk
Vunz Veizging	Vikingen
Vahcuengh	Zhuang (taal)
Taranto	Tarente (stad)
Yienzbit	Potlood
Aumwnz	Macau
Huz Ginjdauh	Hu Jintao
Gvangjdungh	Guangdong
Gvangjsih Bouxcuengh Swcigih	Guangxi
Suhlienz	Sovjet-Unie
Gauh Kunh	Charles Kao
模板:Link FA	Sjabloon:Link FA
Gvangjcouh	Kanton (stad)
Vwnh Gyahbauj	Wen Jiabao
Sihcang Swcigih	Tibetaanse Autonome Regio
Dalai Cibseiqseiq	Tenzin Gyatso (dalai lama)
Cunghgoz Gungcanjdangj	Communistische Partij van China
Bak lingz loeg	106 (getal)
Gouj	9 (getal)
Daengxgoek Yinzminz Daibiuj Davei	Nationaal Volkscongres
Nha Trang	Nha Trang
Breinigerberg	Breinigerberg
Nditcanj	Nissan Motor
Vung Tau	Vũng Tàu (stad)
Lujsaenq	Lu Xun (schrijver)
Caet	7 (getal)
Bat	8 (getal)
Ulan Bator	Ulaanbaatar
Hau	Wit
Loeg	6 (getal)
Makcaih	Tomaat
Paltoga	Paltoga
Bahwjgan buendauj	Balkan (schiereiland)
Cib	10 (getal)
Haijdai	Dode Zee
Orson Welles	Orson Welles
Woody Allen	Woody Allen
Youdaezmoeg	Evenhoevigen
Gouj cib sam	93 (getal)
Duh Fuj	Du Fu
Vahnizbozwj	Nepalees
Vahsaenqdaek	Sindhi (taal)
Rongh X	Röntgenstraling
Sinhgyangh Veizvuzwj Swcigih	Sinkiang
Benjamin Franklin	Benjamin Franklin
Cwngciyoz	Politicologie
Vah Hozloz	Minnanyu
Vladimir Nabokov	Vladimir Nabokov
Bouxcuengh	Zhuang (volk)
Cib ngeih	12 (getal)
Cib it	11 (getal)
Cib sam	13 (getal)
Saenqdaek	Sindh
Lauxsae	Onderwijzer
Bak	100 (getal)
Gregor Mendel	Gregor Mendel
Arthur Schopenhauer	Arthur Schopenhauer
Cib seiq	14 (getal)
Cib haj	15 (getal)
Cib bat	18 (getal)
Liujcouh	Liuzhou
Cib gouj	19 (getal)
Cib caet	17 (getal)
Cib loeg	16 (getal)
Ngeih cib	20 (getal)
Henri Becquerel	Antoine Henri Becquerel
Cabceiq	Tijdschrift
Rio de Janeiro	Rio de Janeiro (staat)
Cigemq	Bloedzuiger (hagedis)
St. George's	Saint George's
Liuz Siujboh	Liu Xiaobo
Seiq cib	40 (getal)
Vaiz	Waterbuffel
Bouxgun	Han-Chinezen
Sam cib	30 (getal)
Yiuhrumz	Vliegeren
Roegga	Corvus (geslacht)
Sipndangj	Duizendpoten
Oliver Cromwell	Oliver Cromwell
Veizvuzwj	Oeigoeren
Yinzvwnzcujyi	Humanisme
Gaemhbeg	Verkrachting
Gveicouh	Guizhou
Bozhoz	Munt (geslacht)
模板:Commonscat	Sjabloon:Commonscat
Ngeih cib sam	23 (getal)
Fwen Lajbiengz	Internationale (lied)
Tomislav Nikolić	Tomislav Nikolić
Denyouz daengngoenz	Zonnecel
Bak lingz caet	107 (getal)
Cottonwood	Cottonwood (Alabama)
Emil Fischer	Hermann Emil Fischer
Emil Adolf von Behring	Emil Adolf von Behring
Adolf Windaus	Adolf Windaus
Ngeih cib haj	25 (getal)
Ngeih cib seiq	24 (getal)
Loeg cib	60 (getal)
Makbug	Pompelmoes
Yinzvwnz yozgoh	Geesteswetenschappen
Ahlahbozsugyauh	Acacia (plant)
John Keats	John Keats
Vaizcwx meijcouh	Amerikaanse bizon
Ngeih cib loeg	26 (getal)
Byajraez	Donder
Loegseiq Saehgienh	Tiananmenprotest
Adam Riess	Adam Riess
Saul Perlmutter	Saul Perlmutter
Leopold Ružička	Lavoslav Ružička
Hoengqceiqlwnh	Cybernetica
Raemxmaeg	Inkt
Cujluj	Zoeloes
Cunghvaz Yinzminz Gunghozgoz gozgeiz	Vlag van de Volksrepubliek China
Bakbya	Bergpas
Saihwet	Riem (kleding)
Fuzdauj Si	Fukushima (stad)
Cunghvaz Cenzgoz Cungjgunghvei	Landelijke Chinese vakbondfederatie
Cangzsa	Changsha
Ream	Scrotum
Canghfwen	Zanger
Andrea Palladio	Andrea Palladio
Nazmij	Nanometer
Cunghsanh Dayoz	Sun Yat-sen Universiteit (Guangdong)
Namzningz	Nanning
Ywgajnon	Insecticide
Cangcuz	Tibetanen
Gveilinz	Guilin
Yahben Cancwngh	Eerste Opiumoorlog
Gangbit	Vulpen
Cangh Hwngz	Zhang Heng
Brian Schmidt	Brian Schmidt
Dahcuhgyangh	Parelrivier
Baekhaij	Beihai
Nabsihcuz	Naxi (volk)
Bak ngeih cib loeg	126 (getal)
Bak seiq cib it	141 (getal)
Ciengqyouz	Sojasaus
Veiginhrozsoeng Si	Aizuwakamatsu
Gouj cib	90 (getal)
Haj cib caet	58 (getal)
Makcaujcij	Jujube
Caet cib ngeih	72 (getal)
Sinhcuz	Hsinchu
Ginqsan Si	Koriyama
Banjsingz Si	Iwaki (Fukushima)
Sihsah ginzdauj	Paraceleilanden
Gouj cib ngeih	92 (getal)
Bat cib seiq	84 (getal)
Nguxseiq Yindung	4 Mei-beweging
Gouj cib loeg	96 (getal)
Seiq cib sam	43 (getal)
Bat cib caet	87 (getal)
Haj cib seiq	54 (getal)
Huz Gyah	Hu Jia
Bak sam cib seiq	134 (getal)
Bat cib bat	88 (getal)
Bouxmienh	Yao (volk)
Gouqseiqcawj	Savior
Singgizsoq	Geslachtshormoon
Bat cib haj	85 (getal)
Bak ngeih cib bat	128 (getal)
Ngeih cib caet	27 (getal)
Sam cib haj	35 (getal)
Loeg cib seiq	64 (getal)
Gouj cib gouj	99 (getal)
Bak lingz bat	108 (getal)
Bak lingz it	101 (getal)
Hoysala Digoz	Hoysala
Bak haj cib sam	153 (getal)
Ciemxdin	Lotusvoetjes
Bak sam cib haj	135 (getal)
Bak sam cib caet	137 (getal)
Haj cib loeg	56 (getal)
Bak loeg cib	160 (getal)
Bat cib gouj	89 (getal)
Caet cib loeg	76 (getal)
Ngeih cib gouj	29 (getal)
Ngouzcouh	Wuzhou
Fangzcwngzgangj	Fangchenggang
Ginhcouh	Qinzhou
Gveigangj	Guigang
Yoglinz	Yulin (Guangxi)
Baksaek	Baise (China)
Hohcouh	Hezhou
Hozciz	Hechi
Leizbingz	Laibin
Cungzcoj	Chongzuo
Bak gouj cib	190 (getal)
Caet cib it	71 (getal)
Ngeih cib bat	28 (getal)
Haj cib gouj	59 (getal)
Loeg cib ngeih	62 (getal)
Gouj cib haj	95 (getal)
Sam cib bat	38 (getal)
Caet cib haj	75 (getal)
Bak lingz gouj	109 (getal)
Bak lingz sam	103 (getal)
Seiq cib haj	45 (getal)
Loeg cib haj	65 (getal)
Bak it cib gouj	119 (getal)
Hekgya	Hakka (volk)
Loeg cib bat	68 (getal)
Gouj cib caet	97 (getal)
Gouj cib seiq	94 (getal)
Haj cib haj	55 (getal)
Gouj cib it	91 (getal)
Bak sam cib bat	138 (getal)
Bak it cib bat	118 (getal)
Bat cib	80 (getal)
Ngeih cib it	21 (getal)
Ngeih cib ngeih	22 (getal)
Caet cib	70 (getal)
Haj cib	50 (getal)
Seiq cib it	41 (getal)
Sam cib seiq	34 (getal)
Sam cib sam	33 (getal)
Seiq cib caet	47 (getal)
Sam cib it	31 (getal)
Sam cib ngeih	32 (getal)
Seiq cib seiq	44 (getal)
Seiq cib loeg	46 (getal)
Seiq cib gouj	49 (getal)
Seiq cib bat	48 (getal)
Sam cib caet	37 (getal)
Sam cib gouj	39 (getal)
Sam cib loeg	36 (getal)
Haj cib sam	53 (getal)
Bat cib it	81 (getal)
Loeg cib loeg	66 (getal)
Loeg cib sam	63 (getal)
Haj cib ngeih	52 (getal)
Loeg cib gouj	69 (getal)
Caet cib sam	73 (getal)
Caet cib seiq	74 (getal)
Caet cib gouj	79 (getal)
Loeg cib caet	67 (getal)
Caet cib caet	77 (getal)
Bat cib sam	83 (getal)
Bat cib ngeih	82 (getal)
Bat cib loeg	86 (getal)
Caet cib bat	78 (getal)
Gouj cib bat	98 (getal)
Bak lingz seiq	104 (getal)
Bak it cib sam	113 (getal)
Bak lingz ngeih	102 (getal)
Bak seiq cib seiq	144 (getal)
Bak it cib	110 (getal)
Bak ngeih cib it	121 (getal)
Bak it cib seiq	114 (getal)
Bak it cib loeg	116 (getal)
Bak ngeih cib caet	127 (getal)
Bak ngeih cib sam	123 (getal)
Bak it cib haj	115 (getal)
Bak lingz haj	105 (getal)
Bak it cib ngeih	112 (getal)
Bak it cib it	111 (getal)
Bak it cib caet	117 (getal)
Bak ngeih cib	120 (getal)
Bak ngeih cib seiq	124 (getal)
Bak ngeih cib haj	125 (getal)
Bak gouj cib loeg	196 (getal)
Bak ngeih cib ngeih	122 (getal)
Bak loeg cib gouj	169 (getal)
Bak ngeih cib gouj	129 (getal)
Bak seiq cib	140 (getal)
Bak seiq cib caet	147 (getal)
Bak sam cib it	131 (getal)
Bak gouj cib caet	197 (getal)
Bak sam cib ngeih	132 (getal)
Bak sam cib gouj	139 (getal)
Bak sam cib sam	133 (getal)
Bak sam cib loeg	136 (getal)
Bak sam cib	130 (getal)
Loeg cib it	61 (getal)
Seiq cib ngeih	42 (getal)
Daengloengz	Lantaarn
Haj cib it	51 (getal)
Ndoengrum	Grasland
Vujmingz	Arrondissement Wuming
Daeng	Lamp
分类:Meijgoz	Categorie:Verenigde Staten
分类:Ezlozswh	Categorie:Rusland
分类:Yiednamz	Categorie:Vietnam
分类:Doenghgo	Categorie:Plant
分类:Lizsij	Categorie:Geschiedenis
分类:Gohyoz	Categorie:Wetenschap
分类:Cietyoz	Categorie:Filosofie
Mak	Fruit
模板:Userbox	Sjabloon:Gebruikersbox
分类:Guekgya	Categorie:Land
分类:Cunghvaz minzcuz	Categorie:Volk in China
分类:Mbwnnamh	Categorie:Natuur
模板:Bot	Sjabloon:Bot
模板:Documentation	Sjabloon:Sjabdoc
Wikipedia:Seqgih	Portaal:Gebruikersportaal
分类:用户语言	Categorie:Wikipedia:Babel
模板:Softredirect	Sjabloon:Softredirect
模板:Db	Sjabloon:Nuweg
分类:Vah	Categorie:Taal
分类:Veizgiek Bakgoh	Categorie:Encyclopedie Wikipedia
模板:Navbox	Sjabloon:Navigatie
模板:Babel	Sjabloon:Babel
模板:Reflist	Sjabloon:References
模板:User de	Sjabloon:Gebruiker de
模板:User en-1	Sjabloon:Gebruiker en-1
模板:User sk	Sjabloon:Gebruiker sk
分类:Ahsehbaiqgyangh	Categorie:Azerbeidzjan
模板:Mod	Sjabloon:Modulo
模板:Welcome	Sjabloon:Hola
模板:Wikipediasister	Sjabloon:Hoofdpagina/Projecten
分类:User en	Categorie:Wikipedia:Gebruiker en
分类:User zh	Categorie:Wikipedia:Gebruiker zh
分类:User zh-N	Categorie:Wikipedia:Gebruiker zh-M
模板:User zh	Sjabloon:Gebruiker zh
模板:Cite web	Sjabloon:Citeer web
模板:User language-N	Sjabloon:BabelM
模板:Documentation subpage	Sjabloon:Sjabdoc direct
模板:Cunghgoz	Sjabloon:Navigatie bestuurlijke indeling China
模板:Disambig	Sjabloon:Dp
分类:Gvangjcouh	Categorie:Kanton (stad)
分类:User sk	Categorie:Wikipedia:Gebruiker sk
模板:User zh-yue	Sjabloon:Gebruiker yue
分类:User sk-N	Categorie:Wikipedia:Gebruiker sk-M
分类:Gvangjdungh	Categorie:Guangdong
模板:Lang	Sjabloon:Lang
模板:Merge	Sjabloon:Samenvoegen
分类:Daizvanh	Categorie:Taiwan
分类:Doeng Divwnq	Categorie:Oost-Timor
分类:Bwzgingh	Categorie:Peking
分类:Byaek	Categorie:Groente
分类:Mak	Categorie:Fruit
分类:Gvangjsih	Categorie:Guangxi
分类:Soujduh	Categorie:Hoofdstad
分类:Cunghvaz Yinzminz Gunghozgoz	Categorie:Volksrepubliek China
Cunghgoz	China (doorverwijspagina)
Trojany	Trojany (Mazovië)
分类:Biengz Yacouh	Categorie:Land in Azië
分类:Divwnq	Categorie:Timor
模板:Gvangjsih	Sjabloon:Navigatie autonome regio Guangxi
模板:Gvangjdungh	Sjabloon:Navigatie provincie Guangdong
Song guj baenqluxsae	Dubbele helix
特殊:最近更改	Speciaal:RecenteWijzigingen
