ᐊᑉᕆᖄ	Afrika
ᐄᓅᓯᐊ	Indonesië
ᓯᓕ	Chili
ᐱᐅᓕᑦᓯᔨ	Jezus (traditioneel-christelijk)
ᒥᕐᑰᕆ	Mercurius (planeet)
ᖃᐅᔨᓴᕐᓂᖅ ᑎᑎᖅᑲᑎᒍᑦ ᖃᓄᐃᓕᐅᖅᑕᐅᖃᑦᑕᕐᓂᑯᓂᒃ	Geschiedenis
ᕖᓄᔅ	Venus (planeet)
ᑕᑯᑦᓱᒍᓱᑉᐳᖅ	Liefde
ᐅᕌᓄᔅ	Uranus (planeet)
ᓂᑉᑑᓐ	Neptunus (planeet)
ᓯᓚᓯᐅᕐᓂᖅ	Astronomie
ᑉᓘᑐ	Pluto (dwergplaneet)
ᒧᕆᐊᓪ	Montreal (Canada)
ᑕᖅᑭᖅ	Maan
ᐊᔅᑦᕌᓕᐊ	Australië (land)
ᐆᒫᑦᓱᓕᕆᓂᖅ/umatsuliriniq	Natuurkunde
ᐱᕉ	Peru
ᐆᒪᔅᓱᓯᖃᕐᑐᓕᕆᓂᖅ	Biologie
ᐊᖏᐋᕐᓂᖅ	Ontlasting
ᐃᑎᖅ	Anus (anatomie)
ᐱᕈᖅᑐᓴᔭᖅ/piruqtusajaq	Bloem (plant)
ᓄᓇᓖᑦ	Stad
ᐅᓪᓗᕆᐊᖅ	Ster (hemellichaam)
ᓯᕿᓂᖅ	Zon
ᕿᓚᒃ	Hemelgewelf
ᐅᓯᐋᓂᐊ	Oceanië
ᕿᒥᕐᕈᐊᑦ/qimirruat	Boek (document)
ᖃᐅ	Dag
ᐅᑭᐅᖅ	Jaar
ᒨᔅᑯ	Moskou
ᐃᓐᑎᐊ	India
ᓂᕐᔪᑦ	Dierenrijk
ᐱᕈᖅᑐᖅ	Planten
ᒫᓵᓲᓰᑦᔅ	Massachusetts
ᐊ'ᐊ'ᐋᒃ	Kip (vogel)
ᐃᕉᒃ	Irak
ᐊᓛᓯᑲ	Alaska
ᑉᓘᕇᑖ	Florida (staat)
ᐋᕇᓲᓈ	Arizona (staat)
ᐆᕇᕇᓐ	Oregon
ᐸᑭᔅᑕᓐ	Pakistan
ᓄᑕᒐᒃ	Baby
ᔪᓚᐃᐅᔅ	Julius Caesar
ᓄᓇᓕᕆᓂᖅ	Geologie
ᓄᓇᐅᔪᖅ	Aardrijkskunde
ᐄᓚᓄᐃᔅ	Illinois (staat)
ᑖᑰᑖ ᑐᓄᕕᐊᖅ	North Dakota
ᑖᑰᑖ ᓂᒋᖅ	South Dakota
ᐄᑖᓲ	Idaho
ᓂᕚᑖ	Nevada (staat)
ᑰᓘᕌᑑ	Colorado (staat)
ᓰᖄᑯ	Chicago
ᓯᐸᐃᓂᑎᑐᑦ	Spaans
ᐋᓯᕙᖅ	Spinnen (dieren)
ᒪᒪᖅᑐᖅ, ᓰᕐᓇᖅᑐᖅ ᐱᕈᖅᑐᖅ	Vrucht (plant)
ᓂᐅ ᐃᐅᕐᒃ	New York (staat)
ᐅᓵᐃᐅ	Ohio (staat)
ᐃᐊᐃᑖᓯᓐ/iaitaatsin	Uetersen
ᐊᐅᒍᔅᒻᐅᔅ	Imperator Caesar Augustus
ᐃᓐᑎᐋᓈ	Indiana
ᑖᒃᓵᔅ	Texas (staat)
ᑳᕉᓖᓈ ᑐᓄᕕᐊᖅ	North Carolina
ᑳᕉᓖᓈ ᓂᒋᖅ	South Carolina
ᑑᑭᐅ	Tokio
ᒦᓰᓰᐲ (ᐃᓗᐊᓂ)	Mississippi (staat)
ᒦᓃᓲᑖ	Minnesota
ᐃᐅᕙ	Iowa (staat)
ᐦᐃᓐᑏ	Hindi
ᓗᐄᓰᐋᓈ	Louisiana (staat)
ᐆᑳᓛᓲᒫ	Oklahoma
ᔅᑑᒃᓱᓪᒻ/stuukhulm	Stockholm
ᖃᓪᓗᓈᑎᑐᑦ	Engels
ᐋᓐᑎᐅᕆᔪ	Ontario
ᐊᑐᕚ/atavaa	Ottawa (stad)
ᓄᓇᑦᓯᐊᖅ	Northwest Territories
ᓄᓇᕗᑦ	Nunavut
2007	2007
ᐃᖃᓗᐃᑦ	Iqaluit
1999	1999
ᓂᕿ	Voedsel
ᖃᓂᖅ ᖁᐊᔪᖅ	Orale seks
ᒪᓪᒧ/malmu	Malmö (stad)
ᐊᔪᒃᑕᖅ	Voetbal
ᖂᖄ ᑰᓛ	Coca-Cola
ᒫᑭᓐᓯ ᑰᒃ	Mackenzie (rivier)
ᓯᕿᓃᖅᓯᖅᑐᖅ	Zonsverduistering
ᐃᓕᓐᓂᐊᕈᑎᒃᓴᓕᐅᕐᕕᒃ	School (instelling)
ᑎᒥ	Menselijke anatomie
ᑰᒃ	Rivier
Kunpusiusi	Confucius
ᑮᓱᐊ	Quechua (taal)
ᐊᒥᖅ	Hoofdpagina
ᐊᓇᐅᓕᒐᖅ	Honkbal
ᐃᓄᒃᑕᐅᑦ	Autobus
ᐅᓪᓕᐸᑲ	Deken (beddengoed)
ᓴᓂᓕᐊᖅᑐᖅ	Geslachtsgemeenschap
ᐅᑦᓱᒃ	Vagina
ᐃᓱᒪᓕᐅᕐᓂᖅ	Filosofie
ᐃᓅᖃᑎᒌᑦ ᐃᓕᖅᑯᓯᖃᑎᒌᒃᑐᑦ	Natie
ᑲᐅ ᓂᕿ ᑭᒻᒥᐊᒐᖅ ᕿᖂᔭᖅ	Hamburger
ᑯᓂᑉᐳᖅ	Zoen
ᕿᖓᖅ	Neus
ᐃᔨ	Oog (anatomie)
ᑭᒃᑐᕆᐊᖅ	Steekmuggen
ᐱᓱᒃᑎ	Zoogdieren
ᐊᕿᑦᑐᖅ ᖃᕆᑕᐅᔭᐅᑉ ᑎᑎᕋᕐᕕᖓ	Software
ᒥᑎᖅ	Anatidae
ᐊᐳᑦ	Sneeuw
ᐃᖏᕐᕋᔾᔪᑎᑦ	Vervoer
ᕝᓛᑎᒥᕐ ᐴᑎᓐ	Vladimir Poetin
ᕿᖂᔭᖅ	Brood
ᔅᕙᐦᐃᓕᑐᑦ	Swahili
ᒥᓂ	Regen (neerslag)
ᓴᔪᑉᐱᓛᕗᖅ	Aardbeving
ᓄᕗᔭᖅ	Wolk
ᐅᓚᔪᔭᖅ	Tornado (wervelwind)
ᐅᖄᓯᓕᕆᓂᖅ	Taalkunde
ᐃᓕᓴᐅᑎᒃ	Latijns alfabet
ᑎᕆᒐᓂᐊᖅ	Vossen
ᐃᓕᓐᓂᐊᖅᑐᓕᕆᓂᖅ	Onderwijs
ᐊᖑᑎ	Man (geslacht)
ᐃᓄᐃᑎᑦᑐᖅ	Abortus
ᐃᒻᒧᒃ	Melk (drank)
ᔅᕗᓐᔅᑭᑐᑦ	Zweeds
ᐃᕕᐊᖏᖅ	Borst
ᑯᕆᐊᑎᑐᑦ	Koreaans
ᐃᒡᔪᒃ	Teelbal
ᐃᒫᓗᒃ	Oceaan
ᖃᐸᒃ	Sperma
Ronald Reagan	Ronald Reagan
ᓱᑲᒃ	Tafelsuiker
ᓴᓇᕐᕈᑏᑦ ᐊᑑᑎᖏᑕᓗ ᖃᐅᔨᒪᔭᐅᓂᖓ	Technologie
ᑎᑎᕋᐅᔭᖅ	Engineering
ᐋᔩᖃᑎᒋᖏᖅ	Communicatie
ᑖᒃᑎ	Geneeskunde
ᕿᓚᐅᑦ	Trommel
ᐄᒐᑕᐃᕕᑦᓴᐃᑦ	Spel
ᐱᕈᕐᓰᓂᖅ ᓂᐅᕐᕈᑎᒃᓴᓕᐊᕆᓪᓗᒋᑦ	Landbouw
ᐊᐅᑦᓯᓇᖅᑐᖅ	Kleding
ᒧᒥᖅᑐᖅ	Dans
ᓯᕗᓕᐅᖅᐹ ᐊᓪᓚᒍᑎ ᖃᐅᔨᓴᕐᓂᖅ ᑎᑎᖅᑲᑎᒍᑦ ᖃᓄᐃᓕᐅᖅᑕᐅᖃᑦᑕᕐᓂᑯᓂᒃ/sivuliuqpaa allaguti qaujisarniq titiqqatigut qanuiliuqtauqattarnikunik	Prehistorie
ᐊᑎᖅᐳᖅ	Beren
ᑭᒍᑎᓕᕆᔨ	Tandheelkunde
ᑐᓵᓐᖏᓐᓂᖅ	Doofheid
ᐊᓐᓂᐊᒥ ᖃᐅᔨᓴᕐᓂᖅ	Geneesmiddel
ᐃᒡᓗᕐᔪᐊᑦ ᐋᖅᑭᒃᓯᒪᓂᖏᑦ	Architectuur
ᑭᒍᑎᙳᐊᑦ ᓂᐱᑎᓯᒪᔪᑦ	Brug (bouwwerk)
ᑭᓯᑦᓯᓯᖕᖑᕐᓗᒋᑦ ᐹᓯᔅᓱᑎᔅᓴᑦ	Statistiek
ᓴᕕᒐᐅᔭᖅ/ikumautit	Elektriciteit
ᐊᕋᕕ	Arabisch
ᓴᐃᒻᒪᑎ	Vlag
ᐊᓪᓛᑦ	Potlood
ᐊᓴᐱ	Hiv
ᐅᐃᑭᐱᑎᐊ:ᐱᐅᔪᖅ ᒪᑉᐱᑕᖅ	Wikipedia:Etalage
Template:Link FA	Sjabloon:Link FA
ᐅᐃᑭᐱᑎᐊ:ᐹᕐᓂᖅ	Wikipedia:De kroeg
ᐋᓐᓂᐊᕐᕕᒃ	Ziekenhuis
ᓯᑮᑐ	Sneeuwscooter
ᐃᒥᐊᓗᒃᑕᐃᓕᒪᓂᕐᒧᑦ ᐃᑲᔪᖃᑎᒌᒡᕕᒃ	Anonieme Alcoholisten
ᐊᒪᕈᒃ	Wolf
ᐊᕿᒃᑭᖅ	Witstaartsneeuwhoen
ᑐᓴᐅᒪᖃᑦᑕᐅᑎᔾᔪᑎᓂᒃ ᐊᐅᓚᑦᑎᔩᑦ/tusaumaqattautijjutinik aulattijiit	Informatica
ᒥᓗᑦᓱᑳᒐᖅ	Tomaat
ᑎᒦᑦᕆ ᒥᑦᕖᑎᕝ	Dmitri Medvedev
ᕿᒥᕐᕈᐊᑦ ᐅᓐᓂᖅᑐᖅ ᒥᑦᓯ ᑐᑭᐊ	Woordenboek
ᓖᓚ ᑕᓅᔅ	Lila Downs
ᐆᑉᓴᓚ/uupsala	Uppsala (stad)
ᐃᐅᑕᐳᕆ	Göteborg (stad)
ᑲᕐᓪᔅᑕᑦ	Karlstad (stad)
ᒧᓪᓐᓕᑭ/ Mölnlycke	Mölnlycke
ᐳᐃᔨᒃ	Zeehonden
ᑲᓇᑕᒥ ᐃᓄᐃᑦ ᐅᖃᐅᓯᖏᑦ	Eskimo-Aleoetische talen
ᑭᕝᒐᓗᒃ	Muskusrat
ᑲᑉᐳᑎᒨᖅᑐᖅ	Elektrisch vermogen
ᐆᒃᑐᕋᐃᓂᖅ	Examen
ᒧᓪᓐᑕᓪ/Mölndal	Mölndal (plaats)
ᓄᔭᐃᑦ	Haar (zoogdier)
ᐃᓄᒃᑎᑐᑦ	Inuktitut
ᐸᒥᐅᖅᑑᖅ	Otter (dier)
ᒥᖏᑎᑕᐅᑎᔪᖅ	Boksen
ᖃᕆᑕᐅᔭᕋᓛᖅ ᐊᑕᐅᓯᖅᓯᐅᑦ/qaritaujaralaaq atrausiqsiuit	Microcomputer
ᓇᓄᖅ	IJsbeer
ᑲᓪᓕᑕᖅ	Bliksem
ᐊᒡᒐᒃ	Hand
ᐊᑭᕈᐊᕈᖅ	Blad
ᕙᓪᐸᕃᓱ	Valparaíso (stad)
ᖁᖅᓗᕐᓂᖅ	Waterval
ᓯᐊᙳᓰᖂ	Oaxaca (staat)
ᐱᓚᒥᔅ	Vlaams
ᓯᐅᕋᖅ	Zand
ᑕᕋᖅᑑᑦ	Röntgenstraling
ᐃᓗ	Grot
ᑐᒃᑐᕙᒃ	Eland
ᓇᑕᖅᑯᕐᓇᐃᑦ/nataqqurnait	Hagel (neerslag)
ᐊᕕᙵᖅ	Mus (geslacht)
ᐊᑯᖅ	Baai
ᑐᒃᑐ	Rendier
ᐃᒥᐊᓗᒃ	Drank
ᔨᓐᓂᐱᕐ ᓗᐱᔅ	Jennifer Lopez
ᐊᐃᕕᖅ	Walrus
ᑐᖁᖓᔪᒥᒃ ᖃᐅᔨᓴᕐᓂᖅ	Autopsie
ᖃᐅᔨᓴᕐᓂᖅ	Wetenschappelijk onderzoek
ᓇᐹᖅᑐᖃᕈᓐᓇᙱᑦᑐᖅ	Toendra
ᑭᒡᒐᕕᒃ	Falco (geslacht)
ᖃᓪᓗ	Wenkbrauw
ᑕᑦᕿᖅᓯᖅᑐᖅ	Maansverduistering
ᐃᓂᖅᑐᐃᒍᑎ	Angst
ᖁᐱᓪᕈᖅ	Wormen (dieren)
ᐱᑉᓯ ᑰᓛ	Pepsi
ᒥᖅᓱᑎ	Naaimachine
ᓈᕌᔩᖅ	Kikkers
ᑎᑎᖅᑲᓕᐅᕈᑦ ᖃᕆᑕᐅᔭᙳᐊᒃᑯᑦ	Tekstverwerker
ᐳᑕᖅ	Bord (maaltijd)
ᓯᖓᐃᑦᔪᑎ	Zaadcel
ᐃᑭᐊᖅᖠᖅ/ikiaqłiq	Overhemd
ᐆ ᑲᓇᑕ	O Canada
ᐃᒡᓗ	Iglo
ᓄᓇᖃᖅᑳᖅᓯᒪᔪᑦ	Inheemse bevolking
ᒪᒃᐱᖅᑕᐅᑦ	Geweer
ᐃᕙᓗᕕᒃ ᐊᖑᑦ	Bodybuilding
ᐃᕐᒥᒡᕕᒃ	Wasmachine
ᓂᐱᐅᑦ	Lijm
ᕇ ᓕᖏᑏᖂ	One Direction
ᐃᒥᒐᖅ	Frisdrank
ᐆᒥᓱᑦᑐᖅ	Haat
ᐄᓐᖃ	Sapa Inca
ᑎᒻᒥᕗᖅ/timmivuq	Huisvlieg
ᓂᐱ	Archief
ᐅᒃᐱᒃ	Sneeuwuil
ᓯᓚᐅᕐᖏᖓ	Eschatologie
ᐃᓄᒃ	Homo (geslacht)
ᑕᓕᐊᖅ	Horloge
ᓂᕿᓂᐅᕕᕐᕕᒃ	Supermarkt
ᐅᒥᒻᒪᖅ	Muskusos
ᖃᕆᑕᐅᔭᖅ ᐊᒥᓱᓯᐅᑦ	Minicomputer
ᐊᒥᐃᐅᓕᐅᕈ	Fotokopiëren
ᐃᓄᐃᑦ (ᓄᓇᖃᖅᑳᖅᓯᒪᔪᑦ)	Inuit
ᐅᓪᓛᖅ/ullaaq	Zonsopkomst
ᖁᐸᓄᐊᕐᔪᐊᖅ	Blauwe gaai
ᐊᑭᖃᙱᑦᑐᒃᑯᑦ ᑕᐅᖅᓰᖃᑦᑕᕐᓂᖅ	Vrijhandel
ᐋᒪᐃᔪᖅ	Dronkenschap
ᐊᖓᔮᕐᓇᖅᑐᖅ ᓯᓕᙴᑎᕚ ᐅᓪᓛᒃ	Kater (alcohol)
ᕕᓯᐸ ᐱᐊᓯᐅ	Vespa (voertuig)
ᐱᓃᐊᔅᐃᕝᒥᕐᒃ	Phineas en Ferb
ᕕᐅ	Anggun
ᐅᑲᓕᒃ	Poolhaas
ᕿᖅᑯᐊᖅ	Zeewier
ᐅᖃᖅᑐᖅ	Taalhandeling
ᓄᕐᒃᑲᕆᑦ ᐃᓕᑕᖅᓯᒍᑎ	Stopbord
ᐅᕐᔭᖕ	Årjäng (plaats)
ᓇᓂᑦᓯᑰᔭᐃᑦ	Cornflakes
ᑐᐱᙳᐊᖅ	Adamsappel
ᓴᕝᓕ	Säffle (stad)
ᔮᓐ ᒦᐆᕐ	John Muir
ᐃᖃᓗᑉᐱᒃ	Trekzalm
ᑕᑯᒥᓇᖅᓕᐅᖅᑎᑦ	Kunstenaar
ᐃᑕ	Eda (gemeente)
ᔭᐊᒻᐋᕉ	Hammarö
ᕗᕐᓴᒐ	Forshaga (gemeente)
ᓱᓇ	Sunne (gemeente)
ᔅᑐᕐᕗᕐᔅ	Storfors (gemeente)
ᑐᕐᔅᐳ	Torsby (gemeente)
ᒃᕆᔅᑎᓂᔭᒻᓐ	Kristinehamn (gemeente)
ᑎᑎᕋᖅᓯᒪᔪᓂᒃ ᓄᓇᓕᓐᓂ ᓄᓇᕗᒻᒥ	Lijst van nederzettingen in Nunavut
ᐸᒃᑭ	Vinger
ᐊᕐᕕᑲ	Arvika (stad)
ᑐᐱᓚᒃ	Tupilak
ᑭᑦᑐᕇᓕᑕᖅ	Klamboe
ᒃᓚᐊᐱᑕ/klaipita	Klaipėda
Pigazzano	Pigazzano
ᕕᓕᑉᔅᑕᑦ	Filipstad (stad)
ᓴᓐᓇ	Sedna (godin)
ᐊᒡᕗᕐᔅ	Hagfors (stad)
ᑭᓪ	Kil (plaats in Zweden)
ᐊᕿᐊᕈᖅ	Maag
Sonic The Hedgehog	Sonic the Hedgehog (franchise)
ᐃᓄᒃᓱᒃ	Inuksuk
ᐃᓄᒐᙳᐊᖅ	Vingerkootje
ᒦᓰᓰᐲ	Mississippi
ᐃᓛᖁᑦᓯᖅ	Stekelvarkens
ᓐᓂᓗᐱᔅ'ᐊᕐ	Agnes Monica
Category:ᑲᓇᑕ	Categorie:Canada
Category:ᐱᕈᖅᑐᖅ/piruqtuq	Categorie:Plant
Category:ᖃᐅᔨᓴᕐᓃᑦ	Categorie:Wetenschap
ᒡᕈᒻᔅ	Grums (plaats)
ᒧᓐᒃᕗᕐᔅ	Munkfors (plaats)
ᓯᑎᒐᖅ	Hondenhok
ᐃᑖᖏᔭᖅᑐᖅ	Natte droom
ᓂᕿᑦᓯᐊᕙᓕᕆᓂᖅ	Voedingsleer
ᑎᑎᕋᐅᓯᖅᑐᖅ ᓄᑖᖅ	Inuktitut-schrift
Category:ᓇᐃᑦᑐᒥᒃ ᐅᖃᓕᒫᕐᕕᒃ	Categorie:Wikipedia:Beginnetje
Category:ᐊᖏᔪᖅ ᒥᕗᒃ	Categorie:Continent
Category:Wikipedia bots	Categorie:Wikipedia:Bots
Category:ᐃᓅᖃᑎᒌᑦ ᐃᓕᖅᑯᓯᖃᑎᒌᒃᑐᑦ	Categorie:Land
ᐅᐃᑭᐱᑎᐊoikipitia:ᑐᑭᓕᐅᖅᐹinuluriji	Wikipedia:Moderator
ᐅᐃᑭᐱᑎᐊ:Bots	Wikipedia:Bots
Category:ᖃᕆᓴᐅᔭᒃᑯᑦ ᑎᑎᕋᖅᓯᒪᔪᑦ	Categorie:Internet
Category:ᐃᓕᓐᓂᐊᖅᑐᓕᕆᓂᖅ/ilinniaqtuliriniq	Categorie:Onderwijs
ᑯᓇᔅ/kunas	Kaunas
ᐅᐃᑭᐱᑎᐊ:Sock puppetry	Wikipedia:Sokpop
Template:Bot	Sjabloon:Bot
ᑲᓇᑕ	Canada
Category:ᔅᕗᕆᑭ	Categorie:Zweden
Template:Documentation	Sjabloon:Sjabdoc
Category:Babel	Categorie:Wikipedia:Babel
ᐅᐃᑭᐱᑎᐊ:ᓇᐃᑦᑐᒥᒃ ᐅᖃᓕᒫᕐᕕᒃ	Wikipedia:Beginnetje
Template:Softredirect	Sjabloon:Softredirect
Template:ᓂᐸᖅᑎᐹ	Sjabloon:Nuweg
Category:ᐅᖃᕐᕕᐅᑎᔪᑦ	Categorie:Taal
Category:ᐅᐃᑭᐱᑎᐊ	Categorie:Encyclopedie Wikipedia
Category:ᑕᒃᕿᒃ	Categorie:Maand
Template:Babel	Sjabloon:Babel
Template:Commons	Sjabloon:Commons
Template:Reflist	Sjabloon:References
Template:Stub	Sjabloon:Beginnetje
Template:Mod	Sjabloon:Modulo
Template:Ai	Sjabloon:Hola
Category:User fr-1	Categorie:Wikipedia:Gebruiker fr-1
Category:User en-4	Categorie:Wikipedia:Gebruiker en-4
Category:User en	Categorie:Wikipedia:Gebruiker en
Category:User en-2	Categorie:Wikipedia:Gebruiker en-2
Category:User hi	Categorie:Wikipedia:Gebruiker hi
Template:IPA	Sjabloon:IPA
Template:Babel kadro D	Sjabloon:BabelM
Category:ᖃᕋᓴᐅᔭᖅ	Categorie:Computer
Category:User ja-N	Categorie:Wikipedia:Gebruiker ja-M
Template:InterWiki	Sjabloon:InterWiki
Category:User az	Categorie:Wikipedia:Gebruiker az
Category:User be	Categorie:Wikipedia:Gebruiker be
Category:User hr	Categorie:Wikipedia:Gebruiker hr
Category:User eo	Categorie:Wikipedia:Gebruiker eo
Category:User et	Categorie:Wikipedia:Gebruiker et
Category:User fr	Categorie:Wikipedia:Gebruiker fr
Category:User gl	Categorie:Wikipedia:Gebruiker gl
Category:User ia	Categorie:Wikipedia:Gebruiker ia
Category:User ja	Categorie:Wikipedia:Gebruiker ja
Category:User sv	Categorie:Wikipedia:Gebruiker sv
Category:User fr-3	Categorie:Wikipedia:Gebruiker fr-3
Category:User cs-1	Categorie:Wikipedia:Gebruiker cs-1
Category:User da-1	Categorie:Wikipedia:Gebruiker da-1
Category:User et-1	Categorie:Wikipedia:Gebruiker et-1
Category:User gl-1	Categorie:Wikipedia:Gebruiker gl-1
Category:User hi-1	Categorie:Wikipedia:Gebruiker hi-1
Category:User ar-1	Categorie:Wikipedia:Gebruiker ar-1
Category:User be-2	Categorie:Wikipedia:Gebruiker be-2
Category:User da-2	Categorie:Wikipedia:Gebruiker da-2
Category:User fr-2	Categorie:Wikipedia:Gebruiker fr-2
Category:User ia-2	Categorie:Wikipedia:Gebruiker ia-2
Category:User cs-N	Categorie:Wikipedia:Gebruiker cs-M
Category:User fr-N	Categorie:Wikipedia:Gebruiker fr-M
Category:User it-N	Categorie:Wikipedia:Gebruiker it-M
Category:User af	Categorie:Wikipedia:Gebruiker af
Category:User af-1	Categorie:Wikipedia:Gebruiker af-1
Category:User als	Categorie:Wikipedia:Gebruiker als
Category:User als-1	Categorie:Wikipedia:Gebruiker als-1
Category:User ar	Categorie:Wikipedia:Gebruiker ar
Category:User ast	Categorie:Wikipedia:Gebruiker ast
Category:User ast-1	Categorie:Wikipedia:Gebruiker ast-1
Category:User az-N	Categorie:Wikipedia:Gebruiker az-M
Category:User bar	Categorie:Wikipedia:Gebruiker bar
Category:User bar-1	Categorie:Wikipedia:Gebruiker bar-1
Category:User bg	Categorie:Wikipedia:Gebruiker bg
Category:User bg-1	Categorie:Wikipedia:Gebruiker bg-1
Category:User ca	Categorie:Wikipedia:Gebruiker ca
Category:User ca-1	Categorie:Wikipedia:Gebruiker ca-1
Category:User cs	Categorie:Wikipedia:Gebruiker cs
Category:User da	Categorie:Wikipedia:Gebruiker da
Category:User de	Categorie:Wikipedia:Gebruiker de
Category:User de-2	Categorie:Wikipedia:Gebruiker de-2
Category:User de-3	Categorie:Wikipedia:Gebruiker de-3
Category:User de-N	Categorie:Wikipedia:Gebruiker de-M
Category:User en-3	Categorie:Wikipedia:Gebruiker en-3
Category:User en-N	Categorie:Wikipedia:Gebruiker en-M
Category:User eo-1	Categorie:Wikipedia:Gebruiker eo-1
Category:User eo-2	Categorie:Wikipedia:Gebruiker eo-2
Category:User eo-3	Categorie:Wikipedia:Gebruiker eo-3
Category:User es	Categorie:Wikipedia:Gebruiker es
Category:User es-1	Categorie:Wikipedia:Gebruiker es-1
Category:User es-2	Categorie:Wikipedia:Gebruiker es-2
Category:User es-4	Categorie:Wikipedia:Gebruiker es-4
Category:User es-N	Categorie:Wikipedia:Gebruiker es-M
Category:User eu	Categorie:Wikipedia:Gebruiker eu
Category:User eu-4	Categorie:Wikipedia:Gebruiker eu-4
Category:User fa	Categorie:Wikipedia:Gebruiker fa
Category:User fa-1	Categorie:Wikipedia:Gebruiker fa-1
Category:User fa-N	Categorie:Wikipedia:Gebruiker fa-M
Category:User fi	Categorie:Wikipedia:Gebruiker fi
Category:User fi-N	Categorie:Wikipedia:Gebruiker fi-M
Category:User grc	Categorie:Wikipedia:Gebruiker grc
Category:User grc-1	Categorie:Wikipedia:Gebruiker grc-1
Category:User hr-1	Categorie:Wikipedia:Gebruiker hr-1
Category:User iu	Categorie:Wikipedia:Gebruiker iu
Template:Babel kadro 2	Sjabloon:Babel2
Category:User pt-4	Categorie:Wikipedia:Gebruiker pt-4
Category:User sv-1	Categorie:Wikipedia:Gebruiker sv-1
Category:User sv-N	Categorie:Wikipedia:Gebruiker sv-M
Category:User tr	Categorie:Wikipedia:Gebruiker tr
Category:User tr-N	Categorie:Wikipedia:Gebruiker tr-M
Category:User wa	Categorie:Wikipedia:Gebruiker wa
Category:User wa-N	Categorie:Wikipedia:Gebruiker wa-M
Template:Lang	Sjabloon:Lang
Template:ᕙᕐᒻᓚᓐᑦ	Sjabloon:Navigatie provincie Värmlands län
Category:User no-1	Categorie:Wikipedia:Gebruiker no-1
Category:User no	Categorie:Wikipedia:Gebruiker no
Category:ᓄᓇᕗᑦ/nunavut	Categorie:Nunavut
Category:ᓯᓚᕐᔪᐊᒥᐅᑦ	Categorie:Dierenrijk
Category:ᐃᖏᕐᕋᔾᔪᑎᑦ/ingirrajjutit	Categorie:Vervoer
Category:User en-1	Categorie:Wikipedia:Gebruiker en-1
Category:User de-1	Categorie:Wikipedia:Gebruiker de-1
Category:User da-N	Categorie:Wikipedia:Gebruiker da-M
Special:RecentChanges	Speciaal:RecenteWijzigingen
