आफ्रिकाखण्डः	Afrika
१७३९	1739
१८२६	1826
१६६१	1661
१७४०	1740
१८२७	1827
कालिदासः	Kālidāsa
नील्स बोह्र	Niels Bohr
परिसरविज्ञानम्	Ecologie
राजनीतिः	Politiek
प्रजातन्त्रम्	Democratie
विश्व रेड्क्रास दिनम्	Rode Kruis
मेरी क्यूरी	Marie Curie
नोबेल् प्रशस्तिः	Nobelprijs
एलिजबेथ् प्रथमा	Elizabeth I van Engeland
रोजा लक्जेम्बर्ग	Rosa Luxemburg
रवीन्द्रनाथ ठाकुरः	Rabindranath Tagore
एलेन ट्यूरिंग	Alan Turing
बाड्मिण्टन्-क्रीडा	Badminton
गुस्तावः मालेरः	Gustav Mahler
नात्सी पार्टी	Nationaalsocialistische Duitse Arbeiderspartij
सिन्धूनदी	Indus (rivier)
दक्षिणध्रुवीयमहासागरः	Zuidelijke Oceaan
हुआंग हे नदी	Gele Rivier
कर्णः	Oor
नासिका	Neus
अक्षि	Oog (anatomie)
एल्फ़्रेड हिचकॉक	Alfred Hitchcock
सस्तनः	Zoogdieren
गजः	Olifanten
आण्ड्रे अगास्सि	Andre Agassi
डच भाषा	Nederlands
मार्गरेट थाचर	Margaret Thatcher
डारोति क्रोफट् हाज्किन्	Dorothy Crowfoot Hodgkin
पुष्पशाकम्	Bloemkool
वृन्ताकः	Aubergine (plant)
इंगमार बर्गमान	Ingmar Bergman
माता	Moeder
१८२८	1828
१८२९	1829
१७४१	1741
१६६२	1662
१७४२	1742
१८३०	1830
१६६३	1663
१८३१	1831
१७४३	1743
१६६४	1664
१६६५	1665
१७४४	1744
१८३२	1832
१६६६	1666
१७४५	1745
१८३३	1833
१६६७	1667
१७४६	1746
परिवहनम्	Vervoer
१८३४	1834
१६६८	1668
१७४७	1747
१८३५	1835
१७४८	1748
१८३६	1836
१६६९	1669
लियोनार्ड ओइलर	Leonhard Euler
१६७०	1670
१७४९	1749
१८३७	1837
१६७१	1671
१७५०	1750
१८३८	1838
१६७२	1672
१७५१	1751
१८३९	1839
१६७३	1673
१७५२	1752
१८४०	1840
१६७४	1674
१७५३	1753
१८४१	1841
१७५४	1754
१६७५	1675
१८४२	1842
१७५५	1755
१६७६	1676
१६७७	1677
१७५६	1756
१८४४	1844
१६७८	1678
१७५७	1757
१६७९	1679
१७५८	1758
१८४६	1846
१६८०	1680
१७५९	1759
१८४७	1847
१६८१	1681
१७६०	1760
१८४८	1848
१६८२	1682
१७६१	1761
१८४९	1849
१६८३	1683
१७६२	1762
१८५०	1850
१६८४	1684
१७६३	1763
१८५१	1851
१७६४	1764
१६८५	1685
१८५२	1852
१६८६	1686
१७६५	1765
१८५३	1853
१६८७	1687
१७६६	1766
१८५४	1854
१६८८	1688
१७६७	1767
१८५५	1855
१६८९	1689
१७६८	1768
१८५६	1856
१६९०	1690
१७६९	1769
१६९१	1691
१७७०	1770
१८५८	1858
१६९२	1692
१७७१	1771
१८५९	1859
१६९३	1693
१७७२	1772
१८६०	1860
१७७३	1773
१८६१	1861
१६९४	1694
१६९५	1695
१७७४	1774
१८६२	1862
१६९६	1696
१७७५	1775
१८६३	1863
१६९७	1697
१७७६	1776
१८६४	1864
१६९८	1698
१८६५	1865
१७७७	1777
१६९९	1699
१८६६	1866
१७७८	1778
१७७९	1779
१८६७	1867
१७८०	1780
१८६८	1868
१७८१	1781
१८६९	1869
जलकूर्दनक्रीडा	Schoonspringen
रूसी भाषा	Russisch
१७८२	1782
१८७०	1870
१७८३	1783
१८७१	1871
व्लाडिमिर पुटिन	Vladimir Poetin
१७८४	1784
१८७२	1872
१७८५	1785
१८७३	1873
१७८६	1786
१८७४	1874
१७८७	1787
१८७५	1875
१७८८	1788
१८७६	1876
१७८९	1789
१८७७	1877
१७९०	1790
१८७८	1878
१८७९	1879
१७९१	1791
रोटी	Brood
१७९२	1792
१८८०	1880
१७९३	1793
१८८१	1881
विश्व संस्थानस्य शैक्षणिक, वैज्ञानिक, सांस्कृतिक संस्थानम्	UNESCO
होमर सिम्प्सन	Homer Simpson
१७९४	1794
१८८२	1882
१७९५	1795
१८८३	1883
१७९६	1796
१८८४	1884
१७९७	1797
१८८५	1885
१८८६	1886
१७९८	1798
१८८७	1887
१७९९	1799
मार्ज सिम्प्सन	Marge Simpson
१८८८	1888
१८८९	1889
१८९०	1890
म्यागी सिम्प्सन	Maggie Simpson
१८९१	1891
१८९२	1892
१८९३	1893
१८९४	1894
१८९५	1895
१८९६	1896
१८९७	1897
१८९८	1898
चीनी भाषा	Chinese talen
१८९९	1899
रक्तम्	Bloed
अस्थिपञ्जरः	Skelet
फुफ्फुसः	Long (orgaan)
हिमप्रपात	Lawine
भूकम्पः	Aardbeving
खानिजः	Mineraal
सत्यम्	Waarheid
मूषकम्	Muis (computer)
प्राकृतिकविज्ञानम्	Natuurwetenschap
सेर्गे आइसेन्स्टाइन	Sergej Eisenstein
अकिरा कुरोसावा	Akira Kurosawa
फ़्राँक्लिन रुज़वेल्ट	Franklin Delano Roosevelt
अविसेन्न	Avicenna
विन्स्टन चर्चिल	Winston Churchill
नेल्सन् मण्डेला	Nelson Mandela
मार्टिन् लूथर् किङ्ग् (ज्यू)	Martin Luther King
प्राकृतिकी आपद्	Natuurramp
प्लावनम्	Overstroming
सुनामी	Tsunami
अग्निपर्वतः	Vulkaan
चक्रवातः	Tornado (wervelwind)
व्याकरणम्	Grammatica
प्रभञ्जन	Tropische cycloon
तेलुगु	Telugu (taal)
वायुमण्डलम्	Atmosfeer (astronomie)
अर्थशास्त्रम् (ग्रन्थः)	Economie
भाषाविज्ञानम्	Taalkunde
लिपयः	Schrift
साक्षरता	Alfabetiseringsgraad
विराटनगर	Biratnagar
वर्गः:साहित्यम्	Categorie:Literatuur
महाभारतम्	Mahabharata
सिकन्दर महान	Alexander de Grote
कान्स्टण्टैन १	Constantijn de Grote
हस्तकन्दुकक्रीडा	Handbal
सभ्यता	Beschaving
ओट्टो वॉन बिस्मार्क	Otto von Bismarck
तैमुरलंग	Timoer Lenk
पीटर महान (रूस)	Peter I van Rusland
काफीपेयम्	Koffie
फलरसः	Vruchtensap
क्षीरम्	Melk (drank)
पर्वताः	Berg (landvorm)
मरुस्थलीयभूमिः	Woestijn
सलाउद्दीन	Saladin
अशोकः	Asoka
अक्बरः	Akbar de Grote
साइमन बोलीवार	Simón Bolívar
क्वामे एन्क्रूमाह	Kwame Nkrumah
हांग् कांग् नगरम्	Hongkong
कराची	Karachi
अरब-इस्रैल सङ्घर्षः	Arabisch-Israëlisch conflict
वाल्ट डिज्नी	Walt Disney
आर्किमिडीस्	Archimedes
थामस् एडिसन्	Thomas Edison
एन्रीको फर्मी	Enrico Fermi
हेन्री फोर्ड	Henry Ford
जोसेफ फोरिए	Joseph Fourier
गेलेन्	Claudius Galenus
कोषि अगस्टीन् लूयी	Augustin Louis Cauchy
सत्यजित राय	Satyajit Ray
स्टीवन स्पीलबर्ग	Steven Spielberg
योहानेस केप्लर्	Johannes Kepler
माक्स प्लान्क	Max Planck
निकोला टेस्ला	Nikola Tesla
चाणक्यः	Chanakya
गाटफ्रीड् लैबनिट्ज्	Gottfried Wilhelm Leibniz
कार्ल मार्क्स	Karl Marx
विद्या	Kennis
लेतुवाभाषा	Litouws
हिन्दूधर्मः	Hindoeïsme
कुचः	Borst
परमाणुः	Atoom
अर्विन श्रोडिन्गर	Erwin Schrödinger
मिथकशास्त्रं	Mythologie
ताजमहल्	Taj Mahal
आत्मा	Ziel (filosofie)
धर्मशास्त्रप्रविभागः	Religie
कोरियालि भाषा	Koreaans
नारायणी	Narayani
कैंटोनी भाषा	Standaardkantonees
रने देकार्त	René Descartes
वियतनामी भाषा	Vietnamees
सिग्मण्ड् फ़्रुड्	Sigmund Freud
थाई भाषा	Thai (taal)
जैनमतम्	Jaïnisme
जार्ज विल्हेम फ्रेडरिच हेगेल	Georg Wilhelm Friedrich Hegel
बहासा इंडोनेशिया	Indonesisch
विश्वपरम्परास्थानानि	Werelderfgoedlijst
इमान्युएल काण्ट	Immanuel Kant
सिखमतम्	Sikhisme
योगः	Yoga
यकृत्	Lever
वृक्का	Nier (biologie)
एडम स्मिथ	Adam Smith
महावीरः	Mahavira
सागरः	Oceaan
दिगम्बरः सम्प्रदायः	Digambar
थामस एक्विनास	Thomas van Aquino
विक्टोरिया	Victoria van het Verenigd Koninkrijk
गौतमबुद्धः	Gautama Boeddha
लोथाल्	Lothal
मुहम्मद्	Mohammed
चिक्रोड़ः	Eekhoorns
सचिन तेण्डुलकर	Sachin Tendulkar
ए पि जे अब्दुल् कलाम्	Abdul Kalam
शाहरूख खान	Shahrukh Khan
टोनी ब्लेयर	Tony Blair
कैटरीना कैफ	Katrina Kaif
मार्टिन लूथर	Maarten Luther
आमिर खान	Aamir Khan
अमिताभ बच्चन	Amitabh Bachchan
नाभिः	Buik
बाङ्गला भाषा	Bengaals
जिह्वा	Tong (anatomie)
नाडी	Zenuw
कण्ठः	Nek (anatomie)
वक्त्रम्	Mond (orgaan)
अन्त्रम्	Ingewanden
एलिज़बेथ २	Elizabeth II van het Verenigd Koninkrijk
डायना राजकुमारी	Diana Spencer
कोयम्बत्तूरु	Coimbatore (stad)
मैसूरु	Mysore (stad)
राफेल् नडाल्	Rafael Nadal
राहुल गान्धी	Rahul Gandhi
भारतीयराष्ट्रियकाङ्ग्रेस्	Congrespartij
भारतीयजनतापक्षः	Bharatiya Janata-partij
दीपावलिः	Divali
होलीपर्व	Holi-Phagwa
पैथागोरस्	Pythagoras
नवरात्रोत्सवः	Navratri
मैसूरुदसरामहोत्सवः	Dashera
कुम्भोत्सवः	Kumbh Mela
रायन गिग्स	Ryan Giggs
टॉम क्लेवेर्ली	Tom Cleverley
एश्ली यंग	Ashley Young
११००	1100
सर्पण-शीलः	Reptielen
अन्धता	Blindheid
जीवाणुः	Bacteriën
तरुः	Boom (plant)
द्राक्षा	Druif
मधु (आहारपदार्थः)	Honing
आलुकम्	Aardappel
शर्करा	Tafelsuiker
शाकानि	Groente
सोयामाषः	Sojaboon
सञ्चारः	Communicatie
वार्त्तापत्रम्	Krant
दूरवाणी	Telefoontoestel
संस्कृतम्	Sanskriet
इन्द्रियाणि	Zintuigstelsel
अम्लम्	Zuur (scheikunde)
आयुर्विज्ञान	Geneeskunde
क्षारः	Base (scheikunde)
लवणम्	Keukenzout
फिदेल कास्ट्रो	Fidel Castro
तत्त्वम् (रसायनशास्त्रम्)	Chemisch element
आर्यभटः	Aryabhata
शिवः	Shiva
विष्णुः	Vishnoe
ब्रह्मा	Brahma (hindoeïsme)
परस्परक्रिया	Kracht
गुरुत्वाकर्षणशक्तिः	Zwaartekracht
संहतिः (भौतविज्ञानम्)	Massa (natuurkunde)
चलच्चित्रम्	Film (cinematografie)
द्विचक्रिका	Fiets
कृषिः	Landbouw
शब्दः	Geluid
क्षेत्रफलम्	Oppervlakte
यवः	Gerst
हैरी ट्रूमन	Harry S. Truman
चित्रकला	Schilderkunst
नृत्यम्	Dans
ऋणाणुशास्त्र	Elektronica
आवर्तनम् (Frequency)	Frequentie
लाहोर	Lahore
देशाः	Lijst van landen in 2015
पाषाणयुगम्	Steentijd
कांस्ययुगम्	Bronstijd
लोहयुगम्	IJzertijd
पौराणयवनसंस्कृतिः	Oude Griekenland
गुप्त-साम्राज्यम्	Gupta's
थामस् जेफरसन्	Thomas Jefferson
राजकोट	Rajkot (stad)
सिल्विओ बर्लुस्कोनी	Silvio Berlusconi
जुनागढ	Junagadh
वडोदरा	Vadodara (stad)
गान्धीनगरम्	Gandhinagar (stad)
प्रभासंयोगः	Fotosynthese
११०१	1101
११०२	1102
कर्कटरोगः	Kanker
विसूचिका	Cholera
गोधूमः	Tarwe
यावानलः	Sorgo
बधिरता	Doofheid
मानसिकरोगः	Psychische aandoening
ग्रेगोरी-कालगणना	Gregoriaanse kalender
समयवलयः	Tijdzone
स्वस्थ:	Gezondheid
हृदयाघातः	Hartinfarct
शीतज्वरः	Malaria
मेदुरता	Obesitas
एइड्स्	Aids
क्षयरोगः	Tuberculose
मधुमेहः	Diabetes mellitus
वास्तुशास्त्रम्	Architectuur
फलकम्:Location map India	Sjabloon:Positiekaart India
मापनप्रविधिः	Meten
संख्याशास्त्रम्	Getaltheorie
११०३	1103
११०४	1104
आस्ट्टाल्ट् फ्रिडरिक् विल्हेल्म्	Wilhelm Ostwald
अण्वस्त्रम्	Kernwapen
कपालः	Schedel
केरवृक्षः	Kokospalm
दाडिमफलम्	Granaatappel
नारङ्गफलम्	Sinaasappel
राजस्थानी	Rajasthani
हार्वर्ड् विश्वविद्यालयः	Harvard-universiteit
११०५	1105
अरबीभाषा	Arabisch
कासनी जियावानि डोमिनिको	Giovanni Domenico Cassini
ब्रान्टोसारस्	Apatosaurus
नागदामिनी	Broodboom
अरियलूर् मण्डलम्	Ariyalur (district)
कोयम्बत्तूरुमण्डलम्	Coimbatore (district)
कडलूरुमण्डलम्	Cuddalore (district)
धर्मपुरीमण्डलम्	Dharmapuri (district)
दिण्डुगलमण्डलम्	Dindigul (district)
ईरोडमण्डलम्	Erode (district)
काञ्चिपुरमण्डलम्	Kanchipuram (district)
कन्याकुमारीमण्डलम्	Kanyakumari (district)
अधरम्	Lip
श्मश्रु	Snor (haargroei)
करूरुमण्डलम्	Karur (district)
मधुरैमण्डलम्	Madurai (district)
नागपट्टिणमण्डलम्	Nagapattinam (district)
पेरम्बलूरुमण्डलम्	Perambalur (district)
नामक्कलमण्डलम्	Namakkal (district)
नीलगिरीमण्डलम्	Nilgiris (district)
पुदुक्कोट्टैमण्डलम्	Pudukkottai (district)
रामनाथपुरमण्डलम्	Ramanathapuram (district)
सेलम्-मण्डलम्	Salem (district)
तञ्जावूरुमण्डलम्	Thanjavur (district)
शिवगङ्गामण्डलम्	Sivaganga (district)
तेनिमण्डलम्	Theni (district)
तिरुवारूरुमण्डलम्	Tiruvarur (district)
तूतुकुडिमण्डलम्	Thoothukudi (district)
तिरुनेल्वेलीमण्डलम्	Tirunelveli (district)
तिरुच्चिरापळ्ळिमण्डलम्	Tiruchirappalli (district)
तिरुवळ्ळूरुमण्डलम्	Tiruvallur (district)
विऴुप्पुरमण्डलम्	Viluppuram (district)
वेल्लूरुमण्डलम्	Vellore (district)
तिरुवण्णामलैमण्डलम्	Tiruvannamalai (district)
विरुदुनगरमण्डलम्	Virudhunagar (district)
कर्नूलुमण्डलम्	Kurnool (district)
नेल्लूरुमण्डलम्	Nellore (district)
तवाङ्गमण्डलम्	Tawang (district)
उत्तरसियाङ्गमण्डलम्	Upper Siang
चरणम्	Voet (anatomie)
एमील डर्खीम	Émile Durkheim
स्कन्दः	Schouder
विकिपीडिया:निर्वाचित लेख	Wikipedia:Etalage
फलकम्:Link FA	Sjabloon:Link FA
विकिपीडिया:विचारमण्डपम्	Wikipedia:De kroeg
कमलम्	Heilige lotus
वर्मांट	Vermont
डेन्वर्	Denver
फिनिक्स्, एॅरिझोना	Phoenix (Arizona)
आस्टिन्	Austin (Texas)
ISO 15924	ISO 15924
विकिया	Wikia
स्टार् वार्स्:अ नुय्य् होप्	Star Wars: Episode IV: A New Hope
साक्रामेन्टो	Sacramento (Californië)
हानलूलू	Honolulu
कोरिया	Korea
प्राविडेन्स्	Providence (Rhode Island)
१०००	1000
९९९	999
वैश्विकस्थितिसूचकपद्धतिः	Global positioning system
मामे बिराम दिउफ़	Mame Biram Diouf
ताजमहल् प्यालेस्	Taj Mahal Palace & Tower
१००१	1001
१००२	1002
१००३	1003
१००५	1005
१००६	1006
१००७	1007
१००८	1008
१००९	1009
१०१०	1010
१०११	1011
१०१२	1012
१०१३	1013
१०१४	1014
१०१५	1015
१०१६	1016
१०१७	1017
१०१८	1018
१०१९	1019
१०२०	1020
१०२१	1021
१०२२	1022
१०२३	1023
१०२४	1024
१०२५	1025
१०२६	1026
१०२७	1027
१०२८	1028
१०२९	1029
१०३०	1030
१०३१	1031
१०३२	1032
१०३३	1033
१०३४	1034
१०३५	1035
१०३६	1036
१०३७	1037
१०३८	1038
१०३९	1039
१०४०	1040
१०४१	1041
१०४२	1042
१०४३	1043
१०४४	1044
१०४५	1045
१०४६	1046
१०४७	1047
१०४८	1048
१०४९	1049
१०५०	1050
१०५१	1051
१०५२	1052
१०५३	1053
१०५४	1054
१०५५	1055
१०५६	1056
१०५७	1057
१०५८	1058
१०५९	1059
१०६०	1060
१०६१	1061
१०६२	1062
१०६३	1063
१०६४	1064
१०६५	1065
१०६६	1066
१०६७	1067
१०६८	1068
१०६९	1069
१०७०	1070
१०७१	1071
१०७२	1072
१०७३	1073
१०७४	1074
१०७५	1075
१०७६	1076
१०७७	1077
१०७८	1078
१०७९	1079
१०८०	1080
१०८१	1081
१०८२	1082
१०८३	1083
१०८४	1084
१०८५	1085
१०८६	1086
१०८७	1087
१०८८	1088
१०८९	1089
१०९०	1090
१०९१	1091
१०९२	1092
१०९३	1093
१०९४	1094
१०९५	1095
१०९६	1096
१०९७	1097
१०९८	1098
१०९९	1099
११०६	1106
११०७	1107
११०८	1108
११०९	1109
१११०	1110
पोडाल्स्क्	Podolsk
११११	1111
१११२	1112
१११३	1113
१११४	1114
१११५	1115
१११६	1116
१११७	1117
१११८	1118
१११९	1119
११२०	1120
११३०	1130
११३१	1131
११३२	1132
११३३	1133
११३४	1134
११३५	1135
११३६	1136
११३७	1137
११३८	1138
११३९	1139
५	5
११४०	1140
११४१	1141
११४२	1142
११४३	1143
११४४	1144
४	4
११४५	1145
११४६	1146
११४७	1147
११४८	1148
३	3
११४९	1149
११५०	1150
११५१	1151
११५२	1152
११५३	1153
२	2
११५४	1154
११५५	1155
११५६	1156
११५७	1157
११५८	1158
११५९	1159
११६०	1160
११६१	1161
११६२	1162
११६३	1163
११६४	1164
११६५	1165
११६६	1166
११६७	1167
११६८	1168
११६९	1169
११७०	1170
११७१	1171
११७२	1172
११७३	1173
११७४	1174
११७५	1175
११७६	1176
११७७	1177
११७८	1178
११७९	1179
११८०	1180
११८१	1181
११८२	1182
११८३	1183
११८४	1184
११८५	1185
११८६	1186
११८७	1187
११८८	1188
११८९	1189
११९०	1190
११९१	1191
११९२	1192
११९३	1193
११९४	1194
११९५	1195
११९६	1196
११९७	1197
११९८	1198
११९९	1199
कच्छवनस्पतियुक्तभूमिः	Mangrove
६	6
क्रिस्मस्	Kerstmis
अधिवर्षम्	Schrikkeljaar
स्टीव जाब्स	Steve Jobs
व्याघ्रः	Tijger
हरितकानि	Bladgewas
कन्दमूलानि	Wortelgewas
निस्सान् मोटार् कम्पनि	Nissan Motor
स्याम्सङ्ग्	Samsung Group
एडवर्ड ७	Eduard VII van het Verenigd Koninkrijk
चिशिनौ	Chisinau
सङ्गणकविज्ञानम्	Informatica
ओडिशाराज्यम्	Odisha
पञ्जाबराज्यम्	Punjab (India)
जनसङ्ख्यासान्द्रता	Bevolkingsdichtheid
आयर्लैंड	Ierland (eiland)
१	1
१०	10
नाश्विल्	Nashville (Tennessee)
२०	20
३०	30
४०	40
साल्ट् लेक् सिटी	Salt Lake City
९	9
७	7
८	8
१२	12
हरिणः	Hertachtigen
लशुनम्	Knoflook
मानवविज्ञानं	Antropologie
९३०	930
१३	13
९८५	985
११२२	1122
९८१	981
९३९	939
उर्वारुकम्	Cucumis sativus
५१	51
श्वेत	Wit
कृष्ण वर्णः	Zwart (kleur)
८१४	814
६७८	678
९५०	950
६७९	679
९९६	996
६८०	680
३७	37
९८०	980
९००	900
११२९	1129
८४३	843
६९०	690
६९१	691
९८८	988
६९२	692
४७६	476
६९३	693
६९४	694
६९५	695
पलाण्डुः	Ui (plant)
६९६	696
६९७	697
६९८	698
६९९	699
७००	700
७०१	701
७०२	702
पुरातत्त्व	Archeologie
७०३	703
वार्तकी	Tomaat
७०४	704
७०५	705
७०६	706
६८	68
८९	89
७०७	707
७०८	708
७०९	709
११	11
७१०	710
७११	711
७१२	712
७१३	713
७१४	714
७१५	715
७१६	716
७१७	717
७१८	718
७१९	719
७२०	720
७२१	721
७२२	722
७२३	723
नासा	National Aeronautics and Space Administration
७२४	724
७२५	725
७२६	726
अटलान्टा	Atlanta
७२७	727
बेनितो मुसोलिनी	Benito Mussolini
७२८	728
७२९	729
९६३	963
७३०	730
७३१	731
९६२	962
७३२	732
७३३	733
९९७	997
७३४	734
९७२	972
७३५	735
९५५	955
९०१	901
७३६	736
७३७	737
९३६	936
७३८	738
९५३	953
९०२	902
७३९	739
१५	15
७४०	740
१४	14
७४१	741
७४२	742
१७	17
७४३	743
९५८	958
७४४	744
५००	500
७४५	745
१५०	150
७४६	746
८८०	880
७४७	747
७४८	748
७४९	749
८७०	870
९०३	903
७५०	750
७५१	751
७५२	752
मस्तकम्	Hoofd (anatomie)
७५३	753
९८७	987
७५४	754
९६५	965
७५५	755
९२४	924
९५१	951
९३२	932
२३	23
८००	800
१२०	120
४२	42
९६७	967
९८९	989
९६०	960
९६९	969
९५७	957
११२४	1124
९७१	971
९३७	937
९९२	992
९९०	990
८९९	899
९७५	975
९४२	942
९६६	966
११२८	1128
९५९	959
९७३	973
१८	18
१९	19
१६	16
२१	21
२६	26
४१	41
३२	32
३३	33
९८२	982
९७४	974
९७६	976
९७९	979
९८६	986
९१९	919
९९८	998
९९५	995
९७७	977
११२५	1125
९३४	934
अल्फ्रेड नोबेल	Alfred Nobel
२००	200
८७६	876
८७५	875
८१०	810
९२९	929
८८२	882
११२७	1127
९४०	940
८८९	889
८४४	844
९१२	912
८३८	838
९८४	984
८७४	874
३८	38
४३	43
१२७	127
९५४	954
३९	39
२४	24
७९	79
६१	61
१०४	104
२९	29
१०२	102
८६६	866
८३९	839
६२२	622
९१८	918
१००	100
९६१	961
५७०	570
६३२	632
९४६	946
८३५	835
८८४	884
८५९	859
८३२	832
८४९	849
८७७	877
८७८	878
८६१	861
८६९	869
९६८	968
९८३	983
९६४	964
११२१	1121
११२३	1123
९३३	933
९१५	915
९७०	970
९११	911
९९३	993
९९१	991
९९४	994
८९८	898
९४४	944
९०७	907
९४३	943
९४५	945
९२२	922
९०५	905
९४१	941
९२५	925
९२८	928
९४८	948
९४७	947
९४९	949
९२६	926
ऋतुः	Seizoen
१२६	126
१०१	101
१०५	105
१०८	108
११७	117
११५	115
२२	22
४६	46
२५	25
१५३	153
१५६	156
३१	31
८२५	825
३०१	301
११६	116
८८६	886
३३०	330
८६०	860
८४२	842
१६५	165
८७१	871
८९३	893
२०३	203
९०९	909
२२२	222
९३१	931
९३८	938
९१७	917
१६०	160
२८	28
८५	85
८८	88
७६	76
५४	54
४७७	477
९१४	914
९२०	920
९१३	913
अल्बानी, न्यू यार्क्	Albany (New York)
९३५	935
८४१	841
८२०	820
९०६	906
९१६	916
८८५	885
१६८	168
६०	60
४७	47
८३६	836
११२	112
८५४	854
८६२	862
८७९	879
८८७	887
७७०	770
८१७	817
८६४	864
८६३	863
८६८	868
सुदाबसस्यम्	Wijnruit
८५५	855
८१८	818
८३७	837
८४५	845
१६६	166
उलूकः	Uilen (orde)
हरेणुः	Erwt
कशेरुकाः	Gewervelden
५५२	552
खर्जूरम्	Dadelpalm
नाट्यकला	Drama (genre)
केसरम्	Saffraan
६००	600
४००	400
३००	300
इरावती नदी	Irrawaddy
मान्ट्पेलियर्, वर्मान्ट्	Montpelier (Vermont)
बि एम् डब्ल्यू	BMW
मिश्रेयसस्यम्	Dille
हम्पी	Hampi
लवङ्गम्	Kruidnagel
हेरोडोटस	Herodotus
लक्षद्वीपाः	Laccadiven
शाका ज़ूलू	Shaka Zoeloe
मोरङमण्डलम्	Morang (district)
पाँचथरमण्डलम्	Panchthar (district)
सुनसरीमण्डलम्	Sunsari
झापामण्डलम्	Jhapa (district)
वराङ्गम्	Kaneel
अगस्टा	Augusta (Maine)
बेटन रूज	Baton Rouge
लान्सिङ्	Lansing (Michigan)
आनापालिस्	Annapolis (Maryland)
कुस्तुम्बरीपर्णम्	Selderij
३६	36
केशः	Haar (zoogdier)
स्प्रिंग्फ़ील्ड्	Springfield (Illinois)
ताप्लेजुङमण्डलम्	Taplejung (district)
फ़्रांक्फ़ोर्ट्, केन्टकी	Frankfort (Kentucky)
कासिमिर फन्क	Casimir Funk
फील्ड्स् पदकप्रशस्तिः	Fieldsmedaille
इग्नेसी ल्युकसिविक्ज	Ignacy Łukasiewicz
इलाममण्डलम्	Ilam (district)
मान्टगोमेरी	Montgomery (Alabama)
असमिया	Assamees
जुनो	Juneau (Alaska)
क्रिस स्मालिंग	Chris Smalling
जोनी एवंस	Jonny Evans
चीनादेशः	China
घनत्वम् (भौतविज्ञानम्)	Dichtheid (natuurkunde)
८१५	815
८१६	816
८२२	822
८४०	840
८२३	823
८११	811
७७१	771
८८८	888
७६८	768
८५१	851
२०५	205
१५९	159
१०७	107
१६२	162
१०३	103
८०२	802
८०४	804
११९	119
११८	118
८०१	801
८०७	807
८०६	806
१५२	152
२४०	240
२१८	218
६५५	655
४९६	496
२३८	238
१९७	197
४५१	451
७७५	775
४८९	489
७८४	784
६६१	661
६२५	625
६५३	653
९०४	904
९२१	921
९२३	923
११२६	1126
६६८	668
६३६	636
४०८	408
४६४	464
४१०	410
९५६	956
९५२	952
६५८	658
६५०	650
५१८	518
७०	70
८१	81
६९	69
८७	87
६५	65
६६	66
६७	67
५५	55
३४	34
४४	44
३५	35
६४	64
५०४	504
४५३	453
१६१	161
१६९	169
४८१	481
१५१	151
१५५	155
१२८	128
१२९	129
४६३	463
१९३	193
६७४	674
६८७	687
२५१	251
३३७	337
७८६	786
६६०	660
५०	50
२६०	260
५०१	501
४५	45
४९१	491
४९	49
९७८	978
२२१	221
५४३	543
५३६	536
२३०	230
७६२	762
६१०	610
७८७	787
४८०	480
२०९	209
२०२	202
१९२	192
६८१	681
८१९	819
१७३	173
८६७	867
८६५	865
८२७	827
८२४	824
८४७	847
८८३	883
८२९	829
८१३	813
९१०	910
८५०	850
८०८	808
८५३	853
८७२	872
८७३	873
८५६	856
८५८	858
८३१	831
८५७	857
८२८	828
८२६	826
८३३	833
८४८	848
८३४	834
८८१	881
८५२	852
१६३	163
१५४	154
२०१	201
८०३	803
८०५	805
५२	52
५३२	532
८२	82
८४	84
७३	73
७२	72
६२	62
७१	71
७५	75
७४	74
८३	83
७८	78
७७	77
९०	90
८०	80
६२७	627
४५६	456
९१	91
१९०	190
१०९	109
५३	53
२७०	270
६८८	688
४५२	452
७९५	795
४६५	465
७७८	778
८४६	846
८३०	830
४०४	404
९०८	908
८९६	896
८९७	897
९२७	927
६३	63
५५५	555
५७१	571
८६	86
४०१	401
८९०	890
५३३	533
२६४	264
मिखाइल् गोर्बचोफ्	Michail Gorbatsjov
९९	99
४१५	415
४८३	483
४६९	469
४६२	462
४५९	459
४६६	466
४०२	402
७६१	761
७८०	780
६७५	675
६८९	689
७७४	774
७५९	759
७५८	758
३५०	350
मदर् तेरेसा	Moeder Teresa
७८२	782
७६०	760
७८५	785
७८३	783
७६७	767
७६६	766
२११	211
२३२	232
२०४	204
१८८	188
९८	98
८९४	894
८९१	891
६०२	602
६२८	628
८९२	892
६०१	601
६७२	672
६८२	682
८२१	821
६४८	648
६८६	686
६६४	664
६७७	677
६४०	640
११०	110
१११	111
१३७	137
१३८	138
१२२	122
१४०	140
८०९	809
१६७	167
६६५	665
७७६	776
७६३	763
७६९	769
६६७	667
५२९	529
७७७	777
७८८	788
६७१	671
७७२	772
४३२	432
२३१	231
२३७	237
२३९	239
१३०	130
२२६	226
२०७	207
४७५	475
४५४	454
४९५	495
२०६	206
४६८	468
४६१	461
४६०	460
१९४	194
२१०	210
२२५	225
३११	311
२२०	220
५४१	541
६४२	642
३१३	313
१८०	180
७९४	794
५८७	587
५३०	530
६०९	609
४९७	497
५४०	540
४२८	428
५४८	548
४२२	422
५४९	549
४५७	457
