ᎬᎿᎦᏍᏛ	Afrika
ᎠᎵᎻᏂᎠ	Armenië
ᏒᏈᏯ	Servië
ᎡᎳᏗᏜ	Australië (land)
ᏘᏲᎭᎵ ᎡᏆ	Dinosauriërs
ᏎᏗᏳᏍᏗ ᏒᎦᏔ	Peer (plant)
ᏅᏩᏙ ᎯᏯᏛ	Vrede
Star Wars	Star Wars
ᎴᎹᏂ	Citroen (vrucht)
ᏆᏁᎾ	Banaan (vrucht)
ᎦᏚᎲᎢ	Stad
Napoleon	Napoleon Bonaparte
ᏃᏈᏏ	Ster (hemellichaam)
ᏅᏓ	Zon
ᎦᎷᎾᏗ	Hemelgewelf
ᏅᏓ ᎠᎴ ᏚᏓᏕᏫᏍᏛ	Zonnestelsel
ᎦᏌᎧᎯᎨ ᎤᏃᎴ	Helium
ᎵᏘᎥᎻ	Lithium (element)
ᏇᎵᎵᎥᎻ	Beryllium
ᎪᏪᎵ	Boek (document)
ᏒᏃᏱ	Nacht
ᎤᎦᏔ ᏅᏓᏳᏓᎴᏅ ᏬᏗᎨ	Koolstof
ᎾᎢᏠᏤᏂ	Stikstof (element)
ᏗᎧᏃᎩᏛ	Muziek
ᏩᎶᏫᏂ	Fluor (element)
ᏥᏩᏩ	Chihuahua (staat)
ᎦᏌᎧ ᏔᎷᎩᏍᎩ	Aluminium
ᎢᏂᏗᎢᎠ	India
ᏔᎷᎩᏍᎩ	IJzer (element)
ᏉᏔᏏᎥᎻ	Kalium
ᎪᎳ ᏗᏝᏂᎪᎯᏍᏗᏍᎩ	Calcium
ᎦᏂ	Lood (element)
ᎹᏂᎪᎵᎠ	Mongolië
ᏔᎢᏖᏂᎥᎻ	Titanium
ᏩᏁᏗᎥᎻ	Vanadium
ᏐᏈᎵ	Paard (dier)
ᎦᏂᏝᎢ	Dierenrijk
ᏉᎵᏫᎠ	Bolivia
ᎥᏣᏱ	Koper (element)
ᎩᎵᏣᎢᏍ	Kirgizië
ᏩᎧ	Rund
ᏔᏥᎩᏍᏕᏂ	Tadzjikistan
ᏉᎨᎼᏂ	Pokémon
ᏔᏯᎴᏂ	Thailand
ᎠᎢᎵᏗᏴᎻ	Iridium (element)
ᏝᏘᏅᎻ	Platina
ᏧᎦᎾᏮ ᎪᎵᎠ	Zuid-Korea
ᎠᏕᎸ ᏓᎶᏂᎨ	Goud
ᎠᏂᏉᎵᏍ	Polen (volk)
Julius Caesar	Julius Caesar
ᎤᏅᏉᎳᏛ	Regenboog (optica)
ᎠᏑᏫᏍᏗ	Kleur
ᎠᏕᎸ ᎤᏁᎦ	Zilver
ᏔᎷᎩᏍᎩᏳᏍᏗ	Tin (element)
ᏳᏪᏂᎥᎻ	Uranium
ᏡᏙᏂᎥᎻ	Plutonium
ᏁᏩᏚᏂᎥᎻ	Neptunium
ᏇᎵᎥᎻ	Barium
ᏍᏆᏂ ᎧᏬᏂᎯᏍᏗ	Spaans
Johann Sebastian Bach	Johann Sebastian Bach
ᎧᎿᏁᏍᎩ	Spinnen (dieren)
ᎠᏕᎳ	Geld
ᏄᏯᎩ	New York (staat)
ᏳᎳᏈᎥᎻ	Europium
Augustus	Imperator Caesar Augustus
Trajan	Trajanus
ᏙᎩᏲ	Tokio
ᏍᏆᏂᏤᏍᏛᎢ	New Mexico
ᎣᎦᎳᎰᎹ	Oklahoma
ᏗᎦᎳᏫᏍᏗ ᏥᏌᏯ	Ware Jezuskerk
ᎩᎵᏏ ᎦᏬᏂᎯᏍᏗ	Engels
ᎠᎺᎵᏏᏯᎻ	Americium
ᎠᏔᏩ, ᎨᎾᏓ	Ottawa (stad)
ᎠᏤᏙ	Jakarta
Wikipedia:ᏃᏯᎭ ᎧᏁᏌᎢ	Wikipedia:Zandbak
ᎤᏪᏴ	Rivier
ᎠᎧᏔᏘ	Telescoop (optica)
ᎫᎵᏘᎦ	Curitiba (gemeente)
ᏌᎶᎵ	Eekhoorn (zoogdier)
ᎠᏙᎯ ᎢᎾᎨ	Bos (vegetatie)
ᎪᏈᏂ ᏌᎪᏂᎨ	Corbin Bleu
ᏧᏈᏓ (ᎤᏁᎳᏅᎯ)	Jupiter (mythologie)
ᏉᏧᎾ	Fortuna (mythologie)
ᏳᎳᏛ ᎠᏕᎳ	Euro
Category:ᎠᏂᎶᎻ ᎤᎾᏁᎳᏅᎯ	Categorie:Romeinse god
ᎡᏆ ᎦᏙᎯ	Continent
ᎯᎸᏍᎩ ᏥᏍᏆ	Vogels
ᏏᏅᏙ	Maand
ᎤᎵᎮᎵᏍᏗ	Hoofdpagina
ᎤᎴᏍᏓᎸ	Vagina
ᎤᏬᎳᏨᎯ	Filosofie
Category:Candidates for speedy deletion	Categorie:Wikipedia:Nuweg
ᎤᏔᏅ ᏗᎧᏃᎩᏍᏗ	Piano (instrument)
ᏗᎧᏃᎩᏍᏗ	Gitaar
ᎤᏬᏚ	Schoonheid
ᏙᏒᏓᎵ	Mieren
ᏩᏚᎵᏏ	Bijen
ᏕᎭᎷᎨ ᎠᏓᏛᏍᎩ	Aubergine (plant)
ᎧᏬᏄ	Anatidae
ᎤᏂᏥ	Moeder
ᎤᎾᏥ	Sneeuw
ᎠᏲᎵ	Kind (leeftijdsgroep)
ᎠᎦᏍᎬ	Regen (neerslag)
Nelson Mandela	Nelson Mandela
ᏅᏯ	Gesteente
ᎤᎶᎩᎸ	Wolk
ᎠᎦᎷᎦ	Tornado (wervelwind)
ᏗᏎᏍᏗ ᏓᏍᏓᏅᏅ	Meetkunde
Category:ᏗᎧᏃᎩᏛ	Categorie:Muziek
ᎬᏂᎨᏧᎵ	Vos (dier)
ᎧᏫ	Koffie
ᎣᏓᎸᎢ	Berg (landvorm)
ᎤᎧᏲᏗ ᎡᎶᎯᏱ	Woestijn
ᏴᏩᏁᎬ Civil ᏓᏄᏩ	Amerikaanse Burgeroorlog
ᏆᏍᎩ ᎦᏬᏂᎯᏍᏗ	Baskisch
Unicode/Cherokee	Unicode
ᎠᏂᏍᏫᏗ ᎦᏬᏂᎯᏍᏗ	Zweeds
ᎥᎦᏔᎲᎢ	Kennis
ᎪᎵᎥ	Koreaans
ᎦᎴᎪ ᎦᏬᏂᎯᏍᏗ	Galicisch
ᏁᎵᏒ	Denken
ᎠᎺᏉᎯ	Oceaan
ᎠᏤᎷᎯᏍᏗ	Saxofoon
ᏬᎾᎵᏗ ᏪᎦᏂ	Ronald Reagan
ᎠᏣᏅᏙ	Plasma (aggregatietoestand)
ᎠᎴᏂ	Bekasi
ᏏᏆ	Echte zwijnen
ᏚᎵᏍᏗ 11, 2001 ᏗᎦᏘᎸᏍᏗ	Aanslagen op 11 september 2001
ᏡᎬ	Boom (plant)
ᎤᏅᏗ ᎦᏚᏅ	Kaas
ᏖᎸᎳᏗ	Druif
ᏐᎯ	Noot (botanisch)
ᎠᎱᎵ	Trommel
ᏄᏓᎨᏒ (Gravitation)	Zwaartekracht
ᏧᏙ	Judo
ᎠᎾᎦᎵᏍᎩ ᎦᏂᏱᏍᎩ	Metaal
ᎠᏥᎸ ᏔᎷᎩᏍᎩ	Staal (legering)
ᏗᎦᎶᎪᏗ	Landbouw
ᏎᎷ	Mais
ᎠᏍᏓᏩᏛᏍᏙᏗ	Frequentie
ᎠᏰᎵ ᏚᎾᏙᏢᏩᏗᏒ ᏙᎪᏪᎸ	Lijst van landen in 2015
ᏲᎾ	Beren
ᏧᏍᎦ	Eik
ᏒᏗᏩᎵ	Framboos
ᎧᏄᎦᎸ	Braam (cultuurbraam)
ᏆᏅ	Perzik
ᎣᏂᏥ	Sinaasappel
ᎳᎢᎻ	Limoen
ᎠᎵᎮᎵᏍᏗ ᎢᎦ	Thanksgiving Day
ᎦᏓᏘ	Vlag
ᎦᏍᎩᎶ	Stoel
ᏗᎦᎵᏍᏚᎩᏍᎩ	Giraffe (dier)
ᎹᏱᏕ	Vogelbekdier
Queen	Queen
ᏗᎦᎭᎵ	Hagedissen
ᏫᎩᏇᏗᏯ:ᎾᎥ ᏄᎾᏓᎸ ᎾᎿᎢ	Wikipedia:De kroeg
ᎠᏍᏘᏂ	Austin (Texas)
ᎭᏫᎾᏗᏢ ᏗᏎᏍᏗ ᎤᎬᏩᎵ	Vlak (meetkunde)
ᎬᎾ ᎤᏔᎾ	Struisvogel
ᎠᎺᎵᎨ ᎬᎾ ᎤᏔᎾ	Rhea (geslacht)
ᏓᏂᏍᏓᏲᎯᎲ	Kerstmis
Indo-European languages	Indo-Europese talen
ᏢᏓᏥᏧᎶᎸᏗ	Tijger
ᎼᏋᏗ	Montfort (Limburg)
ᎩᏳᎦ	Wangzakeekhoorns
ᎠᏕᎵ	Adele (zangeres)
ᎠᏫ	Hertachtigen
ᎤᏁᏍᏓᎳ	IJs (water)
ᎣᎩᏙᏓ ᎦᎸᎳᏗ ᎮᎯ	Onzevader
ᎦᎦᎹ	Cucumis sativus
ᏔᎹᏟ	Tomaat
ᏎᎵᎾ	Selena Quintanilla
ᎵᎳ ᏙᏮᏍ	Lila Downs
ᏢᏓᏥ ᎠᎦᏣᏄᎳ	Jachtluipaard
Felidae	Katachtigen
ᏑᎵ	Buizerd
Escherichia coli	Escherichia coli
ᎠᏐᎠᏍᏙ	Zeehonden
ᎠᏫᏳᏍᏘ	Antilopen
ᎨᏯᏔᎯ ᎬᎾ	Kalkoen (dier)
ᎤᏍᏗᏰᎬ	Haar (zoogdier)
ᎠᏍᏛᎭᏟ	Sandwich (gerecht)
ᏥᏯ	Otter (dier)
Pinnipedia	Zeeroofdieren
ᎭᏰᎳᏍᏗ	Mes (voorwerp)
ᏐᏈᎵ-ᏧᎶᎸᏗ	Zebra (dier)
ᏣᎳᎩ ᎧᏬᏂᎯᏍᏗ	Cherokee (taal)
ᎠᎹᏍᎧᎦᎯ	Waterval
ᏣᏱ ᎤᏬᏗᎨ	Brons
ᏩᎭᎧ	Oaxaca (staat)
ᎪᏢᏅ	Boter (zuivel)
ᏗᎧᏃᎩᏛ ᎬᏔᏂᏓᏍᏗ	Muziekinstrument
ᏌᏌ	Cygnus (geslacht)
ᏅᏃᎯ	Weg
ᏝᏪᏆ	Nijlpaard
ᎾᏳ	Zand
ᎫᏔᏍᏲᏍᏗ	Rozen
ᏢᏓᏥ ᎤᏅᏣᏗ	Luipaard
ᎠᏂᎪᎢ ᎤᏂᏃᎮᎸᎯ	Griekse mythologie
ᎠᎺᎵᎨ ᎤᏂᎬᏫᏳᎯ	Lijst van presidenten van de Verenigde Staten
ᏓᏎᏘ	Spiegel (optica)
ᏢᏓᏥ	Poema
ᎠᏩᎶᏓᎢᏘ	Aphrodite
ᎤᏍᏔᎦᎳᏱ	Grot
ᎠᎺᎵᎨ ᏢᏓᏥ ᎤᏅᏣᏗ	Jaguar
ᎪᏩᎳ ᏲᎾ	Koala
ᎤᎶᎩᎸ ᏢᏓᏥ	Nevelpanter
ᎠᏍᎩᏘᏍᏗ	Droom
ᏥᏍᏕᏥ	Rattus
ᎠᏂᎪᎢ ᎧᏬᏂᎯᏍᏗ	Nieuwgrieks
ᎠᏂᏃᎯᎵᏙᎲ	Jacht (activiteit)
ᎠᏉᎳ	Apollon
ᎬᎩᏍᏗ	Watermeloen
ᎤᎬᏫᏳᎯ ᎡᏆ	Keizer
ᎪᎱᏍᏗ ᎬᏔᏂᏓᏍᏗ	Gereedschap
ᏣᏱ	Messing (legering)
ᎤᎨᏓᎵᏴ	Dal (aardrijkskunde)
ᎠᏓᏢᎢᎯ	Octopoda
ᏗᏑᏫᏍᎩ ᎡᏆ	Walrus
ᎭᎹᏏ	Hermes (mythologie)
ᏧᎾᏓᏱᎵᏓᏍᏗ	Rechtbank
ᏚᏯ	Gewone boon
ᎠᏂᏨᎹᏂ	Engelsen (volk)
ᎠᎵᏍᏕᎸᏙᏗ ᎠᏕᎸ ᎬᏗ	Financiën
ᎪᎦ	Corvus (geslacht)
ᏩᎴᎳ	Kolibries
ᎬᎾ	Meleagris
ᎠᏂᏳᎧᏪᏂ	Oekraïners
ᎤᎦᏔ	Vlas (gewas)
The Doors	The Doors
ᎠᏂᏣᏍᎩᎵ	Spook
ᎠᏂᏔᎢᏖᏂ	Titaan (mythisch wezen)
ᏑᏏ	Sushi
ᏐᏃᎳ	Sonora (staat)
ᎤᏪᏴᎢ	Beek (watergang)
ᏙᏯ	Bevers (geslacht)
ᏫᎾᏏ	Venus (mythologie)
ᎤᏯᏍᎦᎳ	Gordeldieren
Template:Commonscat	Sjabloon:Commonscat
ᏧᎴᎯᏌᏅᎯ	Feniks
ᎠᏂᏲᎾ	Russen (volk)
ᎠᏂᎢᏔᎵ	Italianen
Dire Straits	Dire Straits
ᏓᎬᎾ ᏥᏳ ᏗᏔᎳᏗᏍᏗ ᏚᎦᏘᎸᏒᎢ	Aanval op Pearl Harbor
Template:Taxobox	Sjabloon:Taxobox
ᏩᎶᏏ	Kikkers
ᏧᎵᏍᏓᎾᎵ	Meervalachtigen
ᏳᎧᏔᏂ	Yucatán (staat)
ᎭᏩᏱ ᏗᎧᏃᎩᏍᏗ	Ukelele
ᎬᎪᏩᏛᏗ ᏗᎧᏃᏗ	Zichtbaar spectrum
Morse ᎠᏍᏓᏩᏛᏍᏙᏗ	Morse
ᏳᏪᏅᏍ (ᎤᏁᎳᏅᎯ)	Ouranos (mythologie)
ᏩᏓᏚᎦ	Echte libellen
ᎠᎳ ᏊᎦᏦᏩ	Alla Poegatsjova
ᎦᏃᎸᏍᎩ ᎠᎦᏍᎩ	Storm (wind)
ᎦᏩᏒᎩ	Meloen (vrucht)
ᏍᎪᏯ ᎠᏁᏍᎩᎸᎥᏍᎩ	Rups
ᎠᏂᏍᏆᏂ (ᎧᏃᎮᎭ)	Mexico (staat)
ᏝᏍᎧᎳ	Tlaxcala (staat)
ᏓᏫᏍᎦᎳ	Vuursteen
ᏓᏬᎵ	Paddenstoel (schimmel)
ᏐᏈᎵ-ᎠᏍᎦᏯ	Centaur (mythologie)
ᏗᎳ	Stinkdieren
ᎠᏂᎬᎾ	Turken
Carl Menger	Carl Menger
Template:Cite book	Sjabloon:Citeer boek
ᎦᏯ	Gaia (mythologie)
ᎡᎳᏗᏝ ᎬᎾ ᎤᏔᎾ	Emoe
ᎠᎹᏳᎸᏗ	Kust
ᎤᎭᎸᏂ	Klok (bel)
ᏣᎳᎩ	Cherokee (volk)
ᎠᏂᎾᏩᎰ	Dineh
Uriah Heep	Uriah Heep (rockband)
ᎠᏂᎦᎸᏥ	Fransen
ᏗᏂᏃᎨᏂ	Geweer
ᎠᏂᏍᏫᏍ	Zwitsers
ᏧᏃ (ᎤᏁᎳᏅᎯ)	Juno (mythologie)
ᏌᏆᏯ	Saffier
ᎠᏍᏆᏂᎪᏒᏗ ᏂᎦᎵᏍᏔᏂᏙᎲ	Vuurwerk
Panthera	Panthera
ᎠᏥᎾ	Ceder
ᏢᏕᎦ	Palingachtigen
ᏋᏏᎥᏍ	Perseus (mythologie)
ᏓᎾᎵᏍᏓᏴᎲᏍᎬ	Festival
ᏓᏰᏂ	Diana (mythologie)
ᎠᏂᎲᏂᎦᎵ	Hongaren
ᎬᏙ ᎾᏍᏅᏏ	One Direction
ᏃᏥᏳᏍᏗ ᏒᎦᏔ	Ananas (geslacht)
ᎤᎬᏫᏳᎯ ᎡᏆ ᏇᏠ II	Peter II van Brazilië
ᎾᏍᎦᏅᎾ	Deugd
Inachis io	Dagpauwoog
ᎠᏂᏍᏆᏂ	Spanjaarden
ᏤᏊᎳᏍᎧ	Tsjeboerasjka
ᎠᏂᏕᏂ	Denen
ᎠᏂᏍᏫᏗ	Zweden (volk)
ᎢᏯ	Pompoen
ᏭᏕᎵᎬ	Zonsondergang
ᏌᎪᏂᎨ ᏣᎴᎩ	Blue Ridge Mountains
ᎤᏁᎫᎯᏍᏗ	Mayonaise
ᏓᏆ	Baleinwalvissen
ᎠᏂᏤᎩ	Tsjechen
ᎠᏂᏫᏂ	Finnen
ᎠᏂᎠᏲᎵᏍ	Ieren
ᎠᏂᏍᎶᏩᎩ	Slowaken
ᎢᎣᎷ	Aeolus (mythologie)
ᎤᏜᏩᏓ	Macropus
ᎾᎥ ᏄᎾᏓᎸ	Samenleving
ᎠᏂᏉᏧᎦᎵ	Portugezen
ᏪᏍᏔ (ᎤᏁᎳᏅᎯ)	Vesta (mythologie)
ᎠᏂᏍᎧᏥ	Schotten (volk)
ᎠᎺᏉ ᎠᎨᏴ	Zeemeermin
ᎠᎢᎵᏏ	Iris (godin)
Rita Levi-Montalcini	Rita Levi-Montalcini
ᏧᎳ	Vulpes
ᎠᏂᏪᎵᏏ	Welsh (volk)
ᎠᏂᏃᏫᏥᏂ	Noren (volk)
ᎠᏂᎤᏁᏍᏓᎳ	IJslanders (volk)
ᎹᏔ ᏩᏒᏓᎾ	Martha Washington
ᎡᏆ ᎠᎺᎵᎨ ᎬᎾ ᎤᏔᎾ	Nandoe
ᎠᏂᏛᏥ	Nederlanders
Tigranes the Great	Tigranes II
ᎭᏯᏏᏂ	Hyakinthos
ᏎᏗ	Walnoot (vrucht)
ᎶᏃᎶᏃ	Rongorongo
ᎤᏁᎳᏅᎢᎤᏪᏥ	Amazing Grace (hymne)
ᎤᏯᏍᎦ	Schelp
ᎠᎺᏉᎯ ᎤᏁᏍᏓᎳ	Zee-ijs
ᎠᏅᎬᏂ	Anggun
ᎤᎵᎾᏫ	Schildpadden
ᏓᎦᎦ	Dazen
ᎢᏃᎵ	Zilverdas
ᎠᏂᏓᏪᎯ	Engel
ᎠᏂᎡᏍᏙᏂᎠᏂ	Oostenrijkers
ᎪᎷᏩᏛᎲ ᎢᎬᏁᏗ	Octrooi
Neofelis	Neofelis
ᏍᏏᏉᏯ	Sequoyah
ᏗᎭᏄᎧᎯ	Kerstman
Anthocharis cardamines	Oranjetipje
Delias eucharis	Delias eucharis
ᎠᏓᎦᏙᎯ ᎠᏓᏅᏖᎵᏙᎲ	Bosbeheer
Talicada nyseus	Talicada nyseus
ᎠᏓᏍᏕᎸᏗ	Caritas (deugd)
ᏴᏩᏁᎬ ᏥᏉᏉ	Roodborstlijster
ᎠᏂᏇᎳᎷᏍ	Wit-Russen
ᎠᏂᎶᎺᏂᎠᏂ	Roemenen
ᏈᎵᎩ ᎩᎵᎪᎶᏫ	Filipp Kirkorov
ᎠᏂᎪᎢ	Grieken
ᎤᎫᎾ	Dassen
ᏧᏴᏢ ᏗᎧᎸ ᏃᏈᏏ	Poolster
ᎬᎮ	Lynxen
ᏕᎦᏃᏣᎸ	Telegrafie
ᏓᎵᏆ	Tahlequah
ᎨᏥᎧᎲᏓ ᎠᏁᎬᎢ	Trail of Tears
Geitoneura klugii	Geitoneura klugii
Struthioniformes	Struthioniformes
ᎬᎿᎨ ᏎᏗ	Zwarte walnoot
ᎠᏂᎢᏤᎢᏳᏍᏗ	Kalaallit
ᎧᏁᏨᎢ	Stembiljet
ᏥᏍᏛᎾ	Kreeften
ᎦᎶᎵᎠᏂ	Florian (voornaam)
ᎢᏤ ᎢᏳᏍᏗᎤ ᏪᏴ	Green River (rivier)
ᎠᏫᏒᏅ	Tuin
ᏎᎷ ᎦᏚ	Maisbrood
ᎡᏆ ᏚᏧᏍᏚ ᏙᏓᎸ	Great Smoky Mountains
ᎡᎩᏁᏍ ᎹᏂᎧ	Agnes Monica
ᎠᏂᏇᎵᏥᎥᎻ	Belgen
Category:ᎠᎹᏰᏟ	Categorie:Verenigde Staten
Category:ᎨᎾᏓ	Categorie:Canada
Category:ᏥᏍᏆ	Categorie:Vogel
Category:Plantae	Categorie:Plant
Category:ᎧᏃᎮᏍᎩ	Categorie:Geschiedenis
Category:ᎤᎾᏙᏢᎯ	Categorie:Mens en maatschappij
Category:ᏗᏛᎪᏔᏅ	Categorie:Communicatie
Category:ᎡᎶᎯ	Categorie:Aarde
ᏦᎢ ᎠᎾᏓᎸᎢ	Drie zusters
Rathinda amor	Rathinda amor
Dryas iulia	Oranje passiebloemvlinder
Zemeros flegyas	Zemeros flegyas
ᏬᎭᎵ	Arend (roofvogel)
Polyura athamas	Polyura athamas
Discolampa ethion	Discolampa ethion
ᎧᎹᎹ ᎤᏔᎾ	Elephantidae
Abisara neophron	Abisara neophron
Morpho rhetenor helena	Morpho helena
ᎠᎳᏍᏚᎶ	Tulband (hoofddeksel)
ᎠᎹᏗᎧᏂᎬᎾᎬᎾ	Nowata
ᏎᎼᏂ	Salmoninae
ᏧᎾᎦ	Forel (soort)
Category:Stub	Categorie:Wikipedia:Beginnetje
Category:ᎡᏆ ᎦᏙᎯ	Categorie:Continent
ᏧᏂᎵᎦᎳ	Reus (mythisch wezen)
ᎫᎴ	Eikel (vrucht)
Template:Wikipedialang	Sjabloon:Hoofdpagina - andere talen
Category:ᎠᏰᎵ ᏚᎾᏙᏢᏩᏗᏒ	Categorie:Land
Category:ᎠᎾᎵᏏᎾᎯᏍᏗᏍᎩ	Categorie:Economie
Wikipedia:Administrators	Wikipedia:Moderator
Category:ᎠᏂᏴᏫ	Categorie:Persoon
Category:ᎤᏁᎳᏅ ᎤᏬᏢᏅ	Categorie:Natuur
Category:ᎠᏕᎸ	Categorie:Geld
Template:Bot	Sjabloon:Bot
Wikipedia:What Wikipedia is not	Wikipedia:Wat Wikipedia niet is
ᎨᎾᏓ	Canada
Category:ᏳᎳᏛ	Categorie:Europa
Current events	Portaal:In het nieuws
Template:Documentation	Sjabloon:Sjabdoc
Wikipedia:NLT/ENGLISH	Wikipedia:Niet dreigen met juridische actie
Wikipedia:Neutral point of view	Wikipedia:Neutraal standpunt
Wikipedia:Vandalism	Wikipedia:Vandalisme
ᏗᎦᎸᏫᏍᏓᏁᏗ	Bedrijf
Template:Softredirect	Sjabloon:Softredirect
Template:Delete	Sjabloon:Nuweg
Category:ᎦᏬᏂᎯᏍᏗ	Categorie:Taal
Category:ᏫᎩᏇᏗᏯ	Categorie:Encyclopedie Wikipedia
Template:Navbox	Sjabloon:Navigatie
Template:Nutshell	Sjabloon:Notendop
ᏍᏆᏏ	Kalebas
Template:Clear	Sjabloon:Clearboth
Template:Bots	Sjabloon:Bots
Template:Anchor	Sjabloon:Anker
Category:ᎬᎿᎦᏍᏛ	Categorie:Afrika
Category:ᏗᎪᏪᎵ	Categorie:Boek
Template:Babel	Sjabloon:Babel
Template:Commons	Sjabloon:Commons
Template:Reflist	Sjabloon:References
Wikipedia:Searching	Help:Zoeken
Template:Stub	Sjabloon:Beginnetje
Template:User af-1	Sjabloon:Gebruiker af-1
Template:User eo-1	Sjabloon:Gebruiker eo-1
Template:User da	Sjabloon:Gebruiker da
Template:User da-1	Sjabloon:Gebruiker da-1
Template:User eo-3	Sjabloon:Gebruiker eo-3
Template:User de	Sjabloon:Gebruiker de
Template:User de-1	Sjabloon:Gebruiker de-1
Template:User et-1	Sjabloon:Gebruiker et-1
Template:User el	Sjabloon:Gebruiker el
Template:User es	Sjabloon:Gebruiker es
Template:User en-3	Sjabloon:Gebruiker en-3
Template:User en-1	Sjabloon:Gebruiker en-1
Template:User en-2	Sjabloon:Gebruiker en-2
Template:User eo-2	Sjabloon:Gebruiker eo-2
Template:User en-4	Sjabloon:Gebruiker en-4
Template:User en	Sjabloon:Gebruiker en
Template:User de-2	Sjabloon:Gebruiker de-2
Template:User fr-1	Sjabloon:Gebruiker fr-1
Category:ᏗᏓᏅᏖᏗ	Categorie:Begrip
Template:User ia-2	Sjabloon:Gebruiker ia-2
Template:User io-3	Sjabloon:Gebruiker io-3
Template:User ja-4	Sjabloon:Gebruiker ja-4
Template:User sk	Sjabloon:Gebruiker sk
Template:User fr-2	Sjabloon:Gebruiker fr-2
Template:User ja	Sjabloon:Gebruiker ja
Template:User ja-1	Sjabloon:Gebruiker ja-1
