ཨ་ཧྥེ་རི་ཁ།	Afrika
ཝ་ཐི།	Watt (eenheid)
རྒྱལ་བ་ཐུབ་བསྟན་རྒྱ་མཚོ།	Thubten Gyatso
མཁས་གྲུབ་རྒྱ་མཚོ་	Khädrub Gyatso
ཤིང་སྟག་པ།	Berk
ཚུལ་ཁྲིམ་རྒྱ་མཚོ་	Tsültrim Gyatso
ལུང་རྟོགས་རྒྱ་མཚོ་	Lungtog Gyatso
པུ་ཤུད།	Hop (vogel)
བྱམས་སྤེལ་རྒྱ་མཚོ་	Jampäl Gyatso
ཝོལ།	Volt (eenheid)
ངག་དབང་བློ་བཟང་རྒྱ་མཚོ་	Ngawang Lobsang Gyatso
ཡོན་ཏན་རྒྱ་མཚོ་	Yönten Gyatso
དགེ་འདུན་གྲུབ།	Gendün Drub
གནམ་གཤིས་རིག་པ།	Meteorologie
སེ་དྲོད།	Celsius
ཅོལ།	Joule
པི་རི་སི་ཊི་ན།	Pristina
ཨམ་ཕེར།	Ampère (eenheid)
སྐྱ་ཀ།	Ekster
སྣ་མའི་མེ་ཏོག	Orchideeënfamilie
བསེ་སྦྲང་།	Kakkerlakken
སོམ་ཤིང་།	Zilverspar
ཕོ་རོག	Raaf (vogel)
ན་གི།	Manis
ཁུ་ལོམ།	Coulomb (eenheid)
ཞ་ལུ་དགོན།	Shalu (klooster)
ཁུ་བྱུག	Koekoeken
རྒྱལ་མོ་རྔུལ་ཆུ།	Salween
གཡག	Jak
ལི་ཤི།	Kruidnagel
བྱང་སྣེའི་སྐྱར་རྟ།	Noordse stern
གོ་སྙོད།	Karwij
༄༅།། ཨོ་སེ་ལོ།	Othello (toneelstuk)
སྟག་ཆུ་སྲིན།	Orka (dier)
ཁོ་ཁེ་གླིང་ཚོམ།	Cookeilanden
གྲུམ་བ།	Das (dier)
སྐྱར་མོ།	Meeuwen (vogels)
མི་ཁ་ཨིལ་ཕ་ཁུ་ནིན།	Michail Bakoenin
གཞས་གཏོང་བ།	Zangkunst
ཨའི་ནུ་སྐད།	Aino (taal)
ལྕ་ཚལ།	Selderij
འདམ་མྱུག	Asperge
ཟེ་མོ་སེར་པོ།	Kleine marters
གནའ་རབས་མ་ཡ།	Mayacultuur
ལས་རིགས།	Beroep
དྲི་ཞིམ་སོན་ཅན།	Anijs
ཁང་བྱིའུ།	Mussen
ཧན་ཧྥེ།	Han Fei
ཧོང་ཏི།	Huang Di
མེར་ཁྲེས་ཨ་ཁྲེ་ས་རེས།	Martti Ahtisaari
ཆུ་ལྷ།	Narcis
རྒྱ་ནག	China
ཅོ་ཀ།	Leeuweriken
ཆུ་སྲམ།	Otter (dier)
གསའ་གཟིག	Sneeuwpanter
མཚོ་གཟིག	Zeeroofdieren
སེལ་འོ་སུ་འན་གྱི་སྐད	Silezisch (Slavische taal)
ཨོ་སི་ཀར་ཝེལ་ཌེ།	Oscar Wilde
ཐི་བ་རིགས་	Streptopelia
མེ་ཤེཀ།	Mesech
ཡ་རེན།	Yaren
༩༣ (གྲངས་ཀ།)	93 (getal)
མར་ཀུས།	Marcus (evangelist)
ཁུར་འཛིང་།	Boksen
གྲི།	Mes (voorwerp)
རྐྱང་ཁྲ།	Zebra (dier)
ཁ་ཆེའི་ཆོས་ཁང་།	Moskee
འབྲུག་པའི་སྐད།	Dzongkha
ཆུ་ཤིང་	Musa basjoo
ཡུལ་སྐད།	Dialect
ལི་ཡོན་ཁྲོའོ་ཚི་ཁི།	Leon Trotski
སུག་སྨེལ།	Kardemom
ཤུག་པ་	Platycladus
འགྲེམས་སྟོན་ཁང་།	Museum
སྐྲན་	Carcinoom
དོམ་ཁྲ།	Reuzenpanda
བྱང་སྣེའི་དོམ་དཀར།	IJsbeer
གཞུ་ཚད།	Radiaal (wiskunde)
ལག་པ།	Hand
ཏུའུ་ཧྥུ།	Du Fu
བལ་པོའི་སྐད།	Nepalees
པེ་ཏྲོ།	Petrus
ལོ་མ།	Blad
སི་ཅི་ལིའི་སྐད།	Siciliaans (taal)
བལྤ་རཨིསོ	Valparaíso (stad)
གའཀ	Oaxaca (staat)
ཕུ་ན་ཕུ་ཊི།	Funafuti
ལྷ་ཆོས་རིག་པ།	Theologie
པ་བུ་ལོ་ནེ་རུ་དཱ།	Pablo Neruda
བརྡ སྐད	Gebarentaal
པོ་རོ་ཊི་ཨའུ་པི་རིན་སི།	Port-au-Prince
བོད་ཀྱི་སྐད་ཡིག།	Tibetaans
ཐ་སི་མ་ནི་ཡཱ།	Tasmanië
རོལ་ཆ།	Muziekinstrument
ངང་དཀར།	Cygnus (geslacht)
མའ་མའོ་སྒྲི་ཨ་མ་སྒྲེན་ཅ་ཊི།	Mahmoud Ahmadinejad
ཧི་རོ་ཧི་ཐོ།	Hirohito
ཆུ་རྟ།	Nijlpaard
ཁེཡོ་ཐྲོ།	Kioto (stad)
ཨལ་བྷེར་ཀ་མུས།	Albert Camus
རྒྱ་སེ།	Rozen
ཁིང་སི་ཐོན། (ཇ་མའི་ཀ།)	Kingston (Jamaica)
གཟིག	Luipaard
བསེ་རུ།	Neushoorns
ཤིན་ཅང་ཡུ་གུར་རང་སྐྱོང་ལྗོངས།	Sinkiang
སཱན་ཏོ་ཌོ་མིང་གོ	Santo Domingo (Dominicaanse Republiek)
Windows Phone 8	Windows Phone 8
སེ་ཡབ།	Papaja
རི་བོ་ཁ་ཕི་ཐུའོ་ཉི།	Capitolijn
པད་ལོག	Wittekool
གཏམ་དཔེ།	Spreekwoord
ཨ་ངྷི་སེའུ།	Odyssee
ཁུ་ཝི་ཐི། (རྒྱལ་ས།)	Koeweit (stad)
ཀྲོའུ་རྒྱལ་རབས།	Zhou-dynastie
པ་རའི་པི་ཏ།	Brad Pitt
ཏི་ཏི་ཁ་ཁ་མཚེའུ།	Titicacameer
ཁོ་ལུམ་པོ།	Colombo (stad)
ཨཱལ་མ་ཊི།	Alma-Ata
ཤ་བ་ནོག་ལྡན།	Eland
ཉེན་རྟོག་པ།	Politie
ཧོ་ཁའི་དོ།	Hokkaido (Japan)
ནོར་བྷེལ་བྱ་དགའ།	Nobelprijs voor de Vrede
དངོས་པོ།	Materie
ཧེག་ཐ།	Hectare
དགོད་བྲོ།	Humor
སྨུག་མ།	Bamboe
རྒྱལ་སྤྱིའི་སྐད།	Interlingua
ཧོང་ཧྲན་རི་བོ།	Huang Shan
ལྕང་མ།	Wilg
མེ་ཏོག་མེད་པའི་ཤིང་ཏོག	Vijgenboom
པུ་རུའི་ཀྲི་ཐོན།	Bridgetown
རྩོམ་པ་པོ།	Schrijver
དབྱངས་ཡིག	Klinker (klank)
ཨ་པི་ཡ།	Apia
སེནཊི་ཇཱོན་སི། (ཨེན་ཊི་གུའ་དང་བར་བུ་ཌ།)	Saint John's (Antigua en Barbuda)
རུ་ཟོ།	Roseau (Dominica)
དྲེད་མོང་།	Bruine beer
ཧན་ཉི་པ།	Hannibal Barkas
པོ་རོ་ཊི་མོ་རེ་སི་བི།	Port Moresby
ཤར་པའི་སྐད།	Sherpa (taal)
སྨད་འཚོང་མ།	Prostitutie
ཀྲོང་མི།	Zhuang (volk)
ཨང་སན་སུའུ་ཁེའི།	Aung San Suu Kyi
༄༅།། ཡོ་ཧ་ནན་གྱིས་བྲིས་པའི་འཕྲིན་བཟང་བཞུགས་སོ།།	Evangelie volgens Johannes
ཧྥ་རན་སི་ཡི་ས་ཁུལ་།	Regio's van Frankrijk
མཛེ་ནད།	Lepra
རྔོན་པ།	Jacht (activiteit)
གྲེང་ལུང་།	Jackie Chan
༡༢ (གྲངས་ཀ།)	12 (getal)
དར་ཁྱབ་ཆེ་བའི་རོལ་དབྱངས།	Popmuziek
ལྕགས་འཛེར།	Draadnagel
ཤ་ལོ་མོ།	Salomo
ཨ་ཧྥན་ན།	Pallas Athena
༡༡ (གྲངས་ཀ།)	11 (getal)
༡༣ (གྲངས་ཀ།)	13 (getal)
དགེ་རྒན།	Onderwijzer
༼ར་མ་ཡ་ན།༽	Ramayana
ཨ་པོ་ལུའོ།	Apollon
རྒྱལ་དབང་སྐུ་འཕྲེང་རིམ་བྱོན།	Dalai lama
ཧྥ་རན་སི་ཨི་སི་བྷེ་ཀན།	Francis Bacon (wetenschapper, 1561)
༡༠༠ (གྲངས་ཀ།)	100 (getal)
པུས་མོ།	Knie (anatomie)
པོལ.ཀའོ་ཀེང་།	Paul Gauguin
ཧའི་གུ།	Haiku (dichtvorm)
ཝེ་ལ་གྲུ་ཁ།	Port Vila
མཚོ་འགག	Zeestraat
ཞོག་མངར།	Zoete aardappel
ཡང་ཀོང་།	Rangoon (stad)
གསལ་བྱེད།	Medeklinker
ཀའོ་ལུའུ།	Gallië
ས་མུ་རའི།	Samoerai
ཡོ་ཀོ་ཧ་མ།	Yokohama (stad)
༡༤ (གྲངས་ཀ།)	14 (getal)
ཆུ་ཀུབ།	Watermeloen
༡༥ (གྲངས་ཀ།)	15 (getal)
༡༨ (གྲངས་ཀ།)	18 (getal)
སུ་ཝ།	Suva
ནུ་ཁུ་ཨ་ལོ་ཧྥ།	Nuku'alofa
རོ་མའི་ཨང་ཀི།	Romeinse cijfers
པེའུ་ས་མཚོད་རྟེན་གསེག་མ།	Toren van Pisa
ཕྲ་མཐོང་དཔལ་འབྱོར།	Micro-economie
པོ་རོ་ཊི་ཨོཕ་སི་པེ་ན།	Port of Spain
ཙི་ཙི།	Mus (geslacht)
དོ་ཁྱི།	Tibetaanse mastiff
ལི་ཝང།	Oranje (kleur)
ཧེར་ཚི།	Hertz (eenheid)
ལག་ཆ།	Gereedschap
སྨན་པ།	Arts
ཆེ་མཐོང་དཔལ་འབྱོར།	Macro-economie
ལའོ་ཨག	Laoag (Ilocos Norte)
༡༩ (གྲངས་ཀ།)	19 (getal)
༄༅།། ལུ་ཀཱ་ཡིས་བྲིས་པའི་འཕྲིན་བཟང་བཞུགས་སོ།།	Evangelie volgens Lucas
ཨ་ཇཀ་སིའོ།	Ajaccio
༡༧ (གྲངས་ཀ།)	17 (getal)
ཆུ་སྲིན་ལག་བརྒྱད།	Octopoda
ཧོ་སྦར་ཐེ།	Hobart (Australië)
མ་ལ་སུང་རྒྱུགས་འགྲན།	Marathon (sport)
༡༦ (གྲངས་ཀ།)	16 (getal)
༢༠ (གྲངས་ཀ།)	20 (getal)
Radio Free Asia	Radio Free Asia
སི་པི་རིང་ཧྥིལ་ཌི། (ཨོ་ཧེའོ།)	Springfield (Ohio)
ཁྲིམས་རྩོད་པ།	Advocaat (beroep)
སུ་མོ་སྦེ་ག	Sumo
འཐབ་རྒྱུག་རིམ།	Troposfeer
ནཱན་སི།	Nancy
ཧོ་ཉི་ཡ་ར།	Honiara
སྨོན་ལམ།	Gebed
ཨན་ཧུའེ་ཞིང་ཆེན།	Anhui
མཚོ་གླང་།	Walrus
སྤྲ།	Orang-oetans
དཔྲལ་བ།	Voorhoofd
ནང་སོག་རང་སྐྱོང་ལྗོངས།	Binnen-Mongolië
ཤོ་ཏོ་ཀན་ཁ་ར་ཏེ།	Shotokan
གི་ཆིན་ཧྥུ་ན་ཀོ་ཤི།	Gichin Funakoshi
ཐང་ཆེན་དམར་པོ།	Rode Plein
ཧེ་རཱ་ཁི་ལེ་ཁྲི་ཟི།	Heraclitus
ཟླ་ཆུ།	Mekong
པིན་ཆེན་ཆུ་ཚོད།	Big Ben
པ་སི་ཐེར།	Basseterre
དུས་དེབ།	Tijdschrift
དཱ་བིད། (གསུང་རབ།)	Koning David
ཁིན་སི་ཐོན།	Kingstown (Saint Vincent en de Grenadines)
རྩ་བ།	Wortel (plant)
ཞུ་མཁན།	Loquat
མོལ།	Mol (eenheid)
སན་ཐ་ཇོར་ཇི། (གི་རི་ན་ཌ།)	Saint George's
༄༅།། ཧམ་ལེ་ཐྲི།	Hamlet
ཉི་གདུགས་	Paraplu
འུ་སུ།	Koriander
ལིའུ་ཞ་པོ།	Liu Xiaobo
དྲེལ།	Muildier/muilezel
ཁ་སི་ཐྲིས།	Castries (Saint Lucia)
ཧྥུའུ་ཅན་ཞིང་ཆེན།	Fujian (China)
བྱི་ལ་དོམ་ཆུང་།	Kleine panda
སོག་པོ།	Mongolen
ཞོན་ཙང་།	Xuanzang
ཧའེ་ནན་ཞིང་ཆེན།	Hainan
ཨིལ་ཁས་ར་ཝ་ཇིའོ།	Caravaggio (schilder)
གཡའ་ཤིང་།	Esdoorn (geslacht)
༤༠ (གྲངས་ཀ།)	40 (getal)
ཀན་སུའུ་ཞིང་ཆེན།	Gansu
དབྱིན་ཇིའི་མི།	Engelsen (volk)
སྦེ་ག	Worstelen
གྲུ་མོ།	Elleboog
ཆོས་དཔོན།	Priester
རི་ཞི།	Bengaalse tijgerkat
ཝུའུ་ཞི།	Wuxi
མ་ཧེ།	Waterbuffel
རྒྱ་མི།	Han-Chinezen
༣༠ (གྲངས་ཀ།)	30 (getal)
ཤོག་བྱ།	Vliegeren
བདེ་བར་གཤེགས་པའི་གནས།	Nirwana
ཐོ་ཕུ་རིག་པ།	Topologie
པགས་གཙགས་རི་མོ།	Tatoeage
ཌེ་སི་མོན་ཌི་ཏུ་ཏུ།	Desmond Tutu
ཙན་པི་ཞི་གཙང་པོ།	Zambezi
ཨའི་ཁི་དོ།	Aikido
ཝེ་ཁེ་རིག་མཛོད་ནང་འཕྲད་སྲིད་པའི་དཀའ་རྙོག་སེལ་ཐབས།	Help:Veelgestelde vragen
ཨེ་ར་ཐོ་སི་ཐེ་ནེ་སི།	Eratosthenes
ཡུན་ནན་ཞིང་ཆེན།	Yunnan
ས་ངོས་སྙོམས་ཐིག	Horizon (lijn)
མོའོ་ཀའོ་བྲག་ཕུག	Mogao-grotten
པོམ་པེ་ཡི།	Pompeï
དམངས་ཁྲོད་རོལ་དབྱངས།	Folk
སྐྱེས་ཆེན་དམ་པ་ཨན་དྲི་ཡཱ།	Andreas (apostel)
ཧྲན་ཏུང་ཞིང་ཆེན།	Shandong
འདོད་ཆགས་ཀྱི་མནར་གཅོད་བཏང་བ།	Seksueel misbruik
རྟ་བླ།	Duizendpoten
མིའི་རིགས་རྒྱུད་རིག་པ།	Etnologie
སྦྲོ་སྦྲོ།	Dodo
སྐྱེས་ཆེན་དམ་པ་མད་ཐཱ།	Matteüs (apostel)
རང་བྱུང་ཁོར་ཡུག	Natuurlijke omgeving
རྐང་ཤུབས།	Sok (kledingstuk)
ཧའོ་ནན་ཞིང་ཆེན།	Henan (China)
མིག་གི་རྫི་མ།	Wenkbrauw
ལའུ་ཉིང་ཞིང་ཆེན།	Liaoning
ཧ་མའེ་སྒྲི་ཁར་སའེ།	Hamid Karzai
མས་ཋ་ཀ་རོའེ་ནིང་།	Matt Groening
ཡ་ཀོབ་ནི་ཟེ་བད་ཡཱ་ཞེས་བྱ་བའིབུ།	Jakobus de Meerdere
ཤེད་འཕྲུལ།	Motor
ལྗེས་ཧ་སྒྲིའམ།	Jihad
ཕ་སི་ཁལ།	Pascal (eenheid)
ལྷ་དབང་ཆབ་སྲིད་ལམ་ལུགས།	Theocratie
སྐྲག་པ།	Angst
ཐར་ཤི་ཤ།	Tarsis
ཡེ་སེ།	Isaï
གཤིན་རྗེ།	Yama (yoga)
སིད་ནེ་ཟློས་གར་ཁང་།	Sydney Opera House
ཅི་ལིན་ཞིང་ཆེན།	Jilin (provincie)
ཡར་ཀླུང་གཙང་པོ་	Brahmaputra
གཡུང་དྲུང་།	Swastika (symbool)
པ་ར་མི་ཏ།	Nangka
ཧུའུ་ནན་ཞིང་ཆེན།	Hunan
མཚོ་སྔོན་ཞིང་ཆེན།	Qinghai
ཡུལ་གོར་མི།	Oeigoeren
ཧྲོའུ་སི།	Sushi
ཨུ་སའེ་ལི་སི།	Osiris (mythologie)
རང་དབང་ཁྲོམ་ར་	Vrije markt
ཝང་གྷ་རི་མཱ་ཐཱི།	Wangari Maathai
སོར་གདུབ།	Ring (sieraad)
ཧུའུ་པེ་ཞིང་ཆེན།	Hubei
ཧྲན་ཞི་ཞིང་ཆེན།	Shanxi
མཁུར་ཆོས།	Wang (anatomie)
ཨོ་མུ།	Ohm (eenheid)
བཙན་གཡེམ།	Verkrachting
ཀུད་ཀྲོའུ་ཞིང་ཆེན།	Guizhou
ཕེ་ཐིར་ནེའུ་སི།	Gaius Petronius Arbiter
འཁྲུངས་སྐར།	Verjaardag
ཨེག་སི་-ཨེན་-ཕོ་རོའོ་ཝང་སི།	Aix-en-Provence
ཨ་མའི་དུས་ཆེན།	Moederdag
གྲོག་ཆུ།	Beek (watergang)
ཨན་ནུའུ་པེ་སི།	Anubis (god)
ཌི་ཛི་ཨ་ནོ་ཝ་ཅེ་ལི་ཡོ།	Titiaan
ལྷ་མོ་ཝེ་ནུ་སི།	Venus (mythologie)
ལྦུ་སིམ་ཁུ་ནག	Pepsi
མེ་ཚལ་ལྗང་ཁུ།	Broccoli
ཀྲོའང་ཙེ།	Zhuangzi
རྩ་འཁུམ་ནད།	Tetanus
རྒྱལ་ཡུམ་ཚི་ཞི།	Cixi (keizerin)
ཧྲའན་ཞི་ཞིང་ཆེན།	Shaanxi
༢༣ (གྲངས་ཀ།)	23 (getal)
སློབ་ཕྲུག་	Student
མ་ལིའུ་ཅ་མཚོ་འགག	Straat Malakka
ཐེག་པ་ཆེན་པོ།	Mahayana
མེ་ཀྲི་ལོན་མཚོ་འགག	Straat Magellaan
ལུའོ་སའེ་རྡོ་རིང་།	Steen van Rosetta
སན་པི་ཏི་པོག (ཧྥོ་ལོ་རི་ཌ།)	Saint Petersburg
མིང་ལྡོག	Bijnaam
འཁྱོག་མདའ།	Krukas
སྙན་ངག་མཁན།	Dichter
ཅི་ཅོ་ལི་ན།	Ilona Staller
ཨི་ཏ་ལིའི་མི།	Italianen
ཀེའུ།	Bieslook
ཁ་འབུད།	Mondharmonica
གླང་དམར།	Red Bull (drank)
འགག་སྒྲ།	Plosief
ཨན་ན་ཐོའོ་ལི་ཡ།	Anatolië
ཡེ་ཤུའི་བརྒྱུད་རྩ།	Genealogie van Jezus
ཨ་རོན།	Aäron
ཆེང་མྰེ།	Chiang Mai (stad)
Template:Taxobox	Sjabloon:Taxobox
ཧར་རྗེར།	Hergé
ཏིན་ཏིན།	Kuifje (personage)
Category:རྒྱལ་སྲིད།	Categorie:Monarchie
མོ་ན་ཁོ་གྲོང་།	Monaco-Ville
Category:ཕོ་ལན་གྱི་ཙུང་ཐུང་།	Categorie:President van Polen
ལུ་མེ་ཨེར་གཅེན་གཅུང་།	Gebroeders Lumière
ཅང་ཤིའི་ཞིང་ཆེན།	Jiangxi
སྡེར་མ།	Bord (maaltijd)
ཀྲུང་གོའི་རང་སྐྱོང་ལྗོངས།	Autonome regio (China)
ཉིང་ཤ་ཧུའི་རིགས་རང་སྐྱོང་ལྗོངས།	Ningxia
འབྲུག་གྲུ།	Drakenboot
ཡྰང་ཀྲོའུ།	Yangzhou
ཀྲེན་ཅང་།	Zhenjiang
ཨ་མོན།	Amon (mythologie)
སྣོལ་རྒྱུ་གློག་འདོན་འཕྲུལ།	Alternator
མི་ལ་རས་པ་	Milarepa
ཕག་རྒོད།	Wild zwijn
འཁོར་གཡུགས་གཙོག་སྐྱོན།	Milieuverontreiniging
དབྱངས་ཅན་མ།	Sarasvati (godin)
ཞི་བདེ་རིང་ལུགས།	Pacifisme
སི་ནོ་པེ་ཡིའི་དིའོ་ཇེ་ན།	Diogenes van Sinope
འདི་ན་ཡང་དྲག་ཏུ་མཆོང་ལྡིང་བྱེད་བཞིན་པའི་སྙིང་གསོན་པོ་ཞིག་འདུག	Babil
མེ་ཏོག་ལུག་མིག	Chrysanthemum
༄༅།། ཨེ་ནེ་རྡི།	Aeneis
འགྱུར་མིང་།	Pseudoniem
མག་དལ་མ་མིར་ཡམ།	Maria Magdalena
ཟི་ལིང་།	Xining
༼ནུབ་ཕྱོགས་སུ་བསྐྱོད་པའི་རྣམ་ཐར།༽	De reis naar het westen
༼རྒྱལ་ཁབ་གསུམ་གྱི་གཏམ་རྒྱུད།༽	Roman van de Drie Koninkrijken
ཆུ་ངོགས་གཏམ་རྒྱུད།	Verhaal van de wateroever
ཨ་དམ།	Adam
པོ་ཏ་ལ།	Potala
མཚོ་རྟེའུ།	Zeepaardjes
ལིའུ་པོལ་ཌི་བོན་ཪཱན་ཀེ།	Leopold von Ranke
མཱ་རེ་ལཱར་ཟི་ཆི།	Marie Louise van Wallersee
གློག་དཀྲོལ་རྒྱུད་མང་།	Elektrische gitaar
སིབ་བི།	Mazelen
ལག་སྦྲེང་།	Accordeon
༢༠༡༤ལོའི་འཛམ་གླིང་བུམ་པའི་རྐང་རྩེད་སྤོ་ལོའི་མགྲན་སྡུར།	Wereldkampioenschap voetbal 2014
རྦིར་མིང་ཧམ། (ཨ་ལ་པ་མ།)	Birmingham (Alabama)
ཁོང་ཁྲོ།	Woede
དབྱི་ཞི་སི།	Isis (godin)
༢༥ (གྲངས་ཀ།)	25 (getal)
༢༤ (གྲངས་ཀ།)	24 (getal)
༦༠ (གྲངས་ཀ།)	60 (getal)
སྐྱུར་ཙི་ཆེན་པོ།	Pompelmoes
ཊ་བི་རི་ཛ།	Tabriz
ཏག་སེ།	Poker
བེང་ག་ལི།	Bengalen (gebied)
ཨའི་ཆི་ཞེས་པའི་སྲིད་འཛིན་ས་ཁུལ།	Aichi (prefectuur)
མ་ནི།	Gebedsmolen
སྰ་ཝན་ཐི་ཨྰར་ཧེན་ཡ་སུ།	Svante Arrhenius
འབྲོག་ལས།	Veeteelt
ན་སོ་ལོན་པ།	Volwassene
ཡུ་དཱ་དབྱི་སི་ཀར།	Judas Iskariot
མཱོན་ཊི་རེ།	Monterrey
ཆུ་ཁམས་འཁོར་སྐྱོད།	Waterkringloop
ནོ་ཨ།	Noach
ལའེ་ཧྥན་ཐ།	Levant
ཀུབ་མངར།	Meloen (vrucht)
མགྱོགས་ཟས།	Fastfood
ཁ་དབྲག	Vork (bestek)
ཐུར་མ།	Lepel (bestek)
ཟ་ཐུར་རམ་ཁོ་ཙེ།	Eetstokjes
གེབ་རི་ཨེལ།	Gabriël (aartsengel)
བ་སྤུའི་མེ་ཏིག	Jasminum
ལ་རོ་ཅེ་ལེ།	La Rochelle (Charente-Maritime)
བྱང་སྣེའི་ཝ་མོ།	Poolvos
ཀྲུང་གོའི་རྒྱལ་རབས།	Geschiedenis van China
ཨ་ན་ཁི་ཟཱ་གྷོ་རཱ་ཟི།	Anaxagoras
༄༅།། རའོ་མེའུ་ཨོ་དང་ཇོའུ་ལིའུ་ཡ་ཐི།	Romeo and Juliet (toneelstuk)
རྗེན་ཚལ་	Sla
ཁེན།	Candela (eenheid)
ཏེ་ལོ།	Stinkdieren
༢༦ (གྲངས་ཀ།)	26 (getal)
པཎ་ཆེན་ཨེར་ཏི་ནི་ཆོས་ཀྱི་རྒྱལ་མཚན་	Lobsang Trinley Chökyi Gyaltsen
གློག་རྡུལ་ཝོལ།	Elektronvolt
ཨེམ་ཕི་ཌོལ་ཁི་ཟི།	Empedocles
ཧོ་ལུའུ་སི།	Horus
ཧན་སེ་ཁལ་སེན།	Hans Kelsen
ཧེན་རིག་ཆི་ཧཱ་རཱར།	Heinrich Harrer
ཡུས་ཅིན་མེ་ཏོག	Tulp
མཚོ་ལེ།	Zeemijl
ཝི་ཆི།	Vichy (Allier)
བདེ་འཇགས་དབུགས་སྒྲོ།	Airbag
ལང་ཚོ་དར་བབས།	Puberteit
མཚན་ཉིད།	Definitie
ཕོ་རོའོ་ཝང་སི།	Provence (Frankrijk)
འཇོན་མི།	Homo habilis
མཁའ་སྐྱོད་བུ་མོ།	Steward (luchtvaart)
ཨའི་ནུ་མི།	Aino (volk)
པེ་ཁེར།	Becquerel (eenheid)
ལྷོ་སྤྲ།	Australopithecus
སི་ཝེད།	Sievert
སྒོ་ཕྱུགས་སེམས་ཅན།	Vee
པཱར།	Bar (druk)
ཤིས་ས་སྤང་མ།	Shishapangma
སྐྲ་བཞར་མཁན།	Barbier
༄༅།། མར་ཀུས་བྲིས་པའི་འཕྲིན་བཟང་བཞུགས་སོ།།	Evangelie volgens Marcus
འཁོར་འགྲོས།	Rotatie (natuurkunde)
སེད།	Seth (persoon)
ཁྲང་པེ་རི་བོ།	Paektusan
སྙོམས་རྒྱུག་རིམ།	Stratosfeer
ཏིང་ངེ་འཛིན།	Meditatie
ཤིང་ཀུན།	Duivelsdrek
ཧྭ་ཧྲན་རི་བོ།	Hua Shan
མགོ་ལོག་བོད་རིགས་རང་སྐྱོང་ཁུལ་	Golog (autonome Tibetaanse prefectuur)
ཐི་ཧྥུ་ན་ཐི།	Tefnut
གཞིས་ཀ་རྩེ་གྲོང་ཁྱེར།	Shigatse (stad)
ཨ་མེ་ཏིའོ་མོ་ཏིག་ལི་ཡ་ནི།	Amedeo Modigliani
ཧྥ་རན་སིའི་མི།	Fransen
འཆར་ལྡན་བུ་བཙའ།	Anticonceptie
ལོག་གཡེམ་མམ་ཉེས་སྤྱོད།	Geweld
བློ་བརྟན་རྣམ་གླིང་།	Loten Namling
སེ་ར་དགོན།	Sera (klooster)
ཀྲུའུ་ནུའོ།	Juno (mythologie)
ལུ་ཟོན།	Luzon (eilandengroep)
ཕང་ཕེ་	Pompeius
འཕར་བ།	Jakhalzen
ཕཱ་ར་མེ་ནེ་ཌི་ཟི།	Parmenides
ཁམས།	Kham
སྨི་ཉི་ཝ།	Minerva (mythologie)
ཀླུ་སྡེ།	Nagasena
གཉེན་ཚན་བར་ཆགས་སྦྱོར་བྱེད་པ།	Incest
དཀར་མཛེས་བོད་རིགས་རང་སྐྱོང་ཁུལ་	Autonome Tibetaanse Prefectuur Garzê
སྐྱེས་ཆེན་དམ་པ་ཡོ་སེབ།	Jozef van Nazareth
བརྒྱ་བྱིན།	Indra (mythologie)
སྐྱེས་ཆེན་དམ་པ་ལུ་ཀཱ།	Lucas (evangelist)
ཐང་ཁྲག	Ceder
ཚིགས།	Knoop (snelheid)
ཨ་འབྲུམ།	Kastanje
གཡའ་དྲེད།	Verschrikkelijke sneeuwman
ཙོ་ལུའུ་པ།	Zoeloes
རྨ་ལྷོ་བོད་རིགས་རང་སྐྱོང་ཁུལ་	Huangnan (autonome Tibetaanse prefectuur)
དཔྱིད་མཛེས་མེ་ཏག	Grote klaproos
ལྷུན་རྩེ་རྫོང་།	Lhuntse (arrondissement)
སི་ཧྥུན་ཁོ་སི། (ཨའི་ཅི།)	Sfinx van Gizeh
ཁཱ།	Calorie
ཡའོ་ཁེས་འོ་ཧ་ཐའོ་ཡ་མ།	Yukio Hatoyama
ཡོམ་འབོག་ཤིང་།	Iep
བསྟན་བཤིག	Grap
ཤི་རིན་ཨེ་བྷ་ཌི།	Shirin Ebadi
ཡུལ་ཏོ་པི་ཡ།	Utopie
འཁྱིལ་ཆེན།	Tuba (instrument)
སྲན་ལེབ་ཆུང་ངུ།	Linze
ཧྥ་རད།	Farad (eenheid)
གའཀགྲོང་།	Oaxaca (stad)
མན་རྡ་ར།	Mantra
ཞིང་པ་	Agrariër
ཕྱི་ལྦགས།	Marmotten
ཨོ་ལི་ནོ་ཁི་གཙང་པོ།	Orinoco
སའེ་ཐི།	Seth (mythologie)
ཆུ་སྲིན་དཀར་པོ།	Witte dolfijn
ཨུ་བཱོན་ར་ཊི་ཅ་ཐ་ནི།	Ubon Ratchathani (stad)
དུས་ཆེན།	Festival
ལྷ་མོ་ཏི་ཨན་ན།	Diana (mythologie)
སྐྱུ་རུ་དམན་པ།	Meidoorn
འཕར་སྤྱང་།	Aziatische wilde hond
ཊ་རོ་ཨ་སོ།	Taro Aso
བྲ་བོ།	Boekweit
ཨཱལ་ཕི།	Albi (Frankrijk)
ཕ་རིའི་ཀོ་མུ་ནེ། (༡༨༧༡)	Commune van Parijs (1871)
