ʻApelika	Afrika
Kālaimeaola	Biologie
Kōlea ʻĀkau	Noord-Korea
Kamabodia	Cambodja
Nalala	Dinosauriërs
Hoʻomana Mohameka	Islam
Kālailau nahele	Plantkunde
Sofia	Sofia (stad)
Kūlanakauhale	Stad
Lā	Zon
Kahua o nā hōkū	Zonnestelsel
Haikokene	Waterstof (element)
Hiliuma	Helium
Likiuma	Lithium (element)
Beryllium	Beryllium
Makahiki	Jaar
Oslo	Oslo
Likepona	Lissabon
Rhône (kahawai)	Rhône (rivier)
Boron	Boor (element)
Kalepona	Koolstof
Naikokene	Stikstof (element)
‘Okikene	Zuurstof (element)
Hōkū hele	Planeet
Mokekao	Moskou
Fluorine	Fluor (element)
ʻŌlelo ʻĪkālia	Italiaans (taal)
Nīane	Neon (element)
Sodiuma	Natrium
Makanekiuma	Magnesium
‘Aluminuma	Aluminium
‘Īnia	India
Silikone	Silicium
Pokepola	Fosfor
Sulufura	Zwavel
Kolorine	Chloor (element)
William Shakespeare	William Shakespeare
‘Aragona	Argon
Potasiuma	Kalium
Kalipuna	Calcium
Monokolia	Mongolië
Scandium	Scandium
Titanium	Titanium
Vanadium	Vanadium
Maine	Maine
Lio	Paard (dier)
Hoʻomana Buda	Boeddhisme
Nū Hamekia	New Hampshire
Leonardo da Vinci	Leonardo da Vinci
Makakukeka	Massachusetts
Konekikuka	Connecticut
Hawai‘i	Hawaï
Moana ʻĀlika	Noordelijke IJszee
Heiti	Haïti
‘Ilana	Iran
‘Ilaka	Irak
‘Ālaka	Alaska
ʻIseraʻela	Israël
Panamā	Panama (land)
Iemene	Jemen
Ioredāne	Jordanië
Pololika	Florida (staat)
Kaikikana	Kirgizië
‘Alikona	Arizona (staat)
Kuete	Koeweit
Laosa	Laos
Lepanona	Libanon
‘Olekona	Oregon
Maladiwa	Maldiven
Uka	Utah
Malaisia	Maleisië
Puruma	Myanmar
Nepala	Nepal
ʻOmana	Oman
Pakitana	Pakistan
Katala	Qatar
Saudi ʻAlapia	Saoedi-Arabië
Sililanaka	Sri Lanka
Suria	Syrië
Pokémon	Pokémon
Tailani	Thailand
Wiekanama	Vietnam
‘Apekanikana	Afghanistan
Banagaladesa	Bangladesh
Butana	Bhutan
Brunei	Brunei
ʻĀina Pilipino	Filipijnen
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Tunisia	Tunesië
Beijing	Peking
Burakina Faso	Burkina Faso
ʻElikilea	Eritrea
Mauritiusa	Mauritius (land)
Iulius Caesar	Julius Caesar
Hamepuka	Hamburg
Huli honua	Geologie
Mikikana	Michigan
‘Ilinoe	Illinois (staat)
Tulinia	Thüringen (deelstaat)
Kakoka ‘Ākau	North Dakota
Kakoka Hema	South Dakota
Monekana	Montana (staat)
Waiomina	Wyoming
‘Ikahō	Idaho
Wakinekona	Washington (staat)
Moana ʻIniana	Indische Oceaan
Kololako	Colorado (staat)
ʻAlepa	Alpen
Kikako, ʻIlinoe	Chicago
‘Ōlelo Sepania	Spaans
Montevideo	Montevideo (stad)
Johann Sebastian Bach	Johann Sebastian Bach
Wilikinia	Virginia (staat)
Wilikinia Komohana	West Virginia
Nuioka	New York (staat)
Loke ‘Ailana	Rhode Island (staat)
Melelana	Maryland
Kelawea	Delaware
‘Ohaio	Ohio (staat)
Penekelewinia	Pennsylvania
Uetersen	Uetersen
Augustus	Imperator Caesar Augustus
Nū ‘Ieleke	New Jersey
‘Ōlelo Pinilana	Fins
‘Inikiana	Indiana
Keokia (‘Amelika Hui Pū ‘ia)	Georgia (staat)
Kekeka	Texas (staat)
Kalolaina Hema	South Carolina
Seine	Seine
Buenos Aires	Buenos Aires (stad)
Mēkiko D.F.	Mexico-Stad
Mikikipi	Mississippi (staat)
Kenekī	Tennessee
Nū Mekiko	New Mexico
‘Akenai	Athene (stad)
Minekoka	Minnesota
Wikonekina	Wisconsin
‘Iowa	Iowa (staat)
Nepalaka	Nebraska
Kanekaka	Kansas (staat)
Mikouli	Missouri (staat)
Luikiana	Louisiana (staat)
Kenekuke	Kentucky
‘Akanaka	Arkansas (staat)
‘Okalahoma	Oklahoma
Makekepuka	Maagdenburg (stad)
Reykjavík	Reykjavik
Paipala	Bijbel (christendom)
Thulium	Thulium
Ka Ho‘omana Iesū ‘Oia‘i‘o	Ware Jezuskerk
‘Ōlelo Pelekania	Engels
Đồng Hới	Đồng Hới
Concepción, Chile	Concepción (Chili)
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2009	2009
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
Lipekika	Leipzig
1998	1998
1999	1999
Kurów	Kurów (powiat Puławski)
Kemika	Scheikunde
Makelika	Madrid (stad)
Lima	Lima (stad)
Santiago de Chile	Santiago (Chili)
Quito	Quito
Ankara	Ankara
Riyadh	Riyad (stad)
Kamakeko	Damascus
Amman	Amman (stad)
Muscat	Masqat
Wikipedia:Sandbox	Wikipedia:Zandbak
Wehimala	Weimar (Thüringen)
Osasco	Osasco (Brazilië)
Dong Hoi Airport	Luchthaven Đồng Hới
Curitiba	Curitiba (gemeente)
Zichyújfalu	Zichyújfalu
Sarah Bernhardt	Sarah Bernhardt
Mauna Kana Helena	Mount Saint Helens
Mokuhonua	Continent
Kapikala	Hoofdstad
Monzón	Monzón
Almazán	Almazán (gemeente)
Puke noi‘i kū‘ikena	Encyclopedie
Ka papa kinohi	Hoofdpagina
Vincent van Gogh	Vincent van Gogh
Frida Kahlo	Frida Kahlo
Michelangelo	Michelangelo Buonarroti
Pablo Picasso	Pablo Picasso
Raffael Santi	Rafaël (kunstenaar)
Rembrandt	Rembrandt van Rijn
Frank Lloyd Wright	Frank Lloyd Wright
Matsuo Bashō	Matsuo Basho
Castille a Leon	Castilië en León
Meka	Mekka
Gabriel García Márquez	Gabriel García Márquez
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Māhele:Candidates for speedy deletion	Categorie:Wikipedia:Nuweg
Kaumokuʻāina	Land (geografie)
Homer	Homerus
Hōʻole Akua	Atheïsme
Kālaikaiaola	Ecologie
Kālaiʻāina	Politiek
Aupuni	Regering
Qin Shi Huang	Qin Shi Huangdi
Tolstoi	Leo Tolstoj
Moku‘āina	Staat
ʻŌlelo Lūkini	Russisch
‘Ōlelo Pākē	Chinese talen
Nelson Mandela	Nelson Mandela
Makani Pāhili	Tropische cycloon
Moʻokalaleo	Literatuur
Māhele:Palani	Categorie:Frankrijk
Oboe	Hobo (muziekinstrument)
ʻOlumepika Kauwela ma 2008	Olympische Zomerspelen 2008
Granada	Granada (stad)
ʻĀtoma	Atoom
Mohameka	Mohammed
Burgos	Burgos (Spanje)
Ronald Reagan	Ronald Reagan
‘Ōlelo Zaza	Zazaki
Māhele:Palakila	Categorie:Brazilië
Kumumea kemikala	Chemisch element
‘Ohe kani	Fluit (muziekinstrument)
ʻAlea	Oppervlakte
Hulahula	Dans
Papa o nā ʻāina	Lijst van landen in 2015
Miranda de Ebro (Burgos)	Miranda de Ebro
Kuli	Doofheid
Ponferrada	Ponferrada
Santander	Santander (Spanje)
Helu piha	Geheel getal
Malgrat de Mar	Malgrat de Mar
‘Ōlelo ‘Alapia	Arabisch
Tiranosauru	Tyrannosaurus
Terikeratopa	Triceratops
Setegasauru	Stegosaurus
Barakiosauru	Brachiosaurus
Welokirapetoa	Velociraptor
Hae	Vlag
‘Ulu	Broodboom
Aupuni kiwikā	Gemeente (bestuur)
Salamanca	Salamanca (stad)
Zamora (España)	Zamora (Spanje)
León (España)	León (Spanje)
Anakuhi:Link FA	Sjabloon:Link FA
Welemoneka	Vermont
Houston, Kekeka	Houston
Pēniki	Phoenix (Arizona)
Kakalameko	Sacramento (Californië)
Honolulu, Hawaiʻi	Honolulu
Kauoha Hou	Nieuwe Testament
Rafael Correa	Rafael Correa
Louvre	Louvre
‘Ao‘ao Kū‘oko‘a Pokoliko	Partido Independentista Puertorriqueño
Kalikimaka	Kerstmis
Mo‘ai	Moai
Hoʻolele hualono	Podcast
Friedrich Schiller	Friedrich von Schiller
Jean Auguste Dominique Ingres	Jean Auguste Dominique Ingres
Pule	Week
Cervidae	Hertachtigen
Pule Alaka‘i A Ka Haku	Onzevader
Musée d'Orsay	Musée d'Orsay
Mokupuni	Eiland
Moshchena	Mosjtsjena
ʻōhiʻa lomi	Tomaat
Paltoga	Paltoga
Panalā‘au o Quảng Binh	Quảng Bình (provincie)
Bryan Cranston	Bryan Cranston
Felidae	Katachtigen
Pichilemu	Pichilemu
Canidae	Hondachtigen
Karlstad	Karlstad (stad)
Mölnlycke	Mölnlycke
Bovidae	Holhoornigen
Phocidae	Zeehonden
ʻAnekelopa	Antilopen
‘Amelika	Amerika
Cabañas Raras	Cabañas Raras
Acebedo	Acebedo
Boca de Huérgano	Boca de Huérgano
Bustillo del Páramo	Bustillo del Páramo
Boñar	Boñar
Otariidae	Oorrobben
Pinnipedia	Zeeroofdieren
Zhengzhou	Zhengzhou
Mīkini helu	Rekenmachine
Halakepoka	Hartford (Connecticut)
‘Ōlelo Hawai‘i	Hawaïaans
Pea kina	Reuzenpanda
Pae moku	Archipel
Valparaíso	Valparaíso (stad)
‘Ōlelo Sāmoa	Samoaans
Marlon Brando	Marlon Brando
‘Ōlelo Kahiki	Tahitiaans
Wailele ‘o Niakala	Niagarawatervallen
Mošovce	Mošovce
Kauō	Laysan
ʻAperodite	Aphrodite
Nā mokuʻāina o ʻAmelika Hui	Staten van de Verenigde Staten
Pauka niho	Tandpasta
Mineapoli	Minneapolis
Apia	Apia
Brigitte Bardot	Brigitte Bardot
Arancón	Arancón
'ōlelo toki pona	Toki Pona
Paul Gauguin	Paul Gauguin
Teide	El Teide
Kālaiʻelala	Entomologie
Ágreda	Ágreda
ʻAnekilosauru	Ankylosaurus
Waleluka	Walrus
Johannes Vermeer	Johannes Vermeer
Teletubbies	Teletubbies
Kahiki	Tahiti
Israel Kamakawiwoʻole	Israel Kamakawiwo'ole
Johnny Cash	Johnny Cash
Nanahana	Japanse notenboom
Hesioda	Hesiodos
Cubillos del Sil	Cubillos del Sil
Igüeña	Igüeña
Castropodame	Castropodame
Páramo del Sil	Páramo del Sil
Congosto	Congosto
Toreno	Toreno
Folgoso de la Ribera	Folgoso de la Ribera
Josepa Samika	Joseph Smith
Pihemanu	Midway (eiland)
Paris Hilton	Paris Hilton
Palapola	Parabool (wiskunde)
Helu kumu	Priemgetal
Söréd	Söréd
Palencia	Palencia (provincie)
El Royo	El Royo
Reyero	Reyero
La Ercina	La Ercina
La Robla	La Robla
Santa Colomba de Curueño	Santa Colomba de Curueño
San Cristóbal de la Polantera	San Cristóbal de la Polantera
ʻUkulele	Ukelele
Santa María del Páramo	Santa María del Páramo
Santa Elena de Jamuz	Santa Elena de Jamuz
San Justo de la Vega	San Justo de la Vega
Hawai‘i (mokupuni)	Hawaï (eiland)
Georg Philipp Telemann	Georg Philipp Telemann
ʻUlano	Ouranos (mythologie)
Coronel Fabriciano	Coronel Fabriciano
Matallana de Torío	Matallana de Torío
Pamela Anderson	Pamela Anderson
Gema	Edelsteen
Nā panalā‘au o Burgos	Lijst van gemeenten in provincie Burgos
Puahōlani	Tulp
Nā panalā‘au o León	Lijst van gemeenten in provincie León
Nikolai Rimsky-Korsakov	Nikolaj Rimski-Korsakov
Nā panalā‘au o Salamanca	Lijst van gemeenten in provincie Salamanca
Nā panalā‘au o Soria	Lijst van gemeenten in provincie Soria
Nā panalā‘au o Tarragona	Lijst van gemeenten in provincie Tarragona
Donald Sutherland	Donald Sutherland
Peter O'Toole	Peter O'Toole
Nā panalā‘au o Zamora	Lijst van gemeenten in provincie Zamora
Lili‘uokalani	Liliuokalani
Joey King	Joey King
X-Men	X-Men (strip)
Nika	Nyx (godin)
Mauna Kea	Mauna Kea
O‘ahu	Oahu
Cimanes de la Vega	Cimanes de la Vega
Cebrones del Río	Cebrones del Río
Garrafe de Torío	Garrafe de Torío
Cuadros	Cuadros
Llamas de la Ribera	Llamas de la Ribera
Castrocalbón	Castrocalbón
Carrocera	Carrocera
Grajal de Campos	Grajal de Campos
Castilfalé	Castilfalé
Quintana del Castillo	Quintana del Castillo
Campazas	Campazas
Santa Marina del Rey	Santa Marina del Rey
Cebanico	Cebanico
Castrillo de la Valduerna	Castrillo de la Valduerna
Pozuelo del Páramo	Pozuelo del Páramo
Prado de la Guzpeña	Prado de la Guzpeña
Santa Colomba de Somoza	Santa Colomba de Somoza
Cubillas de los Oteros	Cubillas de los Oteros
Maraña	Maraña
Castrotierra de Valmadrigal	Castrotierra de Valmadrigal
Castrillo de Cabrera	Castrillo de Cabrera
Gusendos de los Oteros	Gusendos de los Oteros
Chozas de Abajo	Chozas de Abajo
Sonata No. 8 no Piano (Beethoven)	Pianosonate nr. 8 (Beethoven)
ʻĀpana	District
John Singer Sargent	John Singer Sargent
Sesame Street	Sesame Street
Aupuni Mōʻī o Hawaiʻi	Koninkrijk Hawaï
Mauna Loa	Mauna Loa
Pat Hingle	Pat Hingle
Frans Hals	Frans Hals
Pō La‘i Ē	Stille Nacht (kerstlied)
Nuʻuhiwa	Marquesaseilanden
Edentata	Xenarthra
Hualālai	Hualalai
Caltojar	Caltojar
Berlanga de Duero	Berlanga de Duero
Christopher Lee	Christopher Lee
Knoxville, Kenekī	Knoxville (Tennessee)
Lāna‘i	Lanai
Carl Larsson	Carl Larsson
Kīlauea	Kīlauea
Maui	Maui
Māmā	Tempo (muziek)
Christopher Plummer	Christopher Plummer
Mokupuni o Hawai‘i	Hawaïaanse eilanden
Ivan Shishkin	Ivan Sjisjkin
Moloka‘i	Molokai
Nancy Reagan	Nancy Reagan
Almuñécar	Almuñécar
Hakakā ‘ole	Niet-doding
Kaua‘i	Kauai
Tigranes II	Tigranes II
Georges de La Tour	Georges de La Tour
Adour	Adour
Ivan Kramskoi	Ivan Kramskoj
Motril	Motril
Roger Ebert	Roger Ebert
John Bauer	John Bauer
Adolfo Suárez	Adolfo Suárez
Thomas Eakins	Thomas Eakins
Kamehameha I	Kamehameha I
Hilo	Hilo
Anggun	Anggun
Kaho‘olawe	Kahoolawe
Kalo	Taro
Makua Kamiano	Pater Damiaan
Ni‘ihau	Niihau
Guadix	Guadix
Pete Seeger	Pete Seeger
Heleuī	Halloween
Waikīkī	Waikiki
Camponaraya	Camponaraya
Villardiegua de la Ribera	Villardiegua de la Ribera
Xuxa	Xuxa
Bañuelos de Bureba (Burgos)	Bañuelos de Bureba
Imelda Marcos	Imelda Marcos
Órgiva	Órgiva
Michael Gough	Michael Gough
Sargentes de la Lora (Burgos)	Sargentes de la Lora
Vadillo	Vadillo
Peterosauru	Pterodactylus
Makeima	Macadamia
Richard Griffiths	Richard Griffiths
Donald Pleasence	Donald Pleasence
Andrew Wyeth	Andrew Wyeth
'Imi loa Dora	Dora the Explorer
Loja	Loja (Spanje)
Kamehameha	Kamehameha
Richard Schiff	Richard Schiff
Pedro de Betancur	Pedro de San José de Betancourt
Villarcayo de Merindad de Castilla la Vieja (Burgos)	Villarcayo de Merindad de Castilla la Vieja
Tubilla del Lago (Burgos)	Tubilla del Lago
Jeddah	Djedda
Almaluez	Almaluez
Salas de los Infantes (Burgos)	Salas de los Infantes
Makakilo	Makakilo City
Arraya de Oca (Burgos)	Arraya de Oca
Valencia de Don Juan	Valencia de Don Juan
Manzanal del Barco	Manzanal del Barco
Anne Hathaway	Anne Hathaway
ʻAiea	Aiea
Partido de la Sierra en Tobalina (Burgos)	Partido de la Sierra en Tobalina
Valdefresno	Valdefresno
Salobreña	Salobreña
Roa (Burgos)	Roa
Buke a Moramona	Boek van Mormon
Carazo	Carazo (departement)
Astorga	Astorga (Spanje)
Alexander ʻIolani Liholiho	Kamehameha IV van Hawaï
Tan Son Nhat International Airport	Internationale Luchthaven Tân Sơn Nhất
Aliud	Aliud
Baraona	Baraona
Medinaceli	Medinaceli
Láchar	Láchar
Burgo de Osma-Ciudad de Osma	Burgo de Osma-Ciudad de Osma
Suellacabras	Suellacabras
Yanguas	Yanguas
San Esteban de Gormaz	San Esteban de Gormaz
Baza	Baza
San Vicente del Raspeig	San Vicente del Raspeig
Aranda de Duero (Burgos)	Aranda de Duero
Nā kiaʻāina o Hawaiʻi	Lijst van gouverneurs van Hawaï
Ka'aahi Thomas	Thomas de stoomlocomotief
Likaono	Lycaon (Griekse mythologie)
Alhama de Granada	Alhama de Granada
Mauna kai	Onderzeese berg
Espinosa de los Monteros (Burgos)	Espinosa de los Monteros
Rabanera del Pinar (Burgos)	Rabanera del Pinar
Cañamaque	Cañamaque
Cazurra	Cazurra
Requejo (Zamora)	Requejo
Haleakalā	Haleakala
Navaleno	Navaleno
Tremedal de Tormes	Tremedal de Tormes
Huahine	Huahine
Alfoz de Bricia (Burgos)	Alfoz de Bricia
Villalbilla de Burgos (Burgos)	Villalbilla de Burgos
Negrilla de Palencia	Negrilla de Palencia
Honolulu International Airport	Honolulu International Airport
Kailua	Kailua (Honolulu county)
Belorado (Burgos)	Belorado
Fresneda de la Sierra Tirón (Burgos)	Fresneda de la Sierra Tirón
Morales de Toro	Morales de Toro
Cijuela	Cijuela
Armilla	Armilla
Chauchina	Chauchina
Dúrcal	Dúrcal
Cantabrana	Cantabrana
Fuente Vaqueros	Fuente Vaqueros
Huéscar	Huéscar
Trévago	Trévago
Maracena	Maracena
La Bouza	La Bouza
Palacios de Riopisuerga (Burgos)	Palacios de Riopisuerga
Līhuʻe	Lihue
Pedrosa del Príncipe (Burgos)	Pedrosa del Príncipe
Tubilla del Agua (Burgos)	Tubilla del Agua
La Encina (Salamanca)	La Encina
Kahuku	Kahuku (Hawaï)
Camarzana de Tera	Camarzana de Tera
Dévanos	Dévanos
Poʻipū	Poipu
Villagonzalo Pedernales (Burgos)	Villagonzalo Pedernales
Avellanosa de Muñó (Burgos)	Avellanosa de Muñó
Pinos Puente	Pinos Puente
Fuentes de Carbajal	Fuentes de Carbajal
Garcibuey	Garcibuey
Monasterio de la Sierra (Burgos)	Monasterio de la Sierra
Villamiel de la Sierra (Burgos)	Villamiel de la Sierra
Santa Fe	Santa Fe (Granada)
Ólvega	Ólvega
Solarana (Burgos)	Solarana
Kailua-Kona	Kailua (Hawaii county)
Barrio de Muñó (Burgos)	Barrio de Muñó
Valmala (Burgos)	Valmala (Spanje)
Casaseca de Campeán	Casaseca de Campeán
Terradillos de Esgueva (Burgos)	Terradillos de Esgueva
Waipahu	Waipahu
Villamartín de Don Sancho	Villamartín de Don Sancho
Viveiro	Viveiro
Sobrado	Sobrado (Galicië)
San Martín de Valderaduey	San Martín de Valderaduey
Palapala ‘Āina Honua	Wereldkaart
Magaña	Magaña
La Calzada de Béjar	La Calzada de Béjar
Kapaʻa	Kapaa
Abajas (Burgos)	Abajas
Itero del Castillo (Burgos)	Itero del Castillo
Reinosa	Reinosa
Centenera de Andaluz	Centenera de Andaluz
Bermellar	Bermellar
Mokupāpapa	Kure Atol
Sila Hawaiʻi	Hawaïaanse monniksrob
Cacabelos	Cacabelos
Béjar	Béjar
Vidayanes	Vidayanes
Soto de la Vega	Soto de la Vega
Manzanal de los Infantes	Manzanal de los Infantes
Kaunakakai	Kaunakakai
Peque	Peque (Spanje)
Fermoselle	Fermoselle
Junta de Traslaloma (Burgos)	Junta de Traslaloma
Mansilla de las Mulas	Mansilla de las Mulas
Riocavado de la Sierra (Burgos)	Riocavado de la Sierra
Villanueva de Argaño (Burgos)	Villanueva de Argaño
Valderas	Valderas
Gradefes	Gradefes
Onzonilla	Onzonilla
Arenas de Iguña	Arenas de Iguña
Backyardigans	The Backyardigans
Ciudad Rodrigo	Ciudad Rodrigo
Sahagún	Sahagún (Spanje)
Villatuelda (Burgos)	Villatuelda
Almarza	Almarza
Aldealices	Aldealices
Aldealafuente	Aldealafuente
Alentisque	Alentisque
Adradas	Adradas
Alconaba	Alconaba
Abejar	Abejar
Almajano	Almajano
Arenillas	Arenillas
Aldealpozo	Aldealpozo
Alcubilla de las Peñas	Alcubilla de las Peñas
Aldealseñor	Aldealseñor
Alcubilla de Avellaneda	Alcubilla de Avellaneda
Covaleda	Covaleda
Casarejos	Casarejos
Cerbón	Cerbón
Calatañazor	Calatañazor
Almazul	Almazul
Cidones	Cidones
Alpanseque	Alpanseque
Arcos de Jalón	Arcos de Jalón
Aldehuela de Periáñez	Aldehuela de Periáñez
Beratón	Beratón
Almenar de Soria	Almenar de Soria
Maján	Maján
Coscurita	Coscurita
Barcones	Barcones
Castilfrío de la Sierra	Castilfrío de la Sierra
Castilruiz	Castilruiz
Miño de Medinaceli	Miño de Medinaceli
Vinuesa	Vinuesa
Cigudosa	Cigudosa
Candilichera	Candilichera
Ausejo de la Sierra	Ausejo de la Sierra
Carabantes	Carabantes
Soliedra	Soliedra
Taroda	Taroda
Nepas	Nepas
Valtajeros	Valtajeros
Arévalo de la Sierra	Arévalo de la Sierra
Pozalmuro	Pozalmuro
Cabrejas del Pinar	Cabrejas del Pinar
Villasayas	Villasayas
Cubilla	Cubilla
Castillejo de Robledo	Castillejo de Robledo
Escobosa de Almazán	Escobosa de Almazán
Estepa de San Juan	Estepa de San Juan
Carrascosa de la Sierra	Carrascosa de la Sierra
Las Aldehuelas	Las Aldehuelas
Bayubas de Arriba	Bayubas de Arriba
Borobia	Borobia
Bliecos	Bliecos
Buberos	Buberos
Muriel Viejo	Muriel Viejo
Oncala	Oncala
Fuentecambrón	Fuentecambrón
Cabrejas del Campo	Cabrejas del Campo
Frechilla de Almazán	Frechilla de Almazán
Valdelagua del Cerro	Valdelagua del Cerro
Ciria	Ciria
Buitrago	Buitrago
Talveila	Talveila
Salduero	Salduero
Fuentes de Magaña	Fuentes de Magaña
Viana de Duero	Viana de Duero
Tardelcuende	Tardelcuende
Duruelo de la Sierra	Duruelo de la Sierra
Bayubas de Abajo	Bayubas de Abajo
Fuentearmegil	Fuentearmegil
Fuentelmonge	Fuentelmonge
Rollamienta	Rollamienta
Villar del Ala	Villar del Ala
Velilla de los Ajos	Velilla de los Ajos
Momblona	Momblona
Fresno de Caracena	Fresno de Caracena
Valdegeña	Valdegeña
Velamazán	Velamazán
Torlengua	Torlengua
Fuentecantos	Fuentecantos
Carrascosa de Abajo	Carrascosa de Abajo
Pinilla del Campo	Pinilla del Campo
Serón de Nágima	Serón de Nágima
Blacos	Blacos
Valdeavellano de Tera	Valdeavellano de Tera
Narros	Narros
Valdeprado	Valdeprado
Borjabad	Borjabad
Fuentelsaz de Soria	Fuentelsaz de Soria
San Leonardo de Yagüe	San Leonardo de Yagüe
Muriel de la Fuente	Muriel de la Fuente
Villar del Río	Villar del Río
Valderrodilla	Valderrodilla
Espejón	Espejón
Liceras	Liceras
Matalebreras	Matalebreras
Quintana Redonda	Quintana Redonda
Nafría de Ucero	Nafría de Ucero
Sotillo del Rincón	Sotillo del Rincón
Torrubia de Soria	Torrubia de Soria
Noviercas	Noviercas
Tajueco	Tajueco
Valdenebro	Valdenebro
Villaciervos	Villaciervos
Villanueva de Gormaz	Villanueva de Gormaz
Yelo	Yelo
Montenegro de Cameros	Montenegro de Cameros
Ucero	Ucero
Langa de Duero	Langa de Duero
Quiñonería	Quiñonería
Villar del Campo	Villar del Campo
Portillo de Soria	Portillo de Soria
Gormaz	Gormaz
Santa Cruz de Yanguas	Santa Cruz de Yanguas
Villaseca de Arciel	Villaseca de Arciel
Reznos	Reznos
Cueva de Ágreda	Cueva de Ágreda
Nolay	Nolay (Soria)
Cirujales del Río	Cirujales del Río
Caracena	Caracena
Cubo de la Solana	Cubo de la Solana
Miño de San Esteban	Miño de San Esteban
Fuentestrún	Fuentestrún
Espeja de San Marcelino	Espeja de San Marcelino
Matamala de Almazán	Matamala de Almazán
La Póveda de Soria	La Póveda de Soria
Los Rábanos	Los Rábanos
Quintanas de Gormaz	Quintanas de Gormaz
Santa María de Huerta	Santa María de Huerta
San Pedro Manrique	San Pedro Manrique
Velilla de la Sierra	Velilla de la Sierra
Valdemaluque	Valdemaluque
San Felices	San Felices
Renieblas	Renieblas
Toro (Zamora)	Toro (Spanje)
Morón de Almazán	Morón de Almazán
Los Villares de Soria	Los Villares de Soria
Torreblacos	Torreblacos
Vizmanos	Vizmanos
Tejado	Tejado
Retortillo de Soria	Retortillo de Soria
Herrera de Soria	Herrera de Soria
Deza	Deza
