አፍሪቃ	Afrika
686 እ.ኤ.አ.	686
664 እ.ኤ.አ.	664
677 እ.ኤ.አ.	677
640 እ.ኤ.አ.	640
110 እ.ኤ.አ.	110
111 እ.ኤ.አ.	111
137 እ.ኤ.አ.	137
138 እ.ኤ.አ.	138
122 እ.ኤ.አ.	122
140 እ.ኤ.አ.	140
809 እ.ኤ.አ.	809
167 እ.ኤ.አ.	167
665 እ.ኤ.አ.	665
776 እ.ኤ.አ.	776
763 እ.ኤ.አ.	763
769 እ.ኤ.አ.	769
667 እ.ኤ.አ.	667
529 እ.ኤ.አ.	529
777 እ.ኤ.አ.	777
788 እ.ኤ.አ.	788
671 እ.ኤ.አ.	671
772 እ.ኤ.አ.	772
432 እ.ኤ.አ.	432
231 እ.ኤ.አ.	231
237 እ.ኤ.አ.	237
239 እ.ኤ.አ.	239
130 እ.ኤ.አ.	130
226 እ.ኤ.አ.	226
207 እ.ኤ.አ.	207
475 እ.ኤ.አ.	475
454 እ.ኤ.አ.	454
495 እ.ኤ.አ.	495
206 እ.ኤ.አ.	206
468 እ.ኤ.አ.	468
461 እ.ኤ.አ.	461
460 እ.ኤ.አ.	460
194 እ.ኤ.አ.	194
210 እ.ኤ.አ.	210
ዳልጋ ኣንበሳ	Caracal (dier)
225 እ.ኤ.አ.	225
311 እ.ኤ.አ.	311
220 እ.ኤ.አ.	220
541 እ.ኤ.አ.	541
642 እ.ኤ.አ.	642
313 እ.ኤ.አ.	313
180 እ.ኤ.አ.	180
794 እ.ኤ.አ.	794
587 እ.ኤ.አ.	587
530 እ.ኤ.አ.	530
609 እ.ኤ.አ.	609
497 እ.ኤ.አ.	497
540 እ.ኤ.አ.	540
428 እ.ኤ.አ.	428
548 እ.ኤ.አ.	548
422 እ.ኤ.አ.	422
549 እ.ኤ.አ.	549
457 እ.ኤ.አ.	457
478 እ.ኤ.አ.	478
253 እ.ኤ.አ.	253
467 እ.ኤ.አ.	467
458 እ.ኤ.አ.	458
158 እ.ኤ.አ.	158
157 እ.ኤ.አ.	157
164 እ.ኤ.አ.	164
124 እ.ኤ.አ.	124
113 እ.ኤ.አ.	113
121 እ.ኤ.አ.	121
106 እ.ኤ.አ.	106
551 እ.ኤ.አ.	551
494 እ.ኤ.አ.	494
320 እ.ኤ.አ.	320
242 እ.ኤ.አ.	242
291 እ.ኤ.አ.	291
48 እ.ኤ.አ.	48
ኣጠፋሪስ	Doornappel
97 እ.ኤ.አ.	97
56 እ.ኤ.አ.	56
93 እ.ኤ.አ.	93
57 እ.ኤ.አ.	57
ሞሳሕ	Mesech
ሩዋን	Rouen
503 እ.ኤ.አ.	503
510 እ.ኤ.አ.	510
509 እ.ኤ.አ.	509
474 እ.ኤ.አ.	474
484 እ.ኤ.አ.	484
576 እ.ኤ.አ.	576
493 እ.ኤ.አ.	493
479 እ.ኤ.አ.	479
287 እ.ኤ.አ.	287
407 እ.ኤ.አ.	407
485 እ.ኤ.አ.	485
547 እ.ኤ.አ.	547
546 እ.ኤ.አ.	546
544 እ.ኤ.አ.	544
537 እ.ኤ.አ.	537
535 እ.ኤ.አ.	535
502 እ.ኤ.አ.	502
527 እ.ኤ.አ.	527
ያሬን	Yaren
508 እ.ኤ.አ.	508
ገመድ	Touw
525 እ.ኤ.አ.	525
613 እ.ኤ.አ.	613
618 እ.ኤ.አ.	618
617 እ.ኤ.አ.	617
608 እ.ኤ.አ.	608
645 እ.ኤ.አ.	645
621 እ.ኤ.አ.	621
606 እ.ኤ.አ.	606
623 እ.ኤ.አ.	623
604 እ.ኤ.አ.	604
603 እ.ኤ.አ.	603
626 እ.ኤ.አ.	626
619 እ.ኤ.አ.	619
634 እ.ኤ.አ.	634
630 እ.ኤ.አ.	630
614 እ.ኤ.አ.	614
505 እ.ኤ.አ.	505
446 እ.ኤ.አ.	446
791 እ.ኤ.አ.	791
557 እ.ኤ.አ.	557
ካልኩሌተር	Rekenmachine
656 እ.ኤ.አ.	656
657 እ.ኤ.አ.	657
659 እ.ኤ.አ.	659
651 እ.ኤ.አ.	651
676 እ.ኤ.አ.	676
670 እ.ኤ.አ.	670
652 እ.ኤ.አ.	652
673 እ.ኤ.አ.	673
654 እ.ኤ.አ.	654
647 እ.ኤ.አ.	647
812 እ.ኤ.አ.	812
669 እ.ኤ.አ.	669
792 እ.ኤ.አ.	792
649 እ.ኤ.አ.	649
895 እ.ኤ.አ.	895
756 እ.ኤ.አ.	756
663 እ.ኤ.አ.	663
779 እ.ኤ.አ.	779
662 እ.ኤ.አ.	662
684 እ.ኤ.አ.	684
773 እ.ኤ.አ.	773
757 እ.ኤ.አ.	757
435 እ.ኤ.አ.	435
790 እ.ኤ.አ.	790
437 እ.ኤ.አ.	437
433 እ.ኤ.አ.	433
764 እ.ኤ.አ.	764
426 እ.ኤ.አ.	426
781 እ.ኤ.አ.	781
425 እ.ኤ.አ.	425
429 እ.ኤ.አ.	429
423 እ.ኤ.አ.	423
765 እ.ኤ.አ.	765
235 እ.ኤ.አ.	235
233 እ.ኤ.አ.	233
223 እ.ኤ.አ.	223
224 እ.ኤ.አ.	224
216 እ.ኤ.አ.	216
219 እ.ኤ.አ.	219
254 እ.ኤ.አ.	254
272 እ.ኤ.አ.	272
208 እ.ኤ.አ.	208
175 እ.ኤ.አ.	175
170 እ.ኤ.አ.	170
171 እ.ኤ.አ.	171
172 እ.ኤ.አ.	172
58 እ.ኤ.አ.	58
59 እ.ኤ.አ.	59
139 እ.ኤ.አ.	139
114 እ.ኤ.አ.	114
ፍራንኮሊ ወንዝ	Francolí
134 እ.ኤ.አ.	134
135 እ.ኤ.አ.	135
179 እ.ኤ.አ.	179
142 እ.ኤ.አ.	142
96 እ.ኤ.አ.	96
181 እ.ኤ.አ.	181
146 እ.ኤ.አ.	146
145 እ.ኤ.አ.	145
183 እ.ኤ.አ.	183
182 እ.ኤ.አ.	182
184 እ.ኤ.አ.	184
324 እ.ኤ.አ.	324
589 እ.ኤ.አ.	589
521 እ.ኤ.አ.	521
92 እ.ኤ.አ.	92
597 እ.ኤ.አ.	597
329 እ.ኤ.አ.	329
ክራካው	Krakau
133 እ.ኤ.አ.	133
413 እ.ኤ.አ.	413
258 እ.ኤ.አ.	258
259 እ.ኤ.አ.	259
196 እ.ኤ.አ.	196
236 እ.ኤ.አ.	236
789 እ.ኤ.አ.	789
332 እ.ኤ.አ.	332
631 እ.ኤ.አ.	631
487 እ.ኤ.አ.	487
638 እ.ኤ.አ.	638
473 እ.ኤ.አ.	473
176 እ.ኤ.አ.	176
143 እ.ኤ.አ.	143
643 እ.ኤ.አ.	643
523 እ.ኤ.አ.	523
215 እ.ኤ.አ.	215
148 እ.ኤ.አ.	148
247 እ.ኤ.አ.	247
424 እ.ኤ.አ.	424
641 እ.ኤ.አ.	641
492 እ.ኤ.አ.	492
639 እ.ኤ.አ.	639
256 እ.ኤ.አ.	256
441 እ.ኤ.አ.	441
131 እ.ኤ.አ.	131
191 እ.ኤ.አ.	191
450 እ.ኤ.አ.	450
612 እ.ኤ.አ.	612
635 እ.ኤ.አ.	635
611 እ.ኤ.አ.	611
534 እ.ኤ.አ.	534
488 እ.ኤ.አ.	488
607 እ.ኤ.አ.	607
524 እ.ኤ.አ.	524
282 እ.ኤ.አ.	282
472 እ.ኤ.አ.	472
471 እ.ኤ.አ.	471
490 እ.ኤ.አ.	490
316 እ.ኤ.አ.	316
797 እ.ኤ.አ.	797
511 እ.ኤ.አ.	511
295 እ.ኤ.አ.	295
598 እ.ኤ.አ.	598
አረቢያ	Arabisch Schiereiland
303 እ.ኤ.አ.	303
250 እ.ኤ.አ.	250
515 እ.ኤ.አ.	515
512 እ.ኤ.አ.	512
418 እ.ኤ.አ.	418
333 እ.ኤ.አ.	333
294 እ.ኤ.አ.	294
217 እ.ኤ.አ.	217
277 እ.ኤ.አ.	277
578 እ.ኤ.አ.	578
312 እ.ኤ.አ.	312
284 እ.ኤ.አ.	284
283 እ.ኤ.አ.	283
241 እ.ኤ.አ.	241
243 እ.ኤ.አ.	243
262 እ.ኤ.አ.	262
498 እ.ኤ.አ.	498
336 እ.ኤ.አ.	336
334 እ.ኤ.አ.	334
266 እ.ኤ.አ.	266
261 እ.ኤ.አ.	261
470 እ.ኤ.አ.	470
349 እ.ኤ.አ.	349
271 እ.ኤ.አ.	271
275 እ.ኤ.አ.	275
292 እ.ኤ.አ.	292
296 እ.ኤ.አ.	296
345 እ.ኤ.አ.	345
431 እ.ኤ.አ.	431
304 እ.ኤ.አ.	304
550 እ.ኤ.አ.	550
586 እ.ኤ.አ.	586
588 እ.ኤ.አ.	588
554 እ.ኤ.አ.	554
229 እ.ኤ.አ.	229
583 እ.ኤ.አ.	583
265 እ.ኤ.አ.	265
263 እ.ኤ.አ.	263
585 እ.ኤ.አ.	585
582 እ.ኤ.አ.	582
556 እ.ኤ.አ.	556
420 እ.ኤ.አ.	420
280 እ.ኤ.አ.	280
581 እ.ኤ.አ.	581
558 እ.ኤ.አ.	558
302 እ.ኤ.አ.	302
309 እ.ኤ.አ.	309
353 እ.ኤ.አ.	353
335 እ.ኤ.አ.	335
367 እ.ኤ.አ.	367
344 እ.ኤ.አ.	344
245 እ.ኤ.አ.	245
290 እ.ኤ.አ.	290
449 እ.ኤ.አ.	449
308 እ.ኤ.አ.	308
255 እ.ኤ.አ.	255
439 እ.ኤ.አ.	439
319 እ.ኤ.አ.	319
318 እ.ኤ.አ.	318
299 እ.ኤ.አ.	299
419 እ.ኤ.አ.	419
416 እ.ኤ.አ.	416
338 እ.ኤ.አ.	338
310 እ.ኤ.አ.	310
315 እ.ኤ.አ.	315
359 እ.ኤ.አ.	359
360 እ.ኤ.አ.	360
273 እ.ኤ.አ.	273
286 እ.ኤ.አ.	286
288 እ.ኤ.አ.	288
278 እ.ኤ.አ.	278
455 እ.ኤ.አ.	455
577 እ.ኤ.አ.	577
575 እ.ኤ.አ.	575
482 እ.ኤ.አ.	482
486 እ.ኤ.አ.	486
580 እ.ኤ.አ.	580
567 እ.ኤ.አ.	567
564 እ.ኤ.አ.	564
561 እ.ኤ.አ.	561
328 እ.ኤ.አ.	328
325 እ.ኤ.አ.	325
317 እ.ኤ.አ.	317
574 እ.ኤ.አ.	574
566 እ.ኤ.አ.	566
249 እ.ኤ.አ.	249
348 እ.ኤ.አ.	348
442 እ.ኤ.አ.	442
443 እ.ኤ.አ.	443
267 እ.ኤ.አ.	267
244 እ.ኤ.አ.	244
248 እ.ኤ.አ.	248
343 እ.ኤ.አ.	343
562 እ.ኤ.አ.	562
417 እ.ኤ.አ.	417
268 እ.ኤ.አ.	268
590 እ.ኤ.አ.	590
269 እ.ኤ.አ.	269
ቬኔትኛ	Venetiaans
499 እ.ኤ.አ.	499
409 እ.ኤ.አ.	409
405 እ.ኤ.አ.	405
406 እ.ኤ.አ.	406
403 እ.ኤ.አ.	403
414 እ.ኤ.አ.	414
ቮሮኛ	Võro
411 እ.ኤ.አ.	411
412 እ.ኤ.አ.	412
560 እ.ኤ.አ.	560
592 እ.ኤ.አ.	592
የሜዳ አህያ	Zebra (dier)
276 እ.ኤ.አ.	276
መስጊድ	Moskee
314 እ.ኤ.አ.	314
323 እ.ኤ.አ.	323
366 እ.ኤ.አ.	366
362 እ.ኤ.አ.	362
545 እ.ኤ.አ.	545
531 እ.ኤ.አ.	531
514 እ.ኤ.አ.	514
513 እ.ኤ.አ.	513
539 እ.ኤ.አ.	539
538 እ.ኤ.አ.	538
519 እ.ኤ.አ.	519
516 እ.ኤ.አ.	516
520 እ.ኤ.አ.	520
522 እ.ኤ.አ.	522
528 እ.ኤ.አ.	528
506 እ.ኤ.አ.	506
526 እ.ኤ.አ.	526
507 እ.ኤ.አ.	507
214 እ.ኤ.አ.	214
213 እ.ኤ.አ.	213
212 እ.ኤ.አ.	212
228 እ.ኤ.አ.	228
227 እ.ኤ.አ.	227
149 እ.ኤ.አ.	149
174 እ.ኤ.አ.	174
189 እ.ኤ.አ.	189
199 እ.ኤ.አ.	199
141 እ.ኤ.አ.	141
132 እ.ኤ.አ.	132
ኮርሲካኛ	Corsicaans
125 እ.ኤ.አ.	125
123 እ.ኤ.አ.	123
147 እ.ኤ.አ.	147
144 እ.ኤ.አ.	144
198 እ.ኤ.አ.	198
178 እ.ኤ.አ.	178
ቡጊኛ	Boeginees
177 እ.ኤ.አ.	177
187 እ.ኤ.አ.	187
195 እ.ኤ.አ.	195
የአርመኒያ ሰንደቅ ዓላማ	Vlag van Armenië
ባኙማሳን	Banyumasan
186 እ.ኤ.አ.	186
347 እ.ኤ.አ.	347
620 እ.ኤ.አ.	620
624 እ.ኤ.አ.	624
ኩሻዊ ቋንቋዎች	Koesjitische talen
605 እ.ኤ.አ.	605
629 እ.ኤ.አ.	629
616 እ.ኤ.አ.	616
615 እ.ኤ.አ.	615
644 እ.ኤ.አ.	644
646 እ.ኤ.አ.	646
633 እ.ኤ.አ.	633
637 እ.ኤ.አ.	637
436 እ.ኤ.አ.	436
434 እ.ኤ.አ.	434
293 እ.ኤ.አ.	293
427 እ.ኤ.አ.	427
185 እ.ኤ.አ.	185
321 እ.ኤ.አ.	321
327 እ.ኤ.አ.	327
430 እ.ኤ.አ.	430
447 እ.ኤ.አ.	447
569 እ.ኤ.አ.	569
568 እ.ኤ.አ.	568
444 እ.ኤ.አ.	444
ፍሪዩልያን	Friulisch
796 እ.ኤ.አ.	796
ንሴት	Machtsverheffen
798 እ.ኤ.አ.	798
793 እ.ኤ.አ.	793
ጋን ቻይንኛ	Ganyu
እዤን ደላክሯ	Eugène Delacroix
685 እ.ኤ.አ.	685
799 እ.ኤ.አ.	799
683 እ.ኤ.አ.	683
274 እ.ኤ.አ.	274
579 እ.ኤ.አ.	579
281 እ.ኤ.አ.	281
306 እ.ኤ.አ.	306
438 እ.ኤ.አ.	438
ካሽሚርኛ	Kasjmiri
297 እ.ኤ.አ.	297
421 እ.ኤ.አ.	421
298 እ.ኤ.አ.	298
351 እ.ኤ.አ.	351
352 እ.ኤ.አ.	352
355 እ.ኤ.አ.	355
95 እ.ኤ.አ.	95
94 እ.ኤ.አ.	94
594 እ.ኤ.አ.	594
542 እ.ኤ.አ.	542
448 እ.ኤ.አ.	448
445 እ.ኤ.አ.	445
305 እ.ኤ.አ.	305
234 እ.ኤ.አ.	234
565 እ.ኤ.አ.	565
ጊላኪኛ	Gilaki (taal)
ካነዳኛ	Kannada
381 እ.ኤ.አ.	381
385 እ.ኤ.አ.	385
ካሹብኛ	Kasjoebisch
ናይሎ ሳህራዊ ቋንቋዎች	Nilo-Saharaanse talen
553 እ.ኤ.አ.	553
307 እ.ኤ.አ.	307
584 እ.ኤ.አ.	584
346 እ.ኤ.አ.	346
257 እ.ኤ.አ.	257
መብረቅ	Bliksem
285 እ.ኤ.አ.	285
591 እ.ኤ.አ.	591
289 እ.ኤ.አ.	289
በርትራንድ ረስል	Bertrand Russell
የኒካራጓ ምልክት ቋንቋ	Nicaraguaanse Gebarentaal
እጅ	Hand
ዱ ፉ	Du Fu
563 እ.ኤ.አ.	563
የአኪሊዮስ ተረከዝ	Achilleshiel
252 እ.ኤ.አ.	252
ናፖሊታንኛ	Napolitaans
595 እ.ኤ.አ.	595
ኖርማንኛ	Normandisch
246 እ.ኤ.አ.	246
ኦሮምኛ	Afaan Oromo
ቴዮዶር ሮዝቬልት	Theodore Roosevelt
596 እ.ኤ.አ.	596
593 እ.ኤ.አ.	593
357 እ.ኤ.አ.	357
573 እ.ኤ.አ.	573
ቴል አቪቭ	Tel Aviv
ስሜን ሳሚኛ	Noord-Samisch
ኢሮንኛ	Ossetisch
ኔፓል ባሳ	Nepalbhasa
ቫልፓራይሶ	Valparaíso (stad)
ኢካሮስ	Icarus
559 እ.ኤ.አ.	559
ሴማዊ ቋንቋዎች	Semitische talen
599 እ.ኤ.አ.	599
326 እ.ኤ.አ.	326
341 እ.ኤ.አ.	341
322 እ.ኤ.አ.	322
ናስ	Brons
ሆስኒ ሙባረክ	Hosni Moebarak
ወሓካ	Oaxaca (staat)
386 እ.ኤ.አ.	386
ትግርኛ	Tigrinya (taal)
ፉናፉቲ	Funafuti
374 እ.ኤ.አ.	374
380 እ.ኤ.አ.	380
ቶክ ፒሲን	Tok Pisin
ፓብሎ ኔሩዳ	Pablo Neruda
ዋሎንኛ	Waals
የምልክት ቋንቋ	Gebarentaal
136 እ.ኤ.አ.	136
ፖርቶፕሪንስ	Port-au-Prince
ዊናራይኛ	Waray-Waray
ዉ ቻይንኛ	Wuyu
ዉድሮው ዊልሰን	Woodrow Wilson
ሳቃኛ	Jakoets
ቀርጤስ	Kreta
ሞሾቭጸ	Mošovce
ዩኒቨርስቲ ኦፍ ኦክስፎርድ	Universiteit van Oxford
ማሕሙድ አሕማዲኔዣድ	Mahmoud Ahmadinejad
ሲዲ	Compact disc
አሌክሳንድር ሶልዠኒጽን	Aleksandr Solzjenitsyn
ሴይንት ህሊና ደሴት	Sint-Helena (eiland)
382 እ.ኤ.አ.	382
342 እ.ኤ.አ.	342
373 እ.ኤ.አ.	373
372 እ.ኤ.አ.	372
ኤጊያን ባህር	Egeïsche Zee
አናስታስያ	Anastacia
ኤፍራጥስ ወንዝ	Eufraat
ጄምስ ጋርፊልድ	James Garfield
የሊቢያ ሰንደቅ ዓላማ	Vlag van Libië
አስርቱ ቃላት	Tien geboden
ጆሃንስበርግ	Johannesburg
1990ዎቹ	1990-1999
ጆዋን ሮውሊንግ	J.K. Rowling
ኪንግስተን	Kingston (Jamaica)
ግሥላ	Luipaard
አውራሪስ	Neushoorns
ሶማሊላንድ	Somaliland
የስልክ መግቢያ	Lijst van landnummers in de telefonie
ሳንቶ ዶሚንጎ	Santo Domingo (Dominicaanse Republiek)
ቴኪክስኪያክ	Tequixquiac
ዩሊሲስ ግራንት	Ulysses S. Grant
ፓፓያ	Papaja
375 እ.ኤ.አ.	375
ቤንጃሚን ፍራንክሊን	Benjamin Franklin
1970ዎቹ	1970-1979
ዊሊያም ማኪንሊ	William McKinley
ጥቅል ጎመን	Wittekool
የአሜሪካ ፕሬዝዳንቶች ዝርዝር	Lijst van presidenten van de Verenigde Staten
የዋና ከተሞች ዝርዝር	Lijst van hoofdsteden
ዌብሳይት	Website
ግሮቨር ክሊቭላንድ	Grover Cleveland
ኩዌት ከተማ	Koeweit (stad)
ሄርበርት ሁቨር	Herbert Hoover
ዋረን ሃርዲንግ	Warren Harding
387 እ.ኤ.አ.	387
ሱመር	Soemer
ኮሎምቦ	Colombo (stad)
መስኮት	Venster (muur)
መዲና	Medina (Arabië)
ቼስተር አርተር	Chester Arthur
ዋሻ	Grot
አካድኛ	Akkadisch
ዋይት ሃውስ	Witte Huis (Washington D.C.)
ፖሊስ	Politie
ጤግሮስ	Tigris
ዊልያም ሃወርድ ታፍት	William Howard Taft
ግዕዝ	Ge'ez
ቤንጃሚን ሀሪሰን	Benjamin Harrison
ራዘርፎርድ ሄይስ	Rutherford Hayes
ባሩክ ስፒኖዛ	Baruch Spinoza
ዞራስተር	Zarathustra
ኢንተርሊንግዌ	Interlingue
ኦመር ሃያም	Omar Khayyám
ስፖርት ክለብ ኮሪንቺያንስ ፓውሊስታ	SC Corinthians Paulista
ኢንተርሊንጉዋ	Interlingua
ኢሎካኖ	Ilokano
ሥነ ውበት	Esthetica
ሆ ቺ ሚን	Hồ Chí Minh
ካልቪን ኩሊጅ	Calvin Coolidge
ሊጉርኛ	Ligurisch (Romaanse taal)
ካፓምፓንጋንኛ	Kapampangan
ስብስብ	Verzameling (wiskunde)
ብርጅታውን	Bridgetown
ላዲኖ	Ladino (Sefardische taal)
ሲሊጎ	Siligo
ሊንጋላ	Lingala
ማላያላም	Malayalam
አሃድ ጨረር	Eenheidsvector
አፒያ	Apia
ሴንት ጆንስ፥ አንቲጋ እና ባርቡዳ	Saint John's (Antigua en Barbuda)
ሮዞ	Roseau (Dominica)
ሎዥባን	Lojban
ሃሙራቢ	Hammurabi
ሞልዶቭኛ	Moldavisch
የፖለቲካ ጥናት	Politicologie
ማዖሪ ቋንቋ	Maori (taal)
ደቡብ ሚንኛ	Minnanyu
ፖርት ሞርስቢ	Port Moresby
1900ዎቹ	1900-1909
ኖቪያል	Novial
ድረ ገጽ	Webpagina
በር	Deur
አራት ማዕዘን	Vierhoek
ሶራኒኛ	Soranî
ቮላፒውክ	Volapük
ሚስማር	Draadnagel
ንጉሥ ሰሎሞን	Salomo
ሥላሴ	Drie-eenheid
ያሁ	Yahoo!
331 እ.ኤ.አ.	331
ማሪኡፖል	Marioepol
365 እ.ኤ.አ.	365
379 እ.ኤ.አ.	379
ዴቪድ ሁም	David Hume
የ2006 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Wereldkampioenschap voetbal 2006
ጆን ማይክል ታልበት	John Michael Talbot
ኦቾሎኒ	Pinda
ቶማስ ሆብስ	Thomas Hobbes
ገበያ	Markt (economie)
ካምፖራ ሳን ጆቫኒ	Campora San Giovanni
እስስት	Kameleons
ብሉምፎንቴይን	Bloemfontein
ቲ.ኤስ. ኤልየት	T.S. Eliot
በልጺ	Bălți (plaats)
ፖርት ቪላ	Port Vila
ማቀዝቀዣ	Koelkast
ስኳር ድንች	Zoete aardappel
ያንጎን	Rangoon (stad)
ኅልውነት	Existentialisme
አርተር ሾፐናውር	Arthur Schopenhauer
አንዤ	Angers
ቱርኩ	Turku
ሳው ፓውሉ የእግር ኳስ ክለብ	São Paulo FC
ሃብሃብ	Watermeloen
አበሳሰል	Koken (voedsel)
ላብራዶር	Labrador retriever
ሱቫ	Suva
ኑኩአሎፋ	Nuku'alofa
በሶብላ	Basilicum
አስዋን ግድብ	Aswandam
ትኩሳት	Koorts
ፖርት ኦፍ ስፔን	Port of Spain
የእብድ ውሻ በሽታ	Hondsdolheid
ሪቻርድ ፋይንማን	Richard Feynman
መጥረቢያ	Bijl
ቢርኪርካራ	Birkirkara
ኧያፍያትላዮኪውትል	Eyjafjallajökull
አኮንካጓ	Aconcagua
ደቂቅ ዘ አካላት	Micro-organisme
ሱሪ	Broek (kledingstuk)
ጡብ	Baksteen
ዊል ስሚዝ	Will Smith
ሞላላ	Ellips (wiskunde)
መፈንቅል	Hefboom
መንኮራኩር	Ruimtevaartuig
ሬዳቫሌ	Redavalle
ማባዛት	Vermenigvuldigen
ርብቃ	Rebekka
ሎጥ	Lot (persoon)
ታክሎባን	Tacloban
ማይስፔስ	Myspace
ዳማቫንድ	Damavand (berg)
ዳግማዊ ኒኮላይ	Nicolaas II van Rusland
አና ማሪያ ዮፐክ	Anna Maria Jopek
ናንሲ	Nancy
ሆኒያራ	Honiara
ሽንት	Urine
ጸሎት	Gebed
አሦር	Assyrische Rijk
ቀዳማዊ ኃይለ ሥላሴ	Haile Selassie
ካየን	Caen
የባቢሎን ግንብ	Toren van Babel
ሲኒማ	Bioscoop
ኖቲንግሃም	Nottingham
በጀት	Begroting
ባስቴር	Basseterre
በትረ ሎሚ	Grapefruit
ኪንግስታውን	Kingstown (Saint Vincent en de Grenadines)
የሠገራ ትቦ ንጣፍ መድማት ወይመ መቁስል (ሄሞሮይድ)	Aambei
ዎሌ ሾይንካ	Wole Soyinka
ስታንፎርድ ዩኒቨርስቲ	Stanford-universiteit
ሚሸል ደ ሞንታኝ	Michel de Montaigne
ጃንጥላ	Paraplu
ፊንቄ	Fenicië
የሕንድ ሰንደቅ ዓላማ	Vlag van India
ዲዮኒሶስ	Dionysos (mythologie)
ቶኪዳይደስ	Thucydides (historicus)
ካስትሪስ	Castries (Saint Lucia)
ጥራክያ	Thracië
ዓረፍተ-ነገር	Zin (taalkunde)
ቤርሳቤ	Beër Sjeva
ሮዛ ፓርክስ	Rosa Parks
የዮሐንስ ራዕይ	Openbaring van Johannes
ስራ	Arbeid (natuurkunde)
ቅልጥ አለት	Magma (gesteente)
ቁጥቋጦ	Struik
ኣደንጓሬ	Gewone boon
ሾጣጣ	Kegel (ruimtelijke figuur)
ጥንታዊ እንግሊዝኛ	Oudengels
ሚካኤል ሾሎኮቭ	Michail Sjolochov
የፓላንድ ሰንደቅ ዓላማ	Vlag van Polen
የአሜሪካ ሰንደቅ ዓላማ	Vlag van de Verenigde Staten
እርድ	Curcuma longa
ኤምፒ3	MP3
አነር	Serval (katachtige)
ፓሊኪር	Palikir
ኢቫን ቱርጌኔቭ	Ivan Toergenjev
የጣልያ ሰንደቅ ዓላማ	Vlag van Italië
ግድግዳ	Muur (bouwsel)
ቤሲክ (BASIC)	BASIC
ኤሌክትሪክ ምህንድስና	Elektrotechniek
ሩድ	Rodos (eiland)
ቁንደ በርበሬ	Peper
ኤልብሩስ ተራራ	Elbroes
ሶፊያ ሮታሩ	Sofia Rotaroe
የጃፓን ሰንደቅ ዓላማ	Vlag van Japan
ኤለን ጆንሰን ሰርሊፍ	Ellen Johnson Sirleaf
ሩሚ	Jalal ad-Din Rumi
ሴት (ጾታ)	Vrouwelijk (biologie)
የብሪታንያ ሕንድ ውቅያኖስ ግዛት	Brits Indische Oceaanterritorium
ደርቢ	Derby (Verenigd Koninkrijk)
አንቶን ቫን ሉዊንሁክ	Antoni van Leeuwenhoek
ሀይድሮካርቦን	Koolwaterstof
አፖሎ ፲፩	Apollo 11
ኮሌስትሮል	Cholesterol
ሞንቴርሞሶ	Montehermoso
ሙሃመድ ዩኑስ	Muhammad Yunus
የዶሮ ጉንፋን	Vogelpest
ወንድ	Mannelijk (biologie)
ክሮኖስ	Kronos
ኦሊቨር ክሮምዌል	Oliver Cromwell
ጂም ሞሪሰን	Jim Morrison
ማትሪክስ	Matrix (wiskunde)
ሙቀት	Warmte
ጨረር	Vector (wiskunde)
ቤተ መቅደስ	Tempel
ታይታኒክ	Titanic (1997)
ቦሌ ዓለም አቀፍ ጥያራ ጣቢያ	Luchthaven Bole Internationaal
ተልባ	Vlas (gewas)
ዘ ዶርስ	The Doors
እርሾ	Gist
ሚካኤል	Michaël (aartsengel)
ባህር ዛፍ	Eucalyptus
ራውንድ ሜፕል	Round Maple
ባንኮች የስፖርት ክለብ	Banks SC
ጤሪ አንሪ	Thierry Henry
ጆህን ከይል	John Cale
የላኦስ ሰንደቅ ዓላማ	Vlag van Laos
ኤሌክትሪክ መስክ	Elektrisch veld
ኤሊ	Landschildpadden
የሆላንድ ሰንደቅ ዓላማ	Vlag van Nederland
መካነቅርስ እስራኤል	Israel Museum
ሮበርት ሁክ	Robert Hooke
የኦስትሪያ ሰንደቅ ዓላማ	Vlag van Oostenrijk
የጣት ቀለበት	Ring (sieraad)
ሳይንሳዊ ዘዴ	Wetenschappelijke methode
የ1982 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Wereldkampioenschap voetbal 1982
የ1986 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Wereldkampioenschap voetbal 1986
የ1978 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Wereldkampioenschap voetbal 1978
ዋዝንቢት	Krekels
ሳጉንቶ	Sagunto
ኤፌሶን	Efeze
ናዲን ጎርድመር	Nadine Gordimer
የ2002 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Wereldkampioenschap voetbal 2002
እባን	Munt (geslacht)
339 እ.ኤ.አ.	339
340 እ.ኤ.አ.	340
ኔመሕን	Nijmegen
354 እ.ኤ.አ.	354
356 እ.ኤ.አ.	356
358 እ.ኤ.አ.	358
ካርሎስ ቬላ	Carlos Vela
361 እ.ኤ.አ.	361
363 እ.ኤ.አ.	363
364 እ.ኤ.አ.	364
368 እ.ኤ.አ.	368
369 እ.ኤ.አ.	369
370 እ.ኤ.አ.	370
371 እ.ኤ.አ.	371
መለጠፊያ:Commonscat	Sjabloon:Commonscat
376 እ.ኤ.አ.	376
377 እ.ኤ.አ.	377
378 እ.ኤ.አ.	378
383 እ.ኤ.አ.	383
