IYunayithedi Steyitsi	Verenigde Staten
IHanoveri (eJamani)	Hannover (stad)
Frankfurt	Frankfurt am Main
IBhayibhile	Bijbel (christendom)
Lenkonzo enyanisekileyo ka Krestu	Ware Jezuskerk
IsiNgesi	Engels
Concepción	Concepción (Chili)
Końskowola	Końskowola
Inyoka	Slangen
IKhemistri	Scheikunde
1 Eyokwindla	1 maart
18 Eyekhala	18 juli
Ibhola ekhatywayo	Voetbal
UMichael Jackson	Michael Jackson
Ibhokhwe	Geit
Ukukhululeka	Vrijheid (filosofie)
I-Nile	Nijl
Category:Templates	Categorie:Wikipedia:Sjablonen
E-Pitoli	Pretoria
Umlambo	Rivier
Osasco	Osasco (Brazilië)
Curitiba	Curitiba (gemeente)
Confucius	Confucius
Category:Izibalo	Categorie:Wiskunde
Yentaka	Vogels
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Iphepha Elingundoqo	Hoofdpagina
Iqakamba	Cricket
Ibhola yombhoxo	Rugby (balspel)
IKapa	Kaapstad
EThekwini	Durban (Zuid-Afrika)
Ifilosofi	Filosofie
Category:Candidates for speedy deletion	Categorie:Wikipedia:Nuweg
I-Democracy	Democratie
Indlovu	Olifanten
IsiHolani	Nederlands
Vladimir Putin	Vladimir Poetin
Igazi	Bloed
Imvula	Regen (neerslag)
Nelson Mandela	Nelson Mandela
I-logic	Logica
Alexander Makedon	Alexander de Grote
Ikofu	Koffie
Intaba	Berg (landvorm)
UbuKumkani bamaBritane	Britse Rijk
Genesis	Genesis (boek)
Eksodus	Exodus (boek)
Iilwandle	Oceaan
IChelsea	Chelsea FC
Umlomo	Mond (orgaan)
Ronald Reagan	Ronald Reagan
IsiZulu	Zoeloe (taal)
Ihagu	Echte zwijnen
Umthi	Boom (plant)
Inyama	Vlees
Imifuno	Groente
Amazwi alula omculo wefowuni	Telefoontoestel
Ityiwa	Keukenzout
I-Karate	Karate
Iphepha	Papier
Google Maps	Google Maps
Isifo sephepha	Tuberculose
Umlinganiselo	Meten
IsiXhosa	Xhosa (taal)
IsiBhulu	Afrikaans
Itafile	Tafel (meubilair)
Template:Link FA	Sjabloon:Link FA
Ithoba	9 (getal)
FIFuRoni da Futboll	Wereldkampioenschap voetbal
Rafael Correa	Rafael Correa
ISosioloji	Sociologie
Sixhenxe	7 (getal)
Sibhozo	8 (getal)
Die Antwoord	Die Antwoord
Itswele	Ui (plant)
Zintandathu	6 (getal)
Paltoga	Paltoga
Entrena	Entrena
Ishumi	10 (getal)
Iqwarhashe	Zebra (dier)
IsiPedi	Noord-Sotho
Valparaíso	Valparaíso (stad)
IsiSotho	Zuid-Sotho
UWhitney Houston	Whitney Houston
Imithetho elishumi	Tien geboden
EGoli	Johannesburg
USathane	Satan
Ipolisa	Politie
Umhlaba	Bodem
Ibuzi	Rattus
Ishumi elinambini	12 (getal)
Ishumi elinanye	11 (getal)
Ishumi elinantathu	13 (getal)
EBloemfontein	Bloemfontein
Ishumi elinane	14 (getal)
Ishumi elinantlanu	15 (getal)
Ishumi elinesibhozo	18 (getal)
Ishumi elinesithoba	19 (getal)
Ishumi elinesixhenxe	17 (getal)
Ishumi elinesithandathu	16 (getal)
Amashumi amabini	20 (getal)
Nonkala	Krabben
Al Pacino	Al Pacino
Desmond Tutu	Desmond Tutu
IMayini	Mijnbouw
Iziphaluka zaseBritane eziphesheya kolwandle	Britse overzeese gebieden
Template:Commons Categories	Sjabloon:Commonscat
Isifo sentsholongwane i-Ebola	Ebola
Ixoxo	Kikkers
UJacob Zuma	Jacob Zuma
2014 FIFuRoni da Futboll	Wereldkampioenschap voetbal 2014
IPhondo yaKwaZulu-Natala	KwaZoeloe-Natal
Ulwaluko	Circumcisie
Ibandla LamaBapist	Baptisme
IBhayi	Port Elizabeth
IPhondo yaNtshona-Koloni	West-Kaap
Umlenga	Palingachtigen
IPhondo laseMpuma-Koloni	Oost-Kaap
IPhondo yaMpumalanga	Mpumalanga
IPhondo yaseMntla-Koloni	Noord-Kaap
IPhondo yaRhawuti	Gauteng
IPhondo yaLimpopo	Limpopo (provincie)
Zenzile Miriam Makeba	Miriam Makeba
Frederik de Klerk	Frederik Willem de Klerk
Kgalema Motlanthe	Kgalema Motlanthe
IPhondo yaseMntla-Ntshona	Noordwest (provincie)
Iankile	Anker (schip)
2010 FIFuRoni da Futboll	Wereldkampioenschap voetbal 2010
Idessert	Nagerecht
UBrenda Nokuzola Fassie	Brenda Fassie
UMarvin Gaye	Marvin Gaye
I-discourse	Vertoog
Uluhlu lweendawo eMzantsi Afrika	Provincies van Zuid-Afrika
Robben island	Robbeneiland
Iipijama	Pyjama
Banovci (Nijemci)	Banovci (Nijemci)
Freshlyground	Freshly Ground
Iilwimi zaseAfrika	Afrikaanse talen
AmaXhosa	Xhosa (volk)
Pieter Willem Botha	Pieter Willem Botha
Google Street View	Google Street View
Steve Biko	Steve Biko
IPhondo yaFreyistata	Oranje Vrijstaat
Ibhanti	Belt
Umlungu	Blanken
U-Winnie Madikizela Mandela	Winnie Mandela
Étienne Mourrut	Étienne Mourrut
FIFA	FIFA
U-Helen Zille	Helen Zille
EUNITRA	Universiteit van Transkei
UBilly Ocean	Billy Ocean
Marek Grechuta	Marek Grechuta
Mateyu	Evangelie volgens Matteüs
Walter Sisulu	Walter Sisulu
UMargaret Msengana	Margaret Singana
Incwadi ka Mormoni	Boek van Mormon
I-Transkei	Transkei
I-Freedom Front Plus	Vrijheidsfront Plus
Mangosuthu Buthelezi	Mangosuthu Buthelezi
I-Yunivesithi yasePitoli	Universiteit van Pretoria
Ingca	Gras (term)
E-UNISA	Universiteit van Zuid-Afrika
Pigazzano	Pigazzano
Uluhlu lwabantu	Biografielijst
Iinkonzo Zeelwimi Zesizwe	Nationale taaldienst
Varenholz	Varenholz
Ugqirha	Doctor of Medicine
E-Tiburon	Tiburon (Californië)
Kayamandi	Kayamandi
Mthatha	Mthatha
IHanoveri (eMzantsi Afrika)	Hanover (Noord-Kaap)
IYunivesithi yaseStellenbosch	Universiteit Stellenbosch
Nkosi sikelel iAfrika	Nkosi sikelel' iAfrika
Saganaki	Saganaki
Category:IJamani	Categorie:Duitsland
Category:UMzantsi Afrika	Categorie:Zuid-Afrika
Iilwimi zaseMzantsi Afrika	Officiële talen van Zuid-Afrika
Category:ENetherlands	Categorie:Nederland
Category:ISyensya	Categorie:Wetenschap
Qunu	Qunu
Port St Johns	Port St Johns
Category:Stubs	Categorie:Wikipedia:Beginnetje
Category:Oluhlu	Categorie:Lijsten
Template:Tl	Sjabloon:Tl
Category:Amazwe	Categorie:Land
Wikipedia:Requests for adminship	Wikipedia:Aanmelding moderatoren
Category:Hidden categories	Categorie:Wikipedia:Verborgen categorie
I-Accounting	Boekhouding
Template:Bot	Sjabloon:Bot
Template:Flagicon	Sjabloon:Vlagland
Template:Documentation	Sjabloon:Sjabdoc
Wikipedia:Community Portal	Portaal:Gebruikersportaal
Category:User languages	Categorie:Wikipedia:Babel
Template:Softredirect	Sjabloon:Softredirect
Template:Ukucima	Sjabloon:Nuweg
Category:Ulwimi	Categorie:Taal
Category:Ikhalenda	Categorie:Kalender
Category:Wikipedia	Categorie:Encyclopedie Wikipedia
Wikipedia:General disclaimer	Wikipedia:Vrijwaringsclausule
Wikipedia:Statistics	Wikipedia:Statistieken
Wikipedia:Vital articles	Wikipedia:Archief/Wikipedia:Artikelen die elke Wikipedia zou moeten hebben
Category:Afrika	Categorie:Afrika
Category:Eyekhala	Categorie:Juli
Category:IPhondo yaFreyistata	Categorie:Vrijstaat
Category:IPhondo yaMpuma-Koloni	Categorie:Oost-Kaap
Category:IPhondo yaRhawuti	Categorie:Gauteng
Category:Amanani	Categorie:Getal
Category:Eyesilimela	Categorie:Juni
Category:IPhondo yaKwaZulu-Natala	Categorie:KwaZoeloe-Natal
Category:IPhondo yaMpumalanga	Categorie:Mpumalanga
Category:IPhondo yaseMntla-Koloni	Categorie:Noord-Kaap
Category:Ubuchwepheshe	Categorie:Elektronica
Category:Ilali	Categorie:Dorp
Category:IBhayibhile	Categorie:Bijbel
Category:Amaxwebhu	Categorie:Document
Category:IPhondo yaLimpopo	Categorie:Limpopo
Category:IPhondo yaNtshona-Koloni	Categorie:West-Kaap
Category:IPhondo yaseMntla-Ntshona	Categorie:Noordwest
Category:Iincwadi	Categorie:Boek
Category:Inyanga	Categorie:Maand
Template:Wikisource	Sjabloon:Wikisource
Template:Babel	Sjabloon:Babel
Template:Provinces of South Africa	Sjabloon:Navigatie provincies Zuid-Afrika
Template:Commons	Sjabloon:Commons
Template:Link GA	Sjabloon:Link GA
Template:Reflist	Sjabloon:References
Template:Isilumkiso	Sjabloon:Stop
Template:Stub	Sjabloon:Beginnetje
Template:User af-1	Sjabloon:Gebruiker af-1
Template:User als-1	Sjabloon:Gebruiker als-1
Template:User ar-1	Sjabloon:Gebruiker ar-1
Template:User ast-1	Sjabloon:Gebruiker ast-1
Template:User az	Sjabloon:Gebruiker az
Template:User bar-1	Sjabloon:Gebruiker bar-1
Template:User eo-1	Sjabloon:Gebruiker eo-1
Template:See also	Sjabloon:Zie ook
Template:User da-2	Sjabloon:Gebruiker da-2
Template:User da	Sjabloon:Gebruiker da
Template:User ca-1	Sjabloon:Gebruiker ca-1
Template:User be-2	Sjabloon:Gebruiker be-2
Template:User da-1	Sjabloon:Gebruiker da-1
Template:User cs-1	Sjabloon:Gebruiker cs-1
Template:User bg-1	Sjabloon:Gebruiker bg-1
Template:User eo-3	Sjabloon:Gebruiker eo-3
Template:User de	Sjabloon:Gebruiker de
Template:User de-1	Sjabloon:Gebruiker de-1
Template:User eu-4	Sjabloon:Gebruiker eu-4
Template:User eu	Sjabloon:Gebruiker eu
Template:User et-1	Sjabloon:Gebruiker et-1
Template:User el	Sjabloon:Gebruiker el
Template:User es	Sjabloon:Gebruiker es
Template:User de-3	Sjabloon:Gebruiker de-3
Template:User en-3	Sjabloon:Gebruiker en-3
Template:User el-1	Sjabloon:Gebruiker el-1
Template:User en-1	Sjabloon:Gebruiker en-1
Template:User en-2	Sjabloon:Gebruiker en-2
Template:User fa-1	Sjabloon:Gebruiker fa-1
Template:User eo-2	Sjabloon:Gebruiker eo-2
Template:User en-4	Sjabloon:Gebruiker en-4
Template:User fi	Sjabloon:Gebruiker fi
Template:User es-4	Sjabloon:Gebruiker es-4
Template:User en	Sjabloon:Gebruiker en
Template:User de-2	Sjabloon:Gebruiker de-2
Template:User es-1	Sjabloon:Gebruiker es-1
Template:User fa	Sjabloon:Gebruiker fa
Template:User fi-1	Sjabloon:Gebruiker fi-1
Template:User fr-1	Sjabloon:Gebruiker fr-1
Template:User gl-1	Sjabloon:Gebruiker gl-1
Template:User ia-2	Sjabloon:Gebruiker ia-2
Template:User hi-1	Sjabloon:Gebruiker hi-1
Template:User hr	Sjabloon:Gebruiker hr
Template:User he-2	Sjabloon:Gebruiker he-2
Template:User he-1	Sjabloon:Gebruiker he-1
Template:User hu	Sjabloon:Gebruiker hu
Template:User id-3	Sjabloon:Gebruiker id-3
Template:User io-3	Sjabloon:Gebruiker io-3
Template:User it-3	Sjabloon:Gebruiker it-3
Template:User grc-1	Sjabloon:Gebruiker grc-1
Template:User ja-4	Sjabloon:Gebruiker ja-4
Template:User sk	Sjabloon:Gebruiker sk
Template:User tr-2	Sjabloon:Gebruiker tr-2
Template:User fr-2	Sjabloon:Gebruiker fr-2
Template:User tr	Sjabloon:Gebruiker tr
Template:User ja	Sjabloon:Gebruiker ja
Template:User ja-1	Sjabloon:Gebruiker ja-1
Template:User it-1	Sjabloon:Gebruiker it-1
Template:User hr-1	Sjabloon:Gebruiker hr-1
Template:User fr	Sjabloon:Gebruiker fr
Category:Uluhlu lweendawo eMzantsi Afrika	Categorie:Provincie van Zuid-Afrika
Template:Mod	Sjabloon:Modulo
Template:User es-2	Sjabloon:Gebruiker es-2
Template:USA	Sjabloon:US
Category:User fr-1	Categorie:Wikipedia:Gebruiker fr-1
Template:Infobox School	Sjabloon:Infobox school
Template:Location map	Sjabloon:Positiekaart
Category:User en-4	Categorie:Wikipedia:Gebruiker en-4
Category:User en	Categorie:Wikipedia:Gebruiker en
Category:User en-2	Categorie:Wikipedia:Gebruiker en-2
Template:Infobox	Sjabloon:Infobox generiek
Template:Cite web	Sjabloon:Citeer web
Template:Coor URL	Sjabloon:MapsServer
Category:User hi	Categorie:Wikipedia:Gebruiker hi
Template:Infobox settlement	Sjabloon:Infobox plaats
Template:Tlx	Sjabloon:Tlx
Template:Location map USA	Sjabloon:Positiekaart Verenigde Staten
Template:User	Sjabloon:Gebruikerlinks
Template:Emergency-bot-shutoff	Sjabloon:Noodrem
Category:User ja-N	Categorie:Wikipedia:Gebruiker ja-M
Template:Infobox person	Sjabloon:Infobox persoon
Template:Coord	Sjabloon:Coördinaten
Category:User az	Categorie:Wikipedia:Gebruiker az
Category:User be	Categorie:Wikipedia:Gebruiker be
Category:User hr	Categorie:Wikipedia:Gebruiker hr
Category:User sk	Categorie:Wikipedia:Gebruiker sk
Category:User eo	Categorie:Wikipedia:Gebruiker eo
Category:User et	Categorie:Wikipedia:Gebruiker et
Category:User fr	Categorie:Wikipedia:Gebruiker fr
Category:User gl	Categorie:Wikipedia:Gebruiker gl
Category:User hu-N	Categorie:Wikipedia:Gebruiker hu-M
Category:User id	Categorie:Wikipedia:Gebruiker id
Category:User ia	Categorie:Wikipedia:Gebruiker ia
Category:User ja	Categorie:Wikipedia:Gebruiker ja
Category:User it-3	Categorie:Wikipedia:Gebruiker it-3
Category:User cs-1	Categorie:Wikipedia:Gebruiker cs-1
Category:User da-1	Categorie:Wikipedia:Gebruiker da-1
Category:User et-1	Categorie:Wikipedia:Gebruiker et-1
Category:User fi-1	Categorie:Wikipedia:Gebruiker fi-1
Category:User gl-1	Categorie:Wikipedia:Gebruiker gl-1
Category:User hi-1	Categorie:Wikipedia:Gebruiker hi-1
Category:User ar-1	Categorie:Wikipedia:Gebruiker ar-1
Category:User be-2	Categorie:Wikipedia:Gebruiker be-2
Category:User da-2	Categorie:Wikipedia:Gebruiker da-2
Category:User fr-2	Categorie:Wikipedia:Gebruiker fr-2
Category:User ia-2	Categorie:Wikipedia:Gebruiker ia-2
Category:User tr-2	Categorie:Wikipedia:Gebruiker tr-2
Category:User hr-N	Categorie:Wikipedia:Gebruiker hr-M
Category:User fr-N	Categorie:Wikipedia:Gebruiker fr-M
Category:User eu-N	Categorie:Wikipedia:Gebruiker eu-M
Category:User af	Categorie:Wikipedia:Gebruiker af
Category:User af-1	Categorie:Wikipedia:Gebruiker af-1
Category:User als	Categorie:Wikipedia:Gebruiker als
Category:User als-1	Categorie:Wikipedia:Gebruiker als-1
Category:User ar	Categorie:Wikipedia:Gebruiker ar
Category:User ast	Categorie:Wikipedia:Gebruiker ast
Category:User ast-1	Categorie:Wikipedia:Gebruiker ast-1
Category:User az-N	Categorie:Wikipedia:Gebruiker az-M
Category:User bar	Categorie:Wikipedia:Gebruiker bar
Category:User bar-1	Categorie:Wikipedia:Gebruiker bar-1
Category:User bg	Categorie:Wikipedia:Gebruiker bg
Category:User bg-1	Categorie:Wikipedia:Gebruiker bg-1
Category:User ca	Categorie:Wikipedia:Gebruiker ca
Category:User ca-1	Categorie:Wikipedia:Gebruiker ca-1
Category:User cs	Categorie:Wikipedia:Gebruiker cs
Category:User da	Categorie:Wikipedia:Gebruiker da
Category:User sk-N	Categorie:Wikipedia:Gebruiker sk-M
Category:User de	Categorie:Wikipedia:Gebruiker de
Category:User de-2	Categorie:Wikipedia:Gebruiker de-2
Category:User de-3	Categorie:Wikipedia:Gebruiker de-3
Category:User de-N	Categorie:Wikipedia:Gebruiker de-M
Category:User el	Categorie:Wikipedia:Gebruiker el
Category:User el-1	Categorie:Wikipedia:Gebruiker el-1
Category:User el-N	Categorie:Wikipedia:Gebruiker el-M
Category:User en-3	Categorie:Wikipedia:Gebruiker en-3
Category:User en-N	Categorie:Wikipedia:Gebruiker en-M
Category:User eo-1	Categorie:Wikipedia:Gebruiker eo-1
Category:User eo-2	Categorie:Wikipedia:Gebruiker eo-2
Category:User eo-3	Categorie:Wikipedia:Gebruiker eo-3
Category:User es	Categorie:Wikipedia:Gebruiker es
Category:User es-1	Categorie:Wikipedia:Gebruiker es-1
Category:User es-2	Categorie:Wikipedia:Gebruiker es-2
Category:User es-4	Categorie:Wikipedia:Gebruiker es-4
Category:User es-N	Categorie:Wikipedia:Gebruiker es-M
Category:User eu	Categorie:Wikipedia:Gebruiker eu
Category:User eu-4	Categorie:Wikipedia:Gebruiker eu-4
Category:User fa	Categorie:Wikipedia:Gebruiker fa
Category:User fa-1	Categorie:Wikipedia:Gebruiker fa-1
Category:User fa-N	Categorie:Wikipedia:Gebruiker fa-M
Category:User fi	Categorie:Wikipedia:Gebruiker fi
Category:User fi-N	Categorie:Wikipedia:Gebruiker fi-M
Category:User grc	Categorie:Wikipedia:Gebruiker grc
Category:User grc-1	Categorie:Wikipedia:Gebruiker grc-1
Category:User he	Categorie:Wikipedia:Gebruiker he
Category:User he-1	Categorie:Wikipedia:Gebruiker he-1
Category:User he-2	Categorie:Wikipedia:Gebruiker he-2
Category:User hr-1	Categorie:Wikipedia:Gebruiker hr-1
Category:User hu	Categorie:Wikipedia:Gebruiker hu
Category:User id-3	Categorie:Wikipedia:Gebruiker id-3
Category:User io	Categorie:Wikipedia:Gebruiker io
Category:User io-3	Categorie:Wikipedia:Gebruiker io-3
Category:User it	Categorie:Wikipedia:Gebruiker it
Category:User it-1	Categorie:Wikipedia:Gebruiker it-1
Category:User ja-1	Categorie:Wikipedia:Gebruiker ja-1
Category:User tr	Categorie:Wikipedia:Gebruiker tr
Category:User tr-N	Categorie:Wikipedia:Gebruiker tr-M
Umnqathe	Wortel (groente)
Trojany	Trojany (Mazovië)
Category:IDolophu	Categorie:Stad
Category:User en-1	Categorie:Wikipedia:Gebruiker en-1
Category:User de-1	Categorie:Wikipedia:Gebruiker de-1
Category:User da-N	Categorie:Wikipedia:Gebruiker da-M
Template:Location map~	Sjabloon:Positiekaart~
Template:Location map+	Sjabloon:Positiekaart+
Wikipedia:VisualEditor	Wikipedia:Visuele tekstverwerker
IHanoveri	Hanover
Template:Style/IPA	Sjabloon:Style/IPA
Template:Style/yid	Sjabloon:Style/yid
Special:RecentChanges	Speciaal:RecenteWijzigingen
Category:User ja-4	Categorie:Wikipedia:Gebruiker ja-4
Module:String	Module:String
