افریقہ	Afrika
ماؤنٹ ایورسٹ	Mount Everest
تشریح (حیاتیات)	Anatomie
شہر	Stad
نپولین	Napoleon Bonaparte
فعلیات	Fysiologie
ستارہ	Ster (hemellichaam)
سورج	Zon
آسمان	Hemelgewelf
لوئی پاسچر	Louis Pasteur
نوری سال	Lichtjaar
گاؤں	Dorp
وکٹر ہیوگو	Victor Hugo
اوقیانوسیہ	Oceanië
گیریبالڈی	Giuseppe Garibaldi
ارویتو	Orvieto
ایتھلیٹکس	Atletiek
نظام شمسی	Zonnestelsel
بحیرہ بالٹک	Oostzee
تریستے	Triëst (stad)
شانزے لیزے	Avenue des Champs-Élysées
دانت	Tand
ہائیڈروجن	Waterstof (element)
ہیلیئم	Helium
ویکیمیڈیا العام	Wikimedia Commons
انگیلا میرکل	Angela Merkel
لیتھیئم	Lithium (element)
بلوصر	Beryllium
بلندگو	Luidspreker
کتاب	Boek (document)
دن	Dag
مشرقی تیمور	Oost-Timor
رات	Nacht
سال	Jaar
خط الوقت	Eeuw
ویوربن	Villeurbanne
مونٹ بلانک	Mont Blanc
دریائے رائن	Rijn
اوسلو	Oslo
بون	Bonn
کاتوویتس	Katowice
ثقب اسود	Zwart gat
لزبن	Lissabon
ایچیرو سوزوکی	Ichiro Suzuki
دریائے رون	Rhône (rivier)
دبئی	Dubai (emiraat)
لیونل میسی	Lionel Messi
نکولس کوپرنیکس	Nicolaas Copernicus
کاربن	Koolstof
دریائے وولگا	Wolga
نائٹروجن	Stikstof (element)
بیرگامو	Bergamo (stad)
آکسیجن	Zuurstof (element)
سیارہ	Planeet
قلوپطرہ	Cleopatra VII
موسیقی	Muziek
وینس	Venetië (stad)
دریائے پو	Po (rivier)
شرم الشیخ	Sharm-el-Sheikh
حر پیما	Thermometer
رین	Rennes
لیل	Rijsel
ماسکو	Moskou
اطالوی زبان	Italiaans (taal)
نیون	Neon (element)
چہواہوا	Chihuahua (staat)
سینٹ پیٹرز برگ	Sint-Petersburg
چاڈ	Tsjaad
سوڈیم	Natrium
شمال	Noord (windstreek)
ایلومینیم	Aluminium
نیوزی لینڈ	Nieuw-Zeeland
جنوب	Zuid
بھارت	India
فرانسیئم	Francium
تووالو	Tuvalu
فاسفورس	Fosfor
نثر	Proza
لوہا	IJzer (element)
ٹونگا	Tonga (land)
مغرب-سمت	West
گندھک	Zwavel
سامووا	Samoa
مشرق	Oost (windstreek)
جزائر سلیمان	Salomonseilanden
وانواتو	Vanuatu
مولیر	Molière (schrijver)
پاپوا نیو گنی	Papoea-Nieuw-Guinea
ولیم شیکسپیئر	William Shakespeare
پلاؤ	Palau (land)
ناورو	Nauru
موزیلا فائرفاکس	Mozilla Firefox
پوٹاشیم	Kalium
زی لینڈ	Zeeland (provincie)
کیلشیم	Calcium
سیسہ	Lood (element)
جزائر مارشل	Marshalleilanden
کیریباتی	Kiribati
منگولیا	Mongolië
فجی	Fiji
اسکینصر	Scandium
وینیزویلا	Venezuela
شطرنج	Schaken
سگینؤ، مشی گن	Saginaw (Michigan)
چنگیز خان	Dzjengis Khan
مینے	Maine
گھوڑا	Paard (dier)
ایمسٹرڈیم	Amsterdam
اسلحہ	Gevechtswapen
جانور	Dierenrijk
سرینام	Suriname
پیراگوئے	Paraguay
گیانا	Guyana
فن	Kunst
ایکواڈور	Ecuador
رہینیئم	Renium
کولمبیا	Colombia
کوبالٹ	Kobalt
ٹنگسٹن	Wolfraam
Nickel	Nikkel
بدھ مت	Boeddhisme
بولیویا	Bolivia
Osmium	Osmium
تانبا	Koper (element)
نباتات	Planten
سینٹ وینسینٹ و گریناڈائنز	Saint Vincent en de Grenadines
جست	Zink (element)
نیو ہیمپشائر	New Hampshire
سینٹ لوسیا	Saint Lucia
لیونارڈو ڈا ونچی	Leonardo da Vinci
سینٹ کیٹز و ناویس	Saint Kitts en Nevis
پھپھوند	Schimmels
ڈاریو فو	Dario Fo
جمیکا	Jamaica
گریناڈا	Grenada
میساچوسٹس	Massachusetts
گوئٹے مالا	Guatemala
گوگل کروم	Google Chrome
بہاماس	Bahama's
کنیکٹیکٹ	Connecticut
مرغی	Kip (vogel)
اینٹیگوا و باربوڈا	Antigua en Barbuda
ہوائی	Hawaï
ہونڈوراس	Honduras
ڈومینیکا	Dominica
جرزی	Jersey (eiland)
جمہوریہ ڈومینیکن	Dominicaanse Republiek
سؤر	Varken (tam)
بحر منجمد شمالی	Noordelijke IJszee
ہیٹی	Haïti
ایل سیلواڈور	El Salvador
ایران	Iran
عراق	Irak
الاسکا	Alaska
دانائی	Wijsheid (deugd)
کوسٹاریکا	Costa Rica
اسرائیل	Israël
پاناما	Panama (land)
یمن	Jemen
لوزان	Lausanne (stad)
حُمہ	Virus (biologie)
اردن	Jordanië
نکاراگوا	Nicaragua
فلوریڈا	Florida (staat)
کرغیزستان	Kirgizië
ایریزونا	Arizona (staat)
کویت	Koeweit
لاؤس	Laos
لبنان	Libanon
اوریگون	Oregon
مالدیپ	Maldiven
امریکین	Amerika (continent)
یوٹاہ	Utah
گائے	Rund
ملائیشیا	Maleisië
میانمار	Myanmar
نیپال	Nepal
سلطنت عمان	Oman
پاکستان	Pakistan
جیمز بانڈ	James Bond
قطر	Qatar
ٹینس	Tennis
سعودی عرب	Saoedi-Arabië
سری لنکا	Sri Lanka
جوزف استالن	Jozef Stalin
شام	Syrië
افلاطون	Plato
جوزف برودسکی	Joseph Brodsky
تاجکستان	Tadzjikistan
پوکیمون	Pokémon
جمہوریۂ چین	Taiwan
یوٹیوب	YouTube
جرمانیئم	Germanium
ارسطو	Aristoteles
تھائی لینڈ	Thailand
ریل گاڑی	Trein
زرنیخ	Arseen
مشعہ	Radio
ترکمانستان	Turkmenistan
اباکان	Abakan (stad)
Iridium	Iridium (element)
متحدہ عرب امارات	Verenigde Arabische Emiraten
پلاٹینیم	Platina
ویتنام	Vietnam
چارلی چیپلن	Charlie Chaplin
نووسیبیرسک	Novosibirsk
جنوبی کوریا	Zuid-Korea
دا سمپسنز	The Simpsons
یاکاٹرنبرگ	Jekaterinenburg
افغانستان	Afghanistan
گانگنام اسٹائل	Gangnam Style
نزہنی نووگورود	Nizjni Novgorod
جان رونالڈ روئل ٹولکین	J.R.R. Tolkien
سمارا، روس	Samara (stad)
سونا	Goud
اومسک	Omsk
نہر سوئز	Suezkanaal
قازان	Kazan (stad)
سائنسدان	Wetenschapper
بنگلہ دیش	Bangladesh
فرانز کافکا	Franz Kafka
چیلیابنسک	Tsjeljabinsk
روستوف-نا-دونو	Rostov aan de Don
جارج لوئی بورگیس	Jorge Luis Borges
اوفا	Oefa
مالی	Mali
سقراط	Socrates (filosoof)
وولگو گراد	Wolgograd
انگولہ	Angola
پیرم	Perm (stad)
بھوٹان	Bhutan
ٹویٹر	Twitter
کراسنویارسک	Krasnojarsk
برونائی دار السلام	Brunei
تنزانیہ	Tanzania
پارہ	Kwik
روآل آمونسن	Roald Amundsen
فلپائن	Filipijnen
وسطی افریقی جمہوریہ	Centraal-Afrikaanse Republiek
تھیلیئم	Thallium
قطب جنوبی	Zuidpool
قطب شمالی	Noordpool
آئزک نیوٹن	Isaac Newton
البرٹ آئنسٹائن	Albert Einstein
بسمیتھ	Bismut
پیلا	Geel (kleur)
کوانٹم میکانکس	Kwantummechanica
ٹوگو	Togo
تونس	Tunesië
زیمبیا	Zambia
زمبابوے	Zimbabwe
آرڈنبرگ	Aardenburg (stad)
بیجنگ	Peking
فہرستوں کی فہرست	Wikipedia:Overzichten en lijsten
جنوبی سوڈان	Zuid-Soedan
ولادیوستوک	Vladivostok
تووا	Toeva
بینن	Benin
بوٹسوانا	Botswana
برکینا فاسو	Burkina Faso
برونڈی	Burundi
اتحاد القمری	Comoren
جمہوریہ کانگو	Congo-Brazzaville
جمہوری جمہوریہ کانگو	Congo-Kinshasa
سان انٹونیو	San Antonio (Texas)
ٹومسک	Tomsk
جبوتی	Djibouti (land)
پولونیئم	Polonium
بواریا	Beieren
استوائی گنی	Equatoriaal-Guinea
بادن-وورتمبرگ	Baden-Württemberg
اریتریا	Eritrea
نئی دہلی	New Delhi
فیودر دوستوئیفسکی	Fjodor Dostojevski
جزیرہ نما کامچاٹکا	Kamtsjatka (schiereiland)
تبلیسی	Tbilisi
عیسٹاٹین	Astaat
گیبون	Gabon
موہن داس گاندھی	Mohandas Karamchand Gandhi
کامکس	Stripverhaal
گیمبیا	Gambia (land)
جمہوریہ گنی	Guinee
گنی بساؤ	Guinee-Bissau
کوت داوواغ	Ivoorkust
کیمرون	Kameroen
کیپ ورڈی	Kaapverdië
لیسوتھو	Lesotho
لائبیریا	Liberia
لیبیا	Libië
آچن	Aken (stad)
مڈغاسکر	Madagaskar
ملاوی	Malawi
شٹوٹگارٹ	Stuttgart
موریتانیہ	Mauritanië
مراکش	Marokko
موزمبیق	Mozambique
نمیبیا	Namibië
نائجر	Niger (land)
نائجیریا	Nigeria
ڈارون	Charles Darwin
یوگنڈا	Oeganda
روانڈا	Rwanda
ساؤ ٹومے و پرنسپے	Sao Tomé en Principe
سینیگال	Senegal
سیچیلیس	Seychellen
لنی اس	Carolus Linnaeus
سیرالیون	Sierra Leone
صومالیہ	Somalië
جواہر لعل نہرو	Jawaharlal Nehru
جولیس سیزر	Julius Caesar
سوڈان	Soedan
سوازی لینڈ	Swaziland
دھنک	Regenboog (optica)
ہامبرگ	Hamburg
استِقلاب	Stofwisseling
نریندر مودی	Narendra Modi
مناعی نظام	Immuunsysteem
گجرات (بھارت)	Gujarat
جھیل انٹاریو	Ontariomeer
نظریۂ ارتقا	Evolutie (biologie)
اقوام متحدہ	Verenigde Naties
جھیل سپیریئر	Bovenmeer
دانتے الیگیری	Dante Alighieri
ارضیات	Geologie
احمد آباد	Ahmedabad (stad)
جغرافیہ	Aardrijkskunde
قلب	Hart
دماغ	Hersenen
جلد	Huid
رنگ	Kleur
اسم	Zelfstandig naamwoord
پراگ	Praag
نیلا	Blauw (kleur)
چاندی	Zilver
کیڈمیئم	Cadmium
قلع	Tin (element)
یورینیئم	Uranium
کحل	Antimoon
شمالی برابانٹ	Noord-Brabant
پلوٹونیئم	Plutonium
آیوڈین	Jodium (element)
نیپچونیئم	Neptunium
زینون	Xenon
اینیمے	Anime
سیزیئم	Cesium
Protactinium	Protactinium
برقی بار	Elektrische lading
بیریئم	Barium
Thorium	Thorium
ہفنیئم	Hafnium
عیکٹنیئم	Actinium
Tantalum	Tantaal
بل کلنٹن	Bill Clinton
لکسمبرگ (بیلجیم)	Luxemburg (provincie)
ریڈیم	Radium
اہلن	Ahlen
ریڈون	Radon (element)
اندرا گاندھی	Indira Gandhi
ہیکٹر برلیوز	Hector Berlioz
جمنگر	Jamnagar (stad)
ممبئی	Bombay
آندھرا پردیش	Andhra Pradesh
اروناچل پردیش	Arunachal Pradesh
آسام	Assam
بہار (بھارت)	Bihar
مشی گن	Michigan
چھتیس گڑھ	Chhattisgarh
جھیل مشی گن	Michiganmeer
گوا	Goa (India)
ہریانہ	Haryana
ہماچل پردیش	Himachal Pradesh
جموں و کشمیر	Jammu en Kasjmir (staat)
پورٹو ریکو	Puerto Rico
جھاڑکھنڈ	Jharkhand
کرناٹک	Karnataka
کیرلا	Kerala
مدھیہ پردیش	Madhya Pradesh
یوسین بولٹ	Usain Bolt
مہاراشٹر	Maharashtra
منی پور	Manipur
شلسویگ-ہولشتائن	Sleeswijk-Holstein
میگھالیہ	Meghalaya
مکلنبرگ-ورپورمرن	Mecklenburg-Voor-Pommeren
نیدرزاکسن	Nedersaksen
نوردرائن-ویسٹ فالیا	Noordrijn-Westfalen
ہیسے	Hessen
رائنلینڈ-پالاتینات	Rijnland-Palts
سارلینڈ	Saarland
زاکسن	Saksen (deelstaat)
الینوائے	Illinois (staat)
تورینگن	Thüringen (deelstaat)
زاکسن-آنہالت	Saksen-Anhalt
شمالی ڈکوٹا	North Dakota
برندنبرگ	Brandenburg (deelstaat)
برمن (ریاست)	Vrije Hanzestad Bremen
لومباردیہ	Lombardije
جنوبی ڈکوٹا	South Dakota
مونٹانا	Montana (staat)
وائیومنگ	Wyoming
پیعیمونتے	Piëmont
یروشلم	Jeruzalem
ایڈاہو	Idaho
وادی آوستہ	Valle d'Aosta
ریاست واشنگٹن	Washington (staat)
ردرفورڈیئم	Rutherfordium
نیواڈا	Nevada (staat)
ڈبنئیم	Dubnium
سیبورگئیم	Seaborgium
ترینتینو جنوبی ٹائرول	Trentino-Zuid-Tirol
بحر ہند	Indische Oceaan
وینیتو	Veneto
بحیرہ کیریبین	Caraïbische Zee
بورئیم	Bohrium
فریولی وینیزیا جولیا	Friuli-Venezia Giulia
ہاسیئم	Hassium
بان کی مون	Ban Ki-moon
کوفی عنان	Kofi Annan
لیگوریا	Ligurië
Meitnerium	Meitnerium
کرٹ والڈہائیم	Kurt Waldheim
کولوراڈو	Colorado (staat)
ایمیلیا رومانیا	Emilia-Romagna
اوتھاں	U Thant
دریائے کولوراڈو	Colorado (rivier)
ڈارمسٹادیئم	Darmstadtium
فریڈرک شوپن	Frédéric Chopin
روٹجینیم	Röntgenium
تسکانہ	Toscane
مارکے	Marche (Italië)
امبریا	Umbrië
زمرہ:محتویات	Categorie:Alles
لازیو	Lazio
آبروزو	Abruzzen
الپس	Alpen
گرونوبل	Grenoble
پاسکل	Blaise Pascal
برون	Bron (Frankrijk)
ڈرافٹس	Dammen
شکاگو, الینوائے	Chicago
بیٹلز	The Beatles
کومو	Como (stad)
ماستریخت	Maastricht
موسم سرما	Winter
بہار	Lente
موسم گرما	Zomer
خزاں	Herfst
صدام حسین	Saddam Hoessein
اسامہ بن لادن	Osama bin Laden
ہسپانوی زبان	Spaans
مونٹیویڈیو	Montevideo (stad)
جوہن باخ	Johann Sebastian Bach
انتونیو ویوالدی	Antonio Vivaldi
تولیاتی	Toljatti
اوپرا	Opera (muziek)
فلاڈیلفیا, پنسلوانیا	Philadelphia (Pennsylvania)
کولکاتہ	Calcutta
چینائی	Madras
دلی	Delhi (stad)
ڈھاکہ	Dhaka (stad)
بنگلور	Bangalore
مغربی بنگال	West-Bengalen
مکڑی	Spinnen (dieren)
مفصلی پایہ	Geleedpotigen
حیدرآباد، دکن	Haiderabad (Andhra Pradesh)
اسلام آباد	Islamabad
تری پورہ	Tripura
پھل	Vrucht (plant)
زر	Geld
ورجینیا	Virginia (staat)
مغربی ورجینیا	West Virginia
میٹرہارن	Matterhorn
جھیل ہیورون	Huronmeer
نیویارک	New York (staat)
سیریئم	Cerium
Praseodymium	Praseodymium
رہوڈ آئی لینڈ	Rhode Island (staat)
Neodymium	Neodymium
حشرات	Insecten
میری لینڈ	Maryland
ڈیلاویئر	Delaware
ولادیمیر لینن	Vladimir Lenin
یوروپیئم	Europium
اوہائیو	Ohio (staat)
ورجل	Vergilius
نکولو مکیاویلی	Niccolò Machiavelli
پنسلوانیا	Pennsylvania
بوکاچیو	Giovanni Boccaccio
لیوگی پیرنڈیلو	Luigi Pirandello
یوٹرسن	Uetersen
آگسٹس	Imperator Caesar Augustus
مائیکروسافٹ ونڈوز	Microsoft Windows
نیو جرسی	New Jersey
جبل الطارق	Gibraltar
نیرو	Nero (keizer)
انڈیانا	Indiana
نوکیا	Nokia (bedrijf)
خودمتحرک	Auto
ٹائٹس	Titus (keizer)
جووینٹیس	Juventus FC
روجر فیڈرر	Roger Federer
جارجیا (امریکی ریاست)	Georgia (staat)
زغرب	Zagreb
راجستھان	Rajasthan
کمپانیہ	Campania
ٹیکساس	Texas (staat)
مولیزے	Molise
تامل ناڈو	Tamil Nadu
پلیہ	Apulië
جینوا (اٹلی)	Genua (stad)
بازیلیکاتا	Basilicata
شمالی کیرولینا	North Carolina
فیلڈ ہاکی	Hockey
جنوبی کیرولینا	South Carolina
کلابریا	Calabrië
صقلیہ	Sicilië
منیلا	Manilla
ساردینیا	Sardinië
سیبو شہر	Cebu City
دریائے سین	Seine
داوائو شہر	Davao City
کویزون سٹی	Quezon City
لو مان	Le Mans (stad)
کالوکان	Caloocan
بورڈو	Bordeaux (stad)
کوریزون اکینو	Corazon Aquino
کاویت شہر	Cavite City
بیونس آئرس	Buenos Aires (stad)
میکسیکو شہر	Mexico-Stad
توکیو	Tokio
لا پاز	La Paz (stad in Bolivia)
برشلونہ	Barcelona (Spanje)
انناس	Ananas
مسیسپی	Mississippi (staat)
فرڈیننڈ میگلان	Ferdinand Magellaan
دریائے مسیسپی	Mississippi (rivier)
اتر پردیش	Uttar Pradesh
اتراکھنڈ	Uttarakhand
میزورم	Mizoram
کوبلیز	Cublize
سکم	Sikkim
پیٹاگونیا	Patagonië
مکاتی	Makati
ٹینیسی	Tennessee
رچرڈ واگنر	Richard Wagner
ناگپور	Nagpur (stad)
آبدجان	Abidjan
ابوظہبی (شہر)	Abu Dhabi (stad)
آستانہ	Astana (stad)
نیو میکسیکو	New Mexico
رمسيس ثانی	Ramses II
ایتھنز	Athene (stad)
مینیسوٹا	Minnesota
بغداد	Bagdad
کراکس	Caracas
سینٹ-جست-دورے	Saint-Just-d'Avray
متناسق عالمی وقت	UTC
وسکونسن	Wisconsin
پونہ	Poona (stad)
رونو	Ronno
آئیووا	Iowa (staat)
والسن	Valsonne
آمپلیپوئی	Amplepuis
نیبراسکا	Nebraska
گوئٹے مالا شہر	Guatemala-Stad
کنساس	Kansas (staat)
ہوانا	Havana
تمباکو	Tabak
ہندی زبان	Hindi
مراٹھی زبان	Marathi (taal)
آواسٹ	Avast!
گنیش	Ganesha
مسوری	Missouri (staat)
جارج سائمن اوہم	Georg Ohm
لوزیانا	Louisiana (staat)
ناگالینڈ	Nagaland
کینٹکی	Kentucky
آرکنساس	Arkansas (staat)
نیل آرمسٹرانگ	Neil Armstrong
اردو	Urdu
ولنزولا، فلپائن	Valenzuela (Metro Manilla)
پاسیگ	Pasig (Metro Manilla)
زامبوانگا شہر	Zamboanga City
ایڈتھ پیاف	Édith Piaf
انتیپولو	Antipolo
