非洲	Afrika
Khà (鉲)	Californium
Mìn-kú-lû-sén	Bengkulu (provincie)
Oi	Einsteinium
Fi	Fermium
Mùn	Mendelevium
Na	Nobelium
Ontario-sén	Ontario
Lò	Lawrencium
Karelia Khiung-fò-koet	Karelië (deelrepubliek)
Końskowola	Końskowola
2002-ngièn	2002
2008-ngièn	2008
Charles de Gaulle	Charles de Gaulle
Cham-pî-sén	Jambi (provincie)
Komi Khiung-fò-koet	Komi (deelrepubliek)
Nâm-póng-sén	Lampung
Pet Sû-mùn-tap-lia̍p-sén	Noord-Sumatra
Syktyvkar	Syktyvkar
Québec-sṳ	Quebec (stad)
Nenets Chhṳ-chhṳ-khî	Nenetsië
Liàu-nui-sén	Riau
Leningrad-chû	Oblast Leningrad
Pskov-chû	Oblast Pskov
Liàu-nui Khiùn-tó-sén	Riouwarchipel
Nizhny Novgorod-chû	Oblast Nizjni Novgorod
Nàm Sû-mùn-tap-lia̍p-sén	Zuid-Sumatra
Lò-mâ Ti-koet	Romeinse Keizerrijk
Mì-ngiôn Kûng-sṳ̂	Microsoft
Tver-chû	Oblast Tver
Khù-lû-fû	Kurów (powiat Puławski)
Fa-ho̍k	Scheikunde
Smolensk-chû	Oblast Smolensk
Yaroslavl-chû	Oblast Jaroslavl
Kostroma-chû	Oblast Kostroma
Ivanovo-chû	Oblast Ivanovo
Arnold Schwarzenegger	Arnold Schwarzenegger
Chiuk-khiù	Voetbal
Ryazan-chû	Oblast Rjazan
IPhone	IPhone
Sî Sû-mùn-tap-lia̍p-sén	West-Sumatra
Tula-chû	Oblast Toela
IPad	IPad
Mâ-tet-lî	Madrid (stad)
Bryansk-chû	Oblast Brjansk
Michael Jackson	Michael Jackson
Kaluga-chû	Oblast Kaloega
Loire-Atlantique-sén	Loire-Atlantique
Ain-sén	Ain (departement)
Allier-sén	Allier (departement)
Khâm-phì-là	Canberra
Sông Alpes-sén	Hautes-Alpes
Oryol-chû	Oblast Orjol
Sit-nì	Sydney
Alpes-de-Haute-Provence-sén	Alpes-de-Haute-Provence
Liu̍k-set	Groen (kleur)
Alpes-Maritimes-sén	Alpes-Maritimes
Hâ-tet-sùn-hò	Hudson (rivier)
Me̍t-ngì-pún	Melbourne
Fùng-set	Rood (kleur)
Ardèche-sén	Ardèche (departement)
Jena	Jena (Duitsland)
Kursk-chû	Oblast Koersk
Ariège-sén	Ariège (departement)
Aude-sén	Aude (departement)
Aveyron-sén	Aveyron (departement)
Sîn Nàm Vî-ngì-sṳ̂-chû	Nieuw-Zuid-Wales
Bouches-du-Rhône-sén	Bouches-du-Rhône
Àu-thai-li-â Sú-tû Liâng-thi	Australian Capital Territory
Cantal-sén	Cantal
Belgorod-chû	Oblast Belgorod
Côte-d'Or-sén	Côte-d'Or
Côtes-d'Armor-sén	Côtes-d'Armor
Drôme-sén	Drôme (departement)
Finistère-sén	Finistère
