Afrik	Afrika
1975 (almanak gregoryen)	1975
1976 (almanak gregoryen)	1976
1977 (almanak gregoryen)	1977
1978 (almanak gregoryen)	1978
1979 (almanak gregoryen)	1979
1969 (almanak gregoryen)	1969
Tarawa	Tarawa
Benwa XVI	Paus Benedictus XVI
15 avril	15 april
13 avril	13 april
12 avril	12 april
14 avril	14 april
11 avril	11 april
10 avril	10 april
8 avril	8 april
9 avril	9 april
7 avril	7 april
6 avril	6 april
5 avril	5 april
4 avril	4 april
3 avril	3 april
1e avril	1 april
2 avril	2 april
16 avril	16 april
17 avril	17 april
18 avril	18 april
19 avril	19 april
20 avril	20 april
21 avril	21 april
22 avril	22 april
23 avril	23 april
24 avril	24 april
25 avril	25 april
26 avril	26 april
27 avril	27 april
28 avril	28 april
29 avril	29 april
30 avril	30 april
Satelit	Natuurlijke maan
1e me	1 mei
2 me	2 mei
3 me	3 mei
4 me	4 mei
5 me	5 mei
6 me	6 mei
7 me	7 mei
8 me	8 mei
9 me	9 mei
10 me	10 mei
11 me	11 mei
12 me	12 mei
13 me	13 mei
14 me	14 mei
15 me	15 mei
16 me	16 mei
17 me	17 mei
18 me	18 mei
19 me	19 mei
20 me	20 mei
21 me	21 mei
22 me	22 mei
23 me	23 mei
24 me	24 mei
25 me	25 mei
26 me	26 mei
27 me	27 mei
28 me	28 mei
29 me	29 mei
30 me	30 mei
31 me	31 mei
21 desanm	21 december
14 jen	14 juni
15 jen	15 juni
13 jen	13 juni
10 jen	10 juni
7 jen	7 juni
11 jen	11 juni
9 jen	9 juni
12 jen	12 juni
6 jen	6 juni
8 jen	8 juni
5 jen	5 juni
3 jen	3 juni
2 jen	2 juni
1e jen	1 juni
4 jen	4 juni
22 desanm	22 december
1968 (almanak gregoryen)	1968
1967 (almanak gregoryen)	1967
1966 (almanak gregoryen)	1966
1965 (almanak gregoryen)	1965
1964 (almanak gregoryen)	1964
16 jen	16 juni
30 jen	30 juni
29 jen	29 juni
28 jen	28 juni
26 jen	26 juni
25 jen	25 juni
22 jen	22 juni
27 jen	27 juni
24 jen	24 juni
20 jen	20 juni
23 jen	23 juni
19 jen	19 juni
18 jen	18 juni
21 jen	21 juni
17 jen	17 juni
23 desanm	23 december
15 jiyè	15 juli
13 jiyè	13 juli
12 jiyè	12 juli
10 jiyè	10 juli
9 jiyè	9 juli
14 jiyè	14 juli
8 jiyè	8 juli
7 jiyè	7 juli
6 jiyè	6 juli
5 jiyè	5 juli
2 jiyè	2 juli
4 jiyè	4 juli
3 jiyè	3 juli
1e jiyè	1 juli
11 jiyè	11 juli
24 desanm	24 december
31 jiyè	31 juli
30 jiyè	30 juli
29 jiyè	29 juli
28 jiyè	28 juli
27 jiyè	27 juli
25 jiyè	25 juli
24 jiyè	24 juli
23 jiyè	23 juli
26 jiyè	26 juli
22 jiyè	22 juli
19 jiyè	19 juli
21 jiyè	21 juli
20 jiyè	20 juli
17 jiyè	17 juli
18 jiyè	18 juli
16 jiyè	16 juli
Foutbòl	Voetbal
25 desanm	25 december
1963 (almanak gregoryen)	1963
Lech Kaczynski	Lech Kaczyński
26 desanm	26 december
1962 (almanak gregoryen)	1962
14 out	14 augustus
15 out	15 augustus
13 out	13 augustus
12 out	12 augustus
11 out	11 augustus
10 out	10 augustus
8 out	8 augustus
7 out	7 augustus
9 out	9 augustus
5 out	5 augustus
4 out	4 augustus
2 out	2 augustus
3 out	3 augustus
