ܐܦܪܝܩܐ	Afrika
ܙܓܘܓܝܬܐ	Glas
ܫܛܝܚܘܬܐ	Oppervlakte
ܡܢܝܢܐ	Getal (wiskunde)
ܪܦܦܐ	Seconde
ܣܥܪܬܐ	Gerst
ܘܘܗܐܢ	Wuhan
ܡܟܬܒܢܘܬܐ ܕܐܬܪܘܬܐ	Lijst van landen in 2015
ܒܝܬ ܢܗܪܝܢ	Mesopotamië
ܕܒܐ	Beren
ܬܠܗܝܐ	Kanker
ܡܠܟܐ	Koning (titel)
ܚܛܬܐ	Tarwe
ܣܘܪܓܕܐ	Kalender
ܟܘܪܗܢܐ	Ziekte
ܣܘܪܓܕܐ ܓܪܝܓܘܪܝܐ	Gregoriaanse kalender
ܟܦܣܐ	Menstruatie
ܥܡܐ ܩܪܕܘܝܐ	Koerden
ܓܫܪܐ	Brug (bouwwerk)
ܡܓܕܠܐ (ܒܢܝܢܐ)	Toren (bouwwerk)
ܐܡܪܝܩܐ ܠܐܛܝܢܝܬܐ	Latijns-Amerika
ܟܗܪܒܐ	Elektriciteit
ܡܙܝܥܢܐ ܕܩܝܕܐ ܓܘܝܐ	Verbrandingsmotor
ܣܝܦܐ (ܙܝܢܐ)	Zwaard (wapen)
ܫܡܥܘܢ ܩܢܢܝܐ	Simon (apostel)
ܩܪܩܦܬܐ	Schedel
ܓܘܡܠܐ!	Joomla!
ܐܦܫܬܐ	Rozijn
ܠܫܢܐ ܕܗܣܝܐܢܓ	Xiangyu
ܠܫܢܐ ܥܪܒܝܐ	Arabisch
ܠܫܢܐ ܐܦܪܝܩܐܢܝܐ	Afrikaans
Β	Bèta (letter)
Γ	Gamma (letter)
Δ	Delta (letter)
Ε	Epsilon
Ζ	Zèta
Η	Èta
Θ	Thèta
Ι	Iota (letter)
Κ	Kappa (letter)
Ν	Nu (letter)
Ξ	Xi (letter)
Ο	Omikron
Ρ	Rho (letter)
Σ	Sigma (letter)
Τ	Tau (letter)
Υ	Ypsilon
Χ	Chi (letter)
Ψ	Psi (letter)
ܐܬܐ	Vlag
ܟܪܦܬܐ	Meubilair
ܟܘܪܣܝܐ	Stoel
ܣܦܬܐ	Lip
ܦܣܡܐ	Snor (haargroei)
ܥܩܠܐ	Voet (anatomie)
1000000000 (ܡܢܝܢܐ)	Miljard
ܓܪܡܐ ܕܨܕܥܐ	Slaapbeen
ܩܠܝܕܐ (ܓܪܡܐ)	Sleutelbeen
ܟܬܦܐ	Schouder
ܦܟܐ ܬܚܬܝܐ	Mandibula (gewervelden)
ܩܠܒܐ:Link FA	Sjabloon:Link FA
ܥܠܡܐ (ܐܪܥܐ)	Wereld (Aarde)
ܘܝܩܝܦܕܝܐ:ܬܪܥܐ ܕܟܢܫܐ	Wikipedia:De kroeg
ܒܝܪܡܘܢܬ	Vermont
ܩܘܣܛܢܛܝܢܘܦܘܠܝܣ	Constantinopel
ܒܝܬ ܟܪܝܗܐ	Ziekenhuis
ܥܕܬܐ	Kerkgebouw
ܕܝܬܝܩܝ ܚܕܬܐ	Nieuwe Testament
9 (ܡܢܝܢܐ)	9 (getal)
1002	1002
ܦܘܕܘܠܣܟ	Podolsk
ܦܐܦܐ	Paus
5	5
4	4
ܢܝܒܐ	Hoektand
3	3
2	2
ܒܝܬ ܥܬܩܐ ܕܠܘܒܪ	Louvre
ܓܒܐ ܕܚܐܪܘܬܐ ܕܦܘܐܪܛܘ ܪܝܩܘ	Partido Independentista Puertorriqueño
6	6
ܕܝܬܝܩܝ ܥܬܝܩܬܐ	Oude Testament
ܥܐܕܐ ܕܒܝܬ ܝܠܕܐ	Kerstmis
ܠܫܢܐ ܪܘܡܐܢܣܝܐ	Romaanse talen
ܡܬܠܬܐ	Driehoek (meetkunde)
ܫܢܬܐ ܟܒܝܫܬܐ	Schrikkeljaar
ܡܘܥܡܪ ܐܠܩܕܐܦܝ	Moammar al-Qadhafi
ب	Ba (Arabische letter)
ܥܐܕܐ ܕܩܝܡܬܐ	Pasen
ܢܝܘ ܝܘܪܩ	New York
ܢܦܛܐ	Aardolie
ܣܐܘܢܐ	Schoen
ܒܝܬ ܥܘܪܦܢܐ	Bank (financiële instelling)
ܟܪܡܐ	Wijngaard
ܐܝܪܠܢܕ (ܓܙܪܬܐ)	Ierland (eiland)
1	1
ܠܘ ܫܘܢ	Lu Xun (schrijver)
10	10
20	20
9	9
7	7
8	8
7 (ܡܢܝܢܐ)	7 (getal)
8 (ܡܢܝܢܐ)	8 (getal)
12	12
ܡܠܐܐ ܘܬܘܒܐ	Getijde (waterbeweging)
ܫܒܘܥܐ	Week
ܓܠܝܕܐ	IJs (water)
ܨܠܘܬܐ ܡܪܢܝܬܐ	Onzevader
ܝܡܬܐ	Meer (watervlakte)
ܝܡܐ ܣܘܡܩܐ	Rode Zee
13	13
ܩܛܘܬܐ (ܝܥܝܬܐ)	Cucumis sativus
ܓܙܪܬܐ	Eiland
ܚܘܪܐ	Wit
ܐܘܟܡܐ	Zwart (kleur)
6 (ܡܢܝܢܐ)	6 (getal)
ܠܫܢܐ ܪܘܫܡܝܐ	Officiële taal
11	11
15	15
14	14
17	17
ܣܦܪ ܡܠܐ	Woordenboek
18	18
19	19
16	16
21	21
ܦܠܣܛܝܢ	Palestina (regio)
10 (ܡܢܝܢܐ)	10 (getal)
ܡܣܘܪܩܐ (ܡܐܢܐ)	Kam (verzorging)
ܠܝܠܐ ܕܘܢܤ	Lila Downs
ܝܡܐ ܕܡܠܚܐ	Dode Zee
ܫܘܚܠܦܐ ܕܫܢܬܐ	Seizoen
ܠܝܒܪܦܘܠ	Liverpool
ܩܘܦܬܐ (ܛܝܪܐ)	Uilen (orde)
ܫܥܬܐ	Uur
ܢܐܘܝ ܕܘܪ ܟܪܘܠܣܟܝ	Nowy Dwór Królewski
ܐܪܙܦܬܐ	Hamer (gereedschap)
ܝܘܢܫܘܦܝܢ	Jönköping (stad)
ܥܘܠܐ ܚܝܐ	Foetus
ܐܠܦܒܝܬ ܣܘܪܝܝܐ	Syrisch alfabet
ܐܠܦܒܝܬ ܐܪܡܝܐ	Aramees alfabet
ܐܣܝܐ ܡܥܪܒܝܬܐ	Zuidwest-Azië
ܙܡܪܐ	Zangkunst
ܫܓܠܐ	Hinkelen
ܩܠܦܬܐ ܕܒܣܡܐ	Kaneel
ܡܙܬܐ	Haar (zoogdier)
ܠܫܢܐ ܐܪܡܝܐ	Aramees
ܨܦܪܐ (ܛܝܪܐ)	Mussen
ܐܦܣܩܘܦܐ	Bisschop
ܨܝܢ (ܐܪܥܐ)	China
ܓܒܐ ܕܝܡܘܩܪܛܝܐ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	Democratische Partij (Verenigde Staten)
ܒܝܐܛܪܝܟܣ ܕܒܝܬ ܗܘܠܢܕܝܐ	Beatrix der Nederlanden
ܡܠܟܘܬܐ ܕܗܘܠܢܕܐ	Koninkrijk der Nederlanden
ܐܒܪܝܠ ܠܐܒܝܢ	Avril Lavigne
ܪܝܫ ܩܘܛܢܝܘܬܐ	President
ܐܪܒܝܐ	Arabisch Schiereiland
ܡܪܩܘܣ ܐܘܢܓܠܣܛܐ	Marcus (evangelist)
ܥܘܠܐ	Embryo
ܠܫܢܐ ܕܗܟܐ	Hakka (taal)
ܫܘܫܡܢܝܬܐ (ܝܥܝܬܐ)	Kardemom
ܠܫܢܐ ܕܓܐܢ	Ganyu
ܒܝܬ ܥܬܩܐ	Museum
ܐܠܦܒܝܬ ܥܒܪܝܐ	Hebreeuws alfabet
ܠܫܢܐ ܣܘܪܝܝܐ	Syrisch
ܒܪܩܐ	Bliksem
ܐܝܕܐ	Hand
ܫܡܥܘܢ ܟܐܦܐ	Petrus
ܬܠ ܐܒܝܒ	Tel Aviv
ܒܐܠܦܐܪܐܝܣܘ	Valparaíso (stad)
ܠܫܢܐ ܫܝܡܝܐ	Semitische talen
ܚܘܣܢܝ ܡܘܒܐܪܟ	Hosni Moebarak
ܘܐܟܐܩܐ	Oaxaca (staat)
ܚܐܘܬܐ	Boter (zuivel)
ܐܘܢܓܠܝܘܢ	Evangelie
ܠܫܢܐ ܕܘܘ	Wuyu
ܪܘܛܪܕܐܡ	Rotterdam
ܩܪܛܐ	Kreta
ܐܘܪܚܐ	Weg
ܩܘܪܨܐ ܚܠܝܨܐ	Compact disc
ܦܪܬ	Eufraat
ܩܝܘܛܘ	Kioto (stad)
ܥܣܪܐ ܦܘܩܕܢܐ	Tien geboden
ܒܪܩܩܐ ܦܪܣܝܐ	Perzische Golf
ܚܠܐ (ܕܚܝܚܐ)	Zand
ܘܪܕܐ	Rozen
ܓܙܪܬܐ ܝܒܫܢܝܬܐ	Schiereiland
ܐܘܪܝܬܐ	Thora
ܟܘܘܝܬ (ܡܕܝܢܬܐ)	Koeweit (stad)
ܡܚܙܝܬܐ	Spiegel (optica)
ܥܡܐ ܥܪܒܝܐ	Arabieren
ܟܘܬܐ	Venster (muur)
ܠܫܢܐ ܝܘܢܝܐ ܥܬܝܩܐ	Oudgrieks
ܠܫܢܐ ܐܟܕܝܐ	Akkadisch
ܕܩܠܬ	Tigris
ܐܬܪܘܬܐ ܕܐܬܪܘܬܐ ܡܚܝܕܐ ܕܐܡܪܝܩܐ	Staten van de Verenigde Staten
ܡܥܡܘܕܝܬܐ	Doop (sacrament)
ܩܘܢܓܘ	Congo
ܐܝܢܛܪܠܝܢܓܘܐ	Interlingua
ܐܘܪܟܐ	Lengte (meetkunde)
ܚܠܡܐ	Droom
ܠܫܢܐ ܩܪܕܘܝܐ	Koerdisch
ܩܡܚܐ	Meel
ܕܢ ܗܐܟ	Den Haag
ܠܫܢܐ ܦܘܢܝܩܝܐ	Fenicisch
ܣܝܢܝ (ܓܙܪܬܐ ܝܒܫܢܝܬܐ)	Sinaï (schiereiland)
ܟܪܘܙܘܬܐ ܕܝܘܚܢܢ	Evangelie volgens Johannes
ܬܪܥܐ (ܒܒܐ)	Deur
ܪܝܗܐܢܐ	Rihanna
ܛܦܪܐ	Nagel (anatomie)
ܐܦܐ	Gelaat
ܨܨܐ (ܨܢܥܬܐ)	Draadnagel
ܙܝܬܐ	Olijf
ܬܠܝܬܝܘܬܐ	Drie-eenheid
ܓܠܠܐ	Golf (natuurkunde)
ܟܬܒܬܐ	Schrijven
ܪܘܚܐ ܕܩܘܕܫܐ	Heilige Geest
100 (ܡܢܝܢܐ)	100 (getal)
ܒܘܪܟܐ	Knie (anatomie)
ܫܘܩܐ (ܬܐܓܪܘܬܐ)	Markt (economie)
ܒܠܛܝ	Bălți (plaats)
1000000 (ܡܢܝܢܐ)	Miljoen
ܛܐܒܐ	Nieuws
ܐܫܬܐ (ܐܣܝܘܬܐ)	Koorts
ܩܫܬܐ ܓܪܒܝܝܬܐ ܕܐܪܥܐ	Noordelijk halfrond
ܡܡܘܢܐ ܕܡܝܟܪܐ	Micro-economie
ܠܝܕܣ	Leeds
ܥܘܩܒܪܐ	Mus (geslacht)
ܦܘܪܬܩܠܐ	Oranje (kleur)
ܒܪܩܩܐ	Baai
ܒܝܬ ܩܒܘܪܐ	Begraafplaats
ܐܣܝܐ (ܫܕܬܐ)	Arts
ܡܩܕܘܢܝܐ	Macedonia
ܦܢܛܝܩܘܣܛܝ	Pinksteren
ܫܓܕܬܐ	Amandelboom
ܟܪܘܙܘܬܐ ܕܠܘܩܐ	Evangelie volgens Lucas
ܩܘܢܣܦܣܝܘܢ (ܗܘܦܪܟܝܐ)	Concepción (provincie van Chili)
ܢܗܪܐ ܕܝܘܪܕܢܢ	Jordaan (rivier)
ܣܦܪ ܝܡܐ	Strand (kust)
ܐܢܛܐܠܝܐ (ܗܘܦܪܟܝܐ)	Antalya (provincie)
ܦܪܟܣܝܣ ܕܫܠܝܚܐ	Handelingen van de apostelen
ܥܪܘܒܬܐ ܕܚܫܐ	Goede Vrijdag
ܚܒܘܫܝܐ	Gevangenis
ܐܕܢܐ (ܗܘܦܪܟܝܐ)	Adana (provincie)
ܝܘܚܢܢ ܡܥܡܕܢܐ	Johannes de Doper
ܨܠܝܒܐ	Kruis (symbool)
ܚܙܒܐܠܠܗ	Hezbollah
ܒܝܬ ܓܒܝܢܐ	Voorhoofd
ܡܙܡܘܪܐ	Psalmen
ܐܬܘܪ	Assyrische Rijk
ܒܢܝܢܐ	Gebouw
ܚܠܒ (ܡܕܝܢܬܐ)	Aleppo (stad)
ܩܫܬܐ ܬܝܡܢܝܬܐ ܕܐܪܥܐ	Zuidelijk halfrond
ܚܠܐ (ܚܡܪܐ)	Azijn
ܒܝܬ ܕܝܢܐ	Rechtbank
ܚܝܦܐ	Haifa
ܪܡܕܐܢ	Ramadan
ܫܛܪܐ ܬܐܒܝܠܝܐ ܕܓܝܢܝܣ	Guinness Book of Records
ܟܘܕܢܝܐ	Muildier/muilezel
ܒܪܩܩܐ ܕܥܕܢ	Golf van Aden
ܓܠܝܢܐ ܕܝܘܚܢܢ	Openbaring van Johannes
ܐܫܬܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Bil (anatomie)
ܨܠܘܬܐ ܡܪܝܡܝܬܐ	Weesgegroet
ܝܩܕܐ	Brandstof
ܝܨܝܠܐ	Elleboog
ܟܗܢܐ	Priester
ܕܩܢܐ	Baard (haargroei)
ܢܒܝܐ	Profeet
ܐܘܪܟܝܣܛܪܐ	Orkest
1000 (ܡܢܝܢܐ)	1000 (getal)
ܣܘܦܝܐ ܪܘܛܐܪܘ	Sofia Rotaroe
ܬܫܢܝܬܐ	Verzekering
ܛܘܟܣܐ	Organisatie
ܣܦܪܓܠܐ	Kweepeer
ܐܢܕܪܐܘܣ ܫܠܝܚܐ	Andreas (apostel)
ܬܪܥܣܪ ܫܠܝܚܐ	Apostel
ܢܩܒܬܐ	Vrouwelijk (biologie)
ܕܪܥܐ (ܗܕܡܐ)	Arm (ledemaat)
ܡܬܝ ܡܟܣܐ	Matteüs (apostel)
ܬܐܘܡܐ ܫܠܝܚܐ	Tomas (apostel)
ܦܝܠܝܦܘܣ ܫܠܝܚܐ	Filippus (apostel)
ܒܘܪܨܐ (ܗܘܦܪܟܝܐ)	Bursa (provincie)
ܐܝܘܐܢܢܝܣ ܦܘܡܐ ܕܕܗܒܐ	Johannes Chrysostomus
ܒܢܝܡܝܢ ܢܬܢܝܗܘ	Benjamin Netanyahu
ܐܪܬܒܝܢ (ܗܘܦܪܟܝܐ)	Artvin (provincie)
ܓܒܝܢܐ	Wenkbrauw
ܫܘܪܬܐ	Navel
ܐܕܝܐܡܐܢ (ܗܘܦܪܟܝܐ)	Adıyaman (provincie)
ܝܗܘܕܐ ܫܠܝܚܐ	Judas Taddeüs
ܒܪܬܘܠܡܝ ܫܠܝܚܐ	Bartolomeüs (apostel)
ܝܥܩܘܒ ܒܪ ܙܒܕܝ	Jakobus de Meerdere
ܝܘܚܢܢ ܫܠܝܚܐ	Johannes (apostel)
ܡܬܝܐ ܫܠܝܚܐ	Mattias
ܝܥܩܘܒ ܒܪ ܚܠܦܝ	Jakobus (zoon van Alfeüs)
ܕܟܪܐ	Mannelijk (biologie)
ܐܝܓܢܐܛܝܘܣ ܢܘܪܢܐ	Ignatius van Antiochië
ܪܕܝܘܗܕ	Radiohead
ܒܫܐܪ ܐܠܐܣܕ	Bashar al-Assad
ܪܚܝܐ	Molen
ܨܘܡܐ	Vasten
ܕܝܪܐ	Klooster (gebouw)
ܠܡܐܢܐ	Haven
ܐܦܝܘܢ (ܗܘܦܪܟܝܐ)	Afyonkarahisar (provincie)
ܡܝܟܐܝܠ (ܡܠܐܟܐ)	Michaël (aartsengel)
ܒܝܠܓܝܟ (ܗܘܦܪܟܝܐ)	Bilecik (provincie)
ܒܝܬ ܥܬܩܐ ܕܐܣܪܐܝܠ	Israel Museum
ܒܐܠܝܟܣܝܪ (ܗܘܦܪܟܝܐ)	Balıkesir (provincie)
ܒܝܬ ܝܠܕܐ	Verjaardag
ܬܘܠܥܐ	Wormen (dieren)
ܬܘܩܢ ܓܝܕܝܐ ܩܢܛܪܘܢܝܐ	Centraal zenuwstelsel
ܛܘܪܐ ܕܓܠܝܕܐ	IJsberg
ܡܫܠܡܢܐ	Moslim
ܢܢܥܐ	Munt (geslacht)
ܩܠܒܐ:Commonscat	Sjabloon:Commonscat
ܒܨܪܐ (ܡܕܝܢܬܐ)	Basra
ܐܓܪܬܐ ܕܠܘܬ ܪܗܘܡܝܐ	Brief van Paulus aan de Romeinen
ܬܡܪܐ ܕܥܝܢܐ	Ooglid
ܗܘܦܪܟܝܣ ܕܛܘܪܩܝܐ	Lijst van provincies van Turkije
ܡܪܝ ܓܝܘܪܓܝܣ ܣܗܕܐ	Joris (heilige)
ܐܣܘܬܐ ܕܠܐ ܬܚܘܡܐ	Artsen zonder Grenzen
ܐܪܙܐ (ܡܫܝܚܝܘܬܐ)	Sacrament
ܐܓܪܬܐ ܕܠܘܬ ܦܝܠܝܦܣܝܐ	Brief van Paulus aan de Filippenzen
ܐܢܛܘܠܝܐ	Anatolië
ܡܫܝܚܐ	Messias
ܚܫܡܝܬܐ ܐܚܪܝܬܐ	Het Laatste Avondmaal (Jezus)
ܩܢܘܢܐ ܕܗܝܡܢܘܬܐ	Apostolische geloofsbelijdenis
ܒܢܝ ܐܝܣܪܐܝܠ	Israëlieten
ܡܓܘܫܐ ܬܠܬܐ	Wijzen uit het oosten
ܝܘܚܢܢ ܕܪܡܣܘܩܝܐ	Johannes Damascenus
ܒܒܐ (ܬܪܥܐ)	Poort (doorgang)
ܣܕܪܐ:ܡܠܟܐ	Categorie:Koning
ܣܕܪܐ:ܪܘܟܒ ܫܘܠܛܢܘܬܐ	Categorie:Staatsvorm
ܠܫܢܐ ܕܡܝܢ	Minyu
ܥܘܪܡܫܐ	Milieuverontreiniging
ܒܒܠ (ܗܘܦܪܟܝܐ)	Babil
ܫܘܡܪܐ	Roet (materie)
ܐܫܩܠܘܢ	Asjkelon
ܕܘܢܒܐ	Staart
ܩܐܕܣܝܐ (ܗܘܦܪܟܝܐ)	Al-Qadisiyah
ܡܪܝܡ ܡܓܕܠܝܬܐ	Maria Magdalena
ܡܪܪܬܐ	Galblaas
ܥܕܬܐ ܟܠܕܝܬܐ ܩܬܘܠܝܩܝܬܐ	Chaldeeuws-katholieke Kerk
ܥܕܬܐ ܡܪܘܢܝܬܐ	Maronitische Kerk
ܡܪܬܐ	Gal (stof)
ܩܘܪܒܢܐ	Eucharistie
ܐܕܡ	Adam
ܐܘܘܫܐ	Oorsmeer
ܕܡܥܬܐ	Traan (oog)
ܥܡܬܐ (ܒܝܬܝܘܬܐ)	Tante
ܥܡܐ (ܒܝܬܝܘܬܐ)	Oom
ܟܘܬܝܢܐ	Overhemd
ܝܘܗܐܢ ܐܠܙܪ	Georg Elser
ܒܝܢܓܘܠ (ܗܘܦܪܟܝܐ)	Bingöl (provincie)
ܥܡܐ ܐܪܡܢܝܐ	Armeniërs
ܐܝܕܝܢ (ܗܘܦܪܟܝܐ)	Aydın (provincie)
ܩܛܠܥܡܐ ܐܪܡܢܝܐ	Armeense genocide
ܐܡܐܣܝܐ (ܗܘܦܪܟܝܐ)	Amasya (provincie)
ܦܪܝܙܘܢ ܒܪܝܟ	Prison Break
ܐܓܪܝ (ܗܘܦܪܟܝܐ)	Ağrı (provincie)
ܒܘܪܕܘܪ (ܗܘܦܪܟܝܐ)	Burdur (provincie)
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܠܘܬ ܩܘܪܢܬܝܐ	Eerste brief van Paulus aan de Korintiërs
ܝܗܘܕܐ ܣܟܪܝܘܛܐ	Judas Iskariot
ܐܒܪܐ	Veer (vogel)
ܡܚܪܐ	Ingenieur
ܚܪܛܘܡܢܐ	Kikkererwt
ܐܬܪܘܬܐ ܕܫܐܡ	Levant
ܬܪܘܕܐ	Lepel (bestek)
ܓܒܪܐܝܠ (ܡܠܐܟܐ)	Gabriël (aartsengel)
ܓܪܡܦܝܠܐ	Ivoor
ܨܘܪ	Tyrus
ܒܘܠܘ (ܗܘܦܪܟܝܐ)	Bolu (provincie)
ܙܢܩܐ	Kin (lichaamsdeel)
ܨܘܡܐ ܕܐܪܒܥܝܢ	Vastentijd
ܐܓܪܐ ܕܒܢܝܢܐ	Dak
ܒܝܛܠܝܣ (ܗܘܦܪܟܝܐ)	Bitlis (provincie)
ܓܠܝܠܐ	Galilea (streek)
ܪܥܡܐ	Donder
ܡܘܨܠ	Mosoel
ܟܪܬܐ	Duim (vinger)
ܥܡܐ ܛܘܪܩܝܐ	Turken
ܦܐܦܐ ܫܢܘܕܐ ܬܠܝܬܝܐ	Paus Shenouda III van Alexandrië
ܒܝܬ ܓܘܣܐ	Bunker (verdedigingswerk)
ܒܝܥܬܐ	Ei (voeding)
ܒܣܕܝܐ	Kussen
ܙܓܐ (ܢܩܘܫܐ)	Klok (bel)
ܫܒܬܐ (ܝܗܘܕܝܘܬܐ)	Sjabbat
ܫܡܝܪܡ	Semiramis
ܫܝܓܪܐ	Tandvlees
ܝܗ	JHWH
ܡܫܝܚܝܐ	Christen
ܟܪܘܙܘܬܐ ܕܡܪܩܘܣ	Evangelie volgens Marcus
ܟܟܪܝܬܐ ܕܕܒܫܐ	Bijenraat
ܐܓܪܬܐ ܕܠܘܬ ܩܘܪܢܬܝܐ ܕܬܪܬܝܢ	Tweede brief van Paulus aan de Korintiërs
ܫܥܘܬܐ (ܡܠܘܐܐ)	Was (substantie)
ܛܥܡܐ	Smaak (zintuig)
ܓܢܬ ܫܒܪܐ	Kleuterschool
ܝܡܬܐ ܕܓܠܝܠܐ	Meer van Tiberias
ܕܝܘܬܐ	Inkt
ܡܪܝ ܝܘܣܦ	Jozef van Nazareth
ܠܘܩܐ ܐܘܢܓܠܣܛܐ	Lucas (evangelist)
ܐܓܪܬܐ ܕܠܘܬ ܥܒܪܝܐ	Brief aan de Hebreeën
ܐܓܪܬܐ ܕܠܘܬ ܓܠܛܝܐ	Brief van Paulus aan de Galaten
ܡܪܝ ܡܝܟܐܝܠ ܪܒܐ	Michaël I de Grote
Ϝ	Digamma
Ϙ	Qoppa
ܥܛܡܐ	Dij
ܬܢܢܐ	Rook
ܡܘܚܘܢܐ	Kleine hersenen
ܐܓܪܬܐ ܕܠܘܬ ܩܘܠܣܝܐ	Brief van Paulus aan de Kolossenzen
ܐܓܪܬܐ ܕܝܥܩܘܒ	Brief van Jakobus
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܝܘܚܢܢ	Eerste brief van Johannes
ܐܓܪܬܐ ܕܠܘܬ ܦܝܠܡܘܢ	Brief van Paulus aan Filemon
ܐܓܪܬܐ ܕܠܘܬ ܬܣܠܘܢܝܩܝܐ ܕܬܪܬܝܢ	Tweede brief van Paulus aan de Tessalonicenzen
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܠܘܬ ܬܣܠܘܢܝܩܝܐ	Eerste brief van Paulus aan de Tessalonicenzen
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܦܛܪܘܣ	Eerste brief van Petrus
ܐܓܪܬܐ ܕܬܪܬܝܢ ܕܦܛܪܘܣ	Tweede brief van Petrus
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܠܘܬ ܛܝܡܬܐܘܣ	Eerste brief van Paulus aan Timoteüs
Ϛ	Stigma (letter)
ܡܪܕܝܢ (ܗܘܦܪܟܝܐ)	Mardin (provincie)
ܚܡܨ (ܡܕܝܢܬܐ)	Homs
Ͳ	Sampi
ܘܐܟܐܩܐ ܕܝ ܟܘܐܪܝܣ	Oaxaca (stad)
ܐܓܪܬܐ ܕܬܪܬܝܢ ܕܝܘܚܢܢ	Tweede brief van Johannes
ܐܓܪܬܐ ܕܬܠܬ ܕܝܘܚܢܢ	Derde brief van Johannes
ܐܓܪܬܐ ܕܝܗܘܕܐ	Brief van Judas
ܐܓܪܬܐ ܕܠܘܬ ܛܝܡܬܐܘܣ ܕܬܪܬܝܢ	Tweede brief van Paulus aan Timoteüs
ܐܓܪܬܐ ܕܠܘܬ ܛܛܘܣ	Brief van Paulus aan Titus
ܫܝܪܢܐܟ (ܡܕܝܢܬܐ)	Şırnak (stad)
ܐܟܪܐ	Agrariër
ܓܘܣܢܐ	Vluchteling
Ϻ	San (letter)
ܩܠܝܕܐ (ܡܐܢܐ)	Sleutel (slot)
ܥܕܥܐܕܐ	Festival
ܐܪܒܝܠ (ܡܕܝܢܬܐ)	Arbil (stad)
ܪܓܠܐ	Been (ledemaat)
ܚܨܐ	Rug (anatomie)
ܐܠܝܐ ܢܒܝܐ	Elia (profeet)
ܙܚܘܪܝܬܐ (ܬܘܠܥܬܐ)	Zijdevlinder
ܚܘܦܝܐ	Eclips (sterrenkunde)
ܡܚܛܐ	Naald (naaigerei)
ܥܠܡܐ ܥܪܒܝܐ	Arabische wereld
ܩܛܡܐ	As (verbranding)
ܢܘܗܕܪܐ (ܡܕܝܢܬܐ)	Duhok (stad)
ܨܒܥܐ ܕܪܓܠܐ	Teen
ܢܓܪܘܬܐ	Timmerman
ܠܘܚܐ (ܚܫܘܒܬܐ)	Tabletcomputer
ܪܒܝܬܐ	Woekeraar
ܡܟܝܪܘܬܐ	Verloving
ܫܘܪܡܐ	Endeldarm
ܐܪܡܝܐ (ܢܒܝܐ)	Jeremia (profeet)
ܬܠܝܦܐ	Wimper
ܫܥܬܐ ܕܐܪܥܐ	Het Uur der Aarde
ܦܪܡܝܬܐ	Knoop (kleding)
ܟܘܟܒܐ ܕܕܘܝܕ	Davidster
ܡܪܝ ܐܣܛܦܢܘܣ	Stefanus (martelaar)
ܡܫܡܫܢܐ	Diaken
ܢܓܒ	Negev
ܟܢܥܢ	Kanaän (gebied)
ܢܘܨܦܐ	Schemering
ܬܓܪܝܬ	Tikrit
ܚܠܐ (ܥܦܪܐ)	Stof (deeltjes)
ܬܪܥܐ ܕܕܡܐ	Bloeding
ܥܪܒܐ ܕܫܡܫܐ	Zonsondergang
ܐܡܝܫܐ	Moeras
ܡܨܥܝܬܐ (ܨܒܥܐ)	Middelvinger
ز	Zai (Arabische letter)
ܩܘܪܨܠܐ	Enkel
ܒܪ ܐܝܕܐ	Handschoen
ܢܫܒܐ ܕܥܝܢܐ	Netvlies
ܬܘܩܢ ܓܝܕܝܐ ܡܚܕܘܪܝܐ	Perifeer zenuwstelsel
ܛܝܢܐ	Modder
ܓܓܘܠܬܐ	Golgotha
ܗܢܝܢܐ (ܡܡܫܚܘܬܐ)	Rente
ܐܫܘܪ ܒܢܐܦܠ	Assurbanipal
ܓܕܫܐ	Ongeval
ܦܛܪܝܪܟܐ	Patriarch
ا	Alif
ܚܟܐ	Verhemelte
ت	Ta (Arabische letter)
ث	Tha (Arabische letter)
ج	Jim (Arabische letter)
ح	Ḥa (Arabische letter)
خ	Kha (Arabische letter)
د	Dal (Arabische letter)
ذ	Dhal (Arabische letter)
ر	Ra (Arabische letter)
ܪܓܫܐ	Zintuig
س	Sin (Arabische letter)
ܟܪܟ ܣܠܘܟ (ܡܕܝܢܬܐ)	Kirkoek (plaats)
ܒܒܬܐ	Pupil (anatomie)
ܩܒܪܐ	Graf
ܠܒܘܢܬܐ	Olibanum
ܚܡܬ (ܡܕܝܢܬܐ)	Hama (stad)
ܝܫܛܐ	Slokdarm
ܟܝܣܐ ܕܐܫܟܐ	Scrotum
ܕܒܪܐ	Platteland
ܚܪܘܫܬܐ	Luchtpijp
ܓܪܡܐ ܕܥܛܡܐ	Dijbeen
ܒܪܐ (ܒܝܬܝܘܬܐ)	Zoon (familie)
ܫܚܘܪܐ	Houtskool
ܐܘܟܡܐ ܕܥܝܢܐ	Iris (anatomie)
ܫܦܠܘܗܝ ܕܢܝܠܘܣ	Nijldelta
ܐܘܪܡܝܐ	Urmia
Ϸ	Sho (letter)
